dataset,method,prediction_disagreement,prediction_disagreement_seed_sd,reference_rmse,orbit_mean_rmse,orbit_worst_rmse,orbit_span_rmse,seeds,raw_disagreement,raw_orbit_mean_rmse,raw_orbit_worst_rmse,raw_reference_rmse,disagreement_reduction_vs_raw,orbit_mean_change_vs_raw,orbit_worst_change_vs_raw,reference_change_vs_raw
california_housing,canonical_only,0.0,0.0,63271.20472561831,63271.20472561831,63271.20472561831,0.0,3,2.2111584045310084,257278.3052623365,524757.2847594167,63271.20472561831,1.0,-194007.1005367182,-461486.0800337984,0.0
california_housing,consistency_0.1,0.3184862263100281,0.0239205440694005,60866.137784536484,66390.51126494746,68007.54934216161,2916.325853417586,3,2.2111584045310084,257278.3052623365,524757.2847594167,63271.20472561831,0.8559640839582545,-190887.79399738903,-456749.7354172551,-2405.0669410818227
california_housing,consistency_1.0,0.13880491409245246,0.008537388294377562,60553.707472712005,62292.186953387754,63089.766221807535,1493.6337275023009,3,2.2111584045310084,257278.3052623365,524757.2847594167,63271.20472561831,0.9372252508874898,-194986.11830894876,-461667.5185376092,-2717.4972529063016
california_housing,dual_view,0.13626569860167706,0.019770451879221634,63635.21456902251,63225.962004143425,63875.51717167738,1069.3270118934863,3,2.2111584045310084,257278.3052623365,524757.2847594167,63271.20472561831,0.9383736152405692,-194052.34325819308,-460881.76758773933,364.0098434042011
california_housing,generic_noise,2.2828145420040737,0.11712104531600398,66281.38124632099,263028.2423503514,523068.536590386,399320.36340262834,3,2.2111584045310084,257278.3052623365,524757.2847594167,63271.20472561831,-0.03240660521029648,5749.937088014907,-1688.7481690307031,3010.176520702684
california_housing,orbit_augmentation,0.327809101832659,0.023886952531787426,73769.73264600917,66852.55211724562,67834.493594871,2539.5995922963534,3,2.2111584045310084,257278.3052623365,524757.2847594167,63271.20472561831,0.8517477982758146,-190425.7531450909,-456922.7911645457,10498.527920390865
california_housing,raw,2.2111584045310084,0.4149522768584185,63271.20472561831,257278.3052623365,524757.2847594167,398963.90397768706,3,2.2111584045310084,257278.3052623365,524757.2847594167,63271.20472561831,0.0,0.0,0.0,0.0
wine-quality-red,canonical_only,0.0,0.0,0.6937591620745763,0.6937591620745763,0.6937591620745763,0.0,3,0.5329615379756427,0.7709929547042531,0.8293607641582766,0.6937591620745763,1.0,-0.07723379262967678,-0.1356016020837003,0.0
wine-quality-red,consistency_0.1,0.2533022064036739,0.01674913488725033,0.6737226564631609,0.6840618822341732,0.6927444213913331,0.01838115537523503,3,0.5329615379756427,0.7709929547042531,0.8293607641582766,0.6937591620745763,0.5247270424695257,-0.08693107247007992,-0.13661634276694357,-0.020036505611415456
wine-quality-red,consistency_1.0,0.12070335417520128,0.00945945948225397,0.6702241063108637,0.6728119604484722,0.6768806051769863,0.00814158553763189,3,0.5329615379756427,0.7709929547042531,0.8293607641582766,0.6937591620745763,0.7735233303444917,-0.09818099425578086,-0.1524801589812903,-0.02353505576371262
wine-quality-red,dual_view,0.12128886591029264,0.02228749802137231,0.690690476278856,0.6836432999476639,0.6906638488682127,0.013229372357639694,3,0.5329615379756427,0.7709929547042531,0.8293607641582766,0.6937591620745763,0.7724247299889851,-0.08734965475658918,-0.1386969152900639,-0.003068685795720283
wine-quality-red,generic_noise,0.46631345717545303,0.03354496494382833,0.6854940900831358,0.7420564662873348,0.7776722534885089,0.07562405697014467,3,0.5329615379756427,0.7709929547042531,0.8293607641582766,0.6937591620745763,0.1250523275156783,-0.028936488416918316,-0.05168851066976776,-0.008265071991440553
wine-quality-red,orbit_augmentation,0.1799907871609371,0.01516044556599293,0.6792236635244947,0.6781407291955213,0.6852539194983924,0.01388778292604557,3,0.5329615379756427,0.7709929547042531,0.8293607641582766,0.6937591620745763,0.6622818452442191,-0.09285222550873184,-0.14410684465988421,-0.014535498550081627
wine-quality-red,raw,0.5329615379756427,0.05314604868253244,0.6937591620745763,0.7709929547042531,0.8293607641582766,0.10721210551744398,3,0.5329615379756427,0.7709929547042531,0.8293607641582766,0.6937591620745763,0.0,0.0,0.0,0.0
