model,dataset,model_seed,pipeline,family,variant,scope,repair,reference_id,budget,problem_type,log_loss,accuracy,roc_auc,probability_mad,js_divergence,label_flip_rate,rmse,mae,prediction_rmse_normalized,prediction_pearson,prediction_spearman,prediction_disagreement,task_error
catboost,adult,0,native_categorical,T1,nominal_relabeling,all,nominal_canonicalization,nominal_canonical_ref__native_categorical,3,classification,0.33098024597093734,0.85546875,0.8999310301586307,8.158833106190234e-18,5.588652787113192e-18,0.0,,,,,,8.158833106190234e-18,0.33098024597093734
catboost,adult,0,native_categorical,T1,nominal_relabeling,all,nominal_canonicalization,nominal_canonical_ref__native_categorical,8,classification,0.33098024597093734,0.85546875,0.8999310301586307,1.973978519840625e-17,9.017548300684822e-18,0.0,,,,,,1.973978519840625e-17,0.33098024597093734
catboost,adult,0,native_categorical,T1,nominal_relabeling,all,none,original__native_categorical,3,classification,0.3262761535878709,0.8515625,0.9025853240537547,8.117646129129994e-18,7.105896548226384e-18,0.0,,,,,,8.117646129129994e-18,0.3262761535878709
catboost,adult,0,native_categorical,T1,nominal_relabeling,all,none,original__native_categorical,8,classification,0.3262761535878709,0.8515625,0.9025853240537547,2.037717749121511e-17,8.547850278632306e-18,0.0,,,,,,2.037717749121511e-17,0.3262761535878709
catboost,adult,0,native_categorical,T1,nominal_relabeling,one,none,original__native_categorical,3,classification,0.3262761535878709,0.8515625,0.9025853240537547,8.117646129129994e-18,7.105896548226384e-18,0.0,,,,,,8.117646129129994e-18,0.3262761535878709
catboost,adult,0,native_categorical,T1,nominal_relabeling,one,none,original__native_categorical,8,classification,0.3262761535878709,0.8515625,0.9025853240537547,2.037717749121511e-17,8.547850278632306e-18,0.0,,,,,,2.037717749121511e-17,0.3262761535878709
catboost,adult,0,numeric_code,T0,column_permutation,all,none,original__numeric_code,3,classification,0.32993161860146525,0.853515625,0.9007670282358351,0.016024602798000186,0.000632799775393851,0.01171875,,,,,,0.016024602798000186,0.32993161860146525
catboost,adult,0,numeric_code,T0,column_permutation,all,none,original__numeric_code,8,classification,0.32782746676365915,0.857421875,0.9021882249670826,0.014460180243922812,0.0004932435729275589,0.0078125,,,,,,0.014460180243922812,0.32782746676365915
catboost,adult,0,numeric_code,T1,nominal_relabeling,all,nominal_canonicalization,nominal_canonical_ref__numeric_code,3,classification,0.33098024597093734,0.85546875,0.8999310301586307,8.158833106190234e-18,5.588652787113192e-18,0.0,,,,,,8.158833106190234e-18,0.33098024597093734
catboost,adult,0,numeric_code,T1,nominal_relabeling,all,nominal_canonicalization,nominal_canonical_ref__numeric_code,8,classification,0.33098024597093734,0.85546875,0.8999310301586307,1.973978519840625e-17,9.017548300684822e-18,0.0,,,,,,1.973978519840625e-17,0.33098024597093734
catboost,adult,0,numeric_code,T1,nominal_relabeling,all,none,original__numeric_code,3,classification,0.32635780876586135,0.865234375,0.9023554245825234,0.029009262758019783,0.0018961562020823285,0.0234375,,,,,,0.029009262758019783,0.32635780876586135
