dataset,problem_type,model,pipeline,family,variant,scope,repair,reference_id,pred_disagreement,pred_disagreement_seed_sd,task_metric_original,orbit_mean,orbit_worst,orbit_best,orbit_span,probability_mad,js_divergence,label_flip_rate,prediction_rmse_normalized,prediction_pearson,prediction_spearman,kill_effect_min_across_seeds,kill_effect_seed_passes,seeds
adult,classification,catboost,native_categorical,T1,nominal_relabeling,all,nominal_canonicalization,nominal_canonical_ref__native_categorical,0.0,0.0,0.3303938977659547,0.3303938977659547,0.3303938977659547,0.3303938977659547,0.0,0.0,0.0,0.0,,,,0.0,0,3
adult,classification,catboost,native_categorical,T1,nominal_relabeling,all,none,original__native_categorical,0.0,0.0,0.3269353006185177,0.3269353006185177,0.3269353006185177,0.3269353006185177,0.0,0.0,0.0,0.0,,,,0.0,0,3
adult,classification,catboost,native_categorical,T1,nominal_relabeling,one,none,original__native_categorical,0.0,0.0,0.3269353006185177,0.3269353006185177,0.3269353006185177,0.3269353006185177,0.0,0.0,0.0,0.0,,,,0.0,0,3
adult,classification,catboost,numeric_code,T0,column_permutation,all,none,original__numeric_code,0.019873885019143386,0.0007478369269054797,0.3312739910451756,0.3307531749354262,0.33503218960072506,0.3271626434129153,0.007869546187809717,0.019873885019143386,0.0009290797877494249,0.016276041666666668,,,,0.013427734375,0,3
adult,classification,catboost,numeric_code,T1,nominal_relabeling,all,nominal_canonicalization,nominal_canonical_ref__numeric_code,0.0,0.0,0.3303938977659547,0.3303938977659547,0.3303938977659547,0.3303938977659547,0.0,0.0,0.0,0.0,,,,0.0,0,3
adult,classification,catboost,numeric_code,T1,nominal_relabeling,all,none,original__numeric_code,0.03750820074346165,0.0011448928467782083,0.3312739910451756,0.3309964475570164,0.34174814001388026,0.3214702679199348,0.020277872093945437,0.03750820074346165,0.003227856845759163,0.038736979166666664,,,,0.036376953125,3,3
adult,classification,catboost,numeric_code,T1,nominal_relabeling,one,none,original__numeric_code,0.019468058074175593,0.00039300513901795246,0.3312739910451756,0.3320068247611314,0.33839669437911896,0.3230269183982451,0.01536977598087382,0.019468058074175593,0.0010786795930060667,0.020263671875,,,,0.020263671875,0,3
adult,classification,catboost,numeric_code,T2,affine,all,none,original__numeric_code,5.3879891731331065e-06,6.119918589453732e-06,0.3312739910451756,0.3312653706020275,0.3312868156484752,0.33123303885995325,5.3776788521919805e-05,5.3879891731331065e-06,6.392581780793983e-08,0.0,,,,0.0,0,3
adult,classification,catboost,numeric_code,T2,affine,all,standardization,zscore_reference,0.0,0.0,0.3312868156484752,0.3312868156484752,0.3312868156484752,0.3312868156484752,0.0,0.0,0.0,0.0,,,,0.0,0,3
adult,classification,catboost,numeric_code,T2,affine,one,none,original__numeric_code,1.3949556740049815e-06,1.1677875942053508e-06,0.3312739910451756,0.33127559412058805,0.3312868156484752,0.3312739910451756,1.2824603299580831e-05,1.3949556740049815e-06,1.247402075138838e-08,0.0,,,,0.0,0,3
adult,classification,catboost,numeric_code,T2,affine,one,standardization,zscore_reference,0.0,0.0,0.3312868156484752,0.3312868156484752,0.3312868156484752,0.3312868156484752,0.0,0.0,0.0,0.0,,,,0.0,0,3
adult,classification,catboost,numeric_code,T2,scaling,all,none,original__numeric_code,1.4155981634041656e-06,1.1420586103079897e-06,0.3312739910451756,0.3312756148040334,0.3312868156484752,0.3312739910451756,1.2824603299580831e-05,1.4155981634041656e-06,1.2547965877724079e-08,0.0,,,,0.0,0,3
adult,classification,catboost,numeric_code,T2,scaling,all,standardization,zscore_reference,0.0,0.0,0.3312868156484752,0.3312868156484752,0.3312868156484752,0.3312868156484752,0.0,0.0,0.0,0.0,,,,0.0,0,3
adult,classification,catboost,numeric_code,T2,scaling,one,none,original__numeric_code,0.0,0.0,0.3312739910451756,0.3312739910451756,0.3312739910451756,0.3312739910451756,0.0,0.0,0.0,0.0,,,,0.0,0,3
adult,classification,catboost,numeric_code,T2,scaling,one,standardization,zscore_reference,0.0,0.0,0.3312868156484752,0.3312868156484752,0.3312868156484752,0.3312868156484752,0.0,0.0,0.0,0.0,,,,0.0,0,3
adult,classification,catboost,numeric_code,T3,mixed_monotone,all,none,original__numeric_code,1.1566956399907666e-05,7.676310316207766e-06,0.3312739910451756,0.3312650656476937,0.33128685438912864,0.3312342888111139,5.2565578014788596e-05,1.1566956399907666e-05,1.270646080383552e-07,0.0,,,,0.0,0,3
adult,classification,catboost,numeric_code,T3,mixed_monotone,all,quantile_rank,quantile_reference,1.016716763629379e-05,8.176585007787078e-06,0.3312739910451756,0.3312634577296996,0.331285604437968,0.3312342888111139,5.1315626854194406e-05,1.016716763629379e-05,1.1457224618291582e-07,0.0,,,,0.0,0,3
adult,classification,catboost,numeric_code,T6,cond_le_10,one,none,basis_reference__fnlwgt,0.02580561253935426,0.0005084833826538868,0.3375947044974854,0.33855715020651633,0.34380257646408535,0.33388426123610376,0.009918315227981644,0.02580561253935426,0.0014359254085753708,0.0263671875,,,,0.023193359375,0,3
adult,classification,catboost,numeric_code,T6,cond_le_3,one,none,basis_reference__fnlwgt,0.024999706243817973,0.00040315397204267444,0.3375947044974854,0.337441494104556,0.3423417005013725,0.3335257077137373,0.00881599278763521,0.024999706243817973,0.001344639172165325,0.024576822916666668,,,,0.022705078125,0,3
adult,classification,catboost,numeric_code,T6,orthogonal,one,none,basis_reference__fnlwgt,0.024555919525551223,0.0006075387846365728,0.3375947044974854,0.33890500048468475,0.34359507126547584,0.3344204076643951,0.009174663601080638,0.024555919525551223,0.0013022425473927166,0.025553385416666668,,,,0.024169921875,0,3
adult,classification,tabicl_v2,numeric_code,T0,column_permutation,all,none,original__numeric_code,0.012049602323268738,0.0,0.3269448589893808,0.3262020681908298,0.3278941778217589,0.323562024135354,0.004332153686404883,0.012049602323268738,0.0003723937485623251,0.010986328125,,,,0.010986328125,0,3
adult,classification,tabicl_v2,numeric_code,T1,nominal_relabeling,all,nominal_canonicalization,nominal_canonical_ref__numeric_code,0.0,0.0,0.3313774726240932,0.3313774726240932,0.3313774726240932,0.3313774726240932,0.0,0.0,0.0,0.0,,,,0.0,0,3
adult,classification,tabicl_v2,numeric_code,T1,nominal_relabeling,all,none,original__numeric_code,0.0253345601687143,0.0,0.3269448589893808,0.3291401401053579,0.3451573616377117,0.3218602310088149,0.023297130628896823,0.0253345601687143,0.0016846223920379125,0.03076171875,,,,0.03076171875,3,3
adult,classification,tabicl_v2,numeric_code,T1,nominal_relabeling,one,none,original__numeric_code,0.00528407855629175,0.0,0.3269448589893808,0.3265707549749746,0.3286835396675066,0.3235748310385479,0.00510870862895868,0.00528407855629175,9.515734588003956e-05,0.00830078125,,,,0.00830078125,0,3
adult,classification,tabicl_v2,numeric_code,T2,affine,all,none,original__numeric_code,0.0,0.0,0.3269448589893808,0.3269448589893808,0.3269448589893808,0.3269448589893808,0.0,0.0,0.0,0.0,,,,0.0,0,3
adult,classification,tabicl_v2,numeric_code,T2,affine,all,standardization,zscore_reference,0.0,0.0,0.3268061414259733,0.3268061414259733,0.3268061414259733,0.3268061414259733,0.0,0.0,0.0,0.0,,,,0.0,0,3
adult,classification,tabicl_v2,numeric_code,T2,affine,one,none,original__numeric_code,0.0,0.0,0.3269448589893808,0.3269448589893808,0.3269448589893808,0.3269448589893808,0.0,0.0,0.0,0.0,,,,0.0,0,3
adult,classification,tabicl_v2,numeric_code,T2,affine,one,standardization,zscore_reference,0.0,0.0,0.3268061414259733,0.3268061414259733,0.3268061414259733,0.3268061414259733,0.0,0.0,0.0,0.0,,,,0.0,0,3
adult,classification,tabicl_v2,numeric_code,T2,scaling,all,none,original__numeric_code,0.0,0.0,0.3269448589893808,0.3269448589893808,0.3269448589893808,0.3269448589893808,0.0,0.0,0.0,0.0,,,,0.0,0,3
adult,classification,tabicl_v2,numeric_code,T2,scaling,all,standardization,zscore_reference,0.0,0.0,0.3268061414259733,0.3268061414259733,0.3268061414259733,0.3268061414259733,0.0,0.0,0.0,0.0,,,,0.0,0,3
adult,classification,tabicl_v2,numeric_code,T2,scaling,one,none,original__numeric_code,0.0,0.0,0.3269448589893808,0.3269448589893808,0.3269448589893808,0.3269448589893808,0.0,0.0,0.0,0.0,,,,0.0,0,3
adult,classification,tabicl_v2,numeric_code,T2,scaling,one,standardization,zscore_reference,0.0,0.0,0.3268061414259733,0.3268061414259733,0.3268061414259733,0.3268061414259733,0.0,0.0,0.0,0.0,,,,0.0,0,3
adult,classification,tabicl_v2,numeric_code,T3,mixed_monotone,all,none,original__numeric_code,0.011335730861934562,0.0,0.3269448589893808,0.32785277728404444,0.3311723389196007,0.323816217382434,0.007356121537166693,0.011335730861934562,0.000396325165017925,0.01416015625,,,,0.01416015625,0,3
adult,classification,tabicl_v2,numeric_code,T3,mixed_monotone,all,quantile_rank,quantile_reference,4.367391656712105e-06,0.0,0.323816217382434,0.32381818367296633,0.3238210295211702,0.32381617785862,4.851662550209301e-06,4.367391656712105e-06,1.0444877362937373e-08,0.0,,,,0.0,0,3
adult,classification,tabicl_v2,numeric_code,T6,cond_le_10,one,none,basis_reference__fnlwgt,0.010460879423230226,0.0,0.3286511104189969,0.331149214875873,0.332625753643325,0.3287382752005812,0.003887478442743786,0.010460879423230226,0.0002510849966768875,0.0107421875,,,,0.0107421875,0,3
adult,classification,tabicl_v2,numeric_code,T6,cond_le_3,one,none,basis_reference__fnlwgt,0.009657401537219413,0.0,0.3286511104189969,0.3296541423662212,0.3323114188354889,0.3264634783194436,0.0058479405160453135,0.009657401537219413,0.0002217079031048375,0.00927734375,,,,0.00927734375,0,3
adult,classification,tabicl_v2,numeric_code,T6,orthogonal,one,none,basis_reference__fnlwgt,0.010855820588378215,0.0,0.3286511104189969,0.33110586159449185,0.33214628845611,0.32984403897088,0.0023022494852300013,0.010855820588378215,0.0002692707795293625,0.0107421875,,,,0.0107421875,0,3
adult,classification,tabpfn_2_6,native_categorical,T1,nominal_relabeling,all,nominal_canonicalization,nominal_canonical_ref__native_categorical,0.0,0.0,0.34208779948115486,0.34208779948115486,0.34208779948115486,0.34208779948115486,0.0,0.0,0.0,0.0,,,,0.0,0,3
adult,classification,tabpfn_2_6,native_categorical,T1,nominal_relabeling,all,none,original__native_categorical,0.021931376420638613,0.00198223605787371,0.347192263438788,0.3449531642582087,0.3519064791040581,0.3393238972682701,0.012582581835787995,0.021931376420638613,0.001233509765575675,0.0244140625,,,,0.019287109375,0,3
adult,classification,tabpfn_2_6,native_categorical,T1,nominal_relabeling,one,none,original__native_categorical,0.01121421841335154,0.002298030828941366,0.347192263438788,0.3477994904240184,0.35218039787485805,0.3443884608136612,0.007791937061196834,0.01121421841335154,0.00039123893501647914,0.010579427083333334,,,,0.00732421875,0,3
adult,classification,tabpfn_2_6,numeric_code,T0,column_permutation,all,none,original__numeric_code,0.025799294854949247,0.0018238923858121656,0.35229669979613093,0.3508667700535806,0.35781989332576014,0.341758418766915,0.0160614745588451,0.025799294854949247,0.0020986077796923373,0.02392578125,,,,0.02197265625,0,3
adult,classification,tabpfn_2_6,numeric_code,T1,nominal_relabeling,all,nominal_canonicalization,nominal_canonical_ref__numeric_code,0.0,0.0,0.34208779948115486,0.34208779948115486,0.34208779948115486,0.34208779948115486,0.0,0.0,0.0,0.0,,,,0.0,0,3
adult,classification,tabpfn_2_6,numeric_code,T1,nominal_relabeling,all,none,original__numeric_code,0.022073726000326015,0.0024422539729748883,0.35229669979613093,0.34421189207253183,0.3542859707226212,0.33645384551945473,0.017832125203166516,0.022073726000326015,0.001210306148903175,0.022135416666666668,,,,0.019775390625,0,3
adult,classification,tabpfn_2_6,numeric_code,T1,nominal_relabeling,one,none,original__numeric_code,0.009347611986075546,0.0015463680876849058,0.35229669979613093,0.35113027413099873,0.3540410128282936,0.34745718319353186,0.006583829634761729,0.009347611986075546,0.0003003045223184836,0.008138020833333334,,,,0.005126953125,0,3
adult,classification,tabpfn_2_6,numeric_code,T2,affine,all,none,original__numeric_code,0.00015088218657013125,2.102986624724053e-05,0.35229669979613093,0.3523216732268801,0.3525139024452521,0.35229234599534903,0.00022155644990305237,0.00015088218657013125,8.842835708224427e-07,0.000244140625,,,,0.0,0,3
adult,classification,tabpfn_2_6,numeric_code,T2,affine,all,standardization,zscore_reference,0.00010106075986108909,8.582786901367431e-06,0.35229669979613093,0.3522764007701656,0.35229669979613093,0.35214719857697035,0.0001495012191605749,0.00010106075986108909,7.171890322960572e-07,0.0,,,,0.0,0,3
adult,classification,tabpfn_2_6,numeric_code,T2,affine,one,none,original__numeric_code,0.0,0.0,0.35229669979613093,0.35229669979613093,0.35229669979613093,0.35229669979613093,0.0,0.0,0.0,0.0,,,,0.0,0,3
adult,classification,tabpfn_2_6,numeric_code,T2,affine,one,standardization,zscore_reference,0.0,0.0,0.35229669979613093,0.35229669979613093,0.35229669979613093,0.35229669979613093,0.0,0.0,0.0,0.0,,,,0.0,0,3
adult,classification,tabpfn_2_6,numeric_code,T2,scaling,all,none,original__numeric_code,1.6048090841765807e-06,3.079741301597777e-07,0.35229669979613093,0.35229506712083775,0.35229669979613093,0.35229234599534903,4.3538007818792286e-06,1.6048090841765807e-06,2.694639597733344e-08,0.0,,,,0.0,0,3
adult,classification,tabpfn_2_6,numeric_code,T2,scaling,all,standardization,zscore_reference,0.0,0.0,0.35229669979613093,0.35229669979613093,0.35229669979613093,0.35229669979613093,0.0,0.0,0.0,0.0,,,,0.0,0,3
adult,classification,tabpfn_2_6,numeric_code,T2,scaling,one,none,original__numeric_code,0.0,0.0,0.35229669979613093,0.35229669979613093,0.35229669979613093,0.35229669979613093,0.0,0.0,0.0,0.0,,,,0.0,0,3
adult,classification,tabpfn_2_6,numeric_code,T2,scaling,one,standardization,zscore_reference,5.349363613921935e-07,1.0265804338659258e-07,0.35229669979613093,0.35229615557103316,0.35229669979613093,0.35229234599534903,4.3538007818792286e-06,5.349363613921935e-07,8.98213199244448e-09,0.0,,,,0.0,0,3
adult,classification,tabpfn_2_6,numeric_code,T3,mixed_monotone,all,none,original__numeric_code,0.0067976119541619,0.0016960867171520884,0.35229669979613093,0.35125780773571086,0.35247405950445376,0.35019964260558334,0.002274416898870424,0.0067976119541619,0.00013642746876652752,0.006429036458333333,,,,0.001220703125,0,3
adult,classification,tabpfn_2_6,numeric_code,T3,mixed_monotone,all,quantile_rank,quantile_reference,0.0016717737325714537,0.00037911630944499207,0.35083438132478745,0.35092944163247736,0.3511476159748239,0.35077726312124174,0.00037035285358220465,0.0016717737325714537,3.009667395605208e-05,0.001953125,,,,0.000732421875,0,3
adult,classification,tabpfn_2_6,numeric_code,T6,cond_le_10,one,none,basis_reference__fnlwgt,0.01033802249924838,0.0006678387270195253,0.35009819441950274,0.35011794281674796,0.3535615013617748,0.3465270910193305,0.00703441034244436,0.01033802249924838,0.0003309103422997458,0.008463541666666666,,,,0.006591796875,0,3
adult,classification,tabpfn_2_6,numeric_code,T6,cond_le_3,one,none,basis_reference__fnlwgt,0.010094542542740755,0.0012026257561192698,0.35009819441950274,0.3512790173875195,0.35340452450670073,0.34932820578615464,0.004076318720546072,0.010094542542740755,0.0003139966857114292,0.008707682291666666,,,,0.0068359375,0,3
adult,classification,tabpfn_2_6,numeric_code,T6,orthogonal,one,none,basis_reference__fnlwgt,0.010000097735871539,0.0010008308438258608,0.35009819441950274,0.35084508035435397,0.3545151890438741,0.3479221393233914,0.006593049720482673,0.010000097735871539,0.00028984396859014166,0.006917317708333333,,,,0.00634765625,0,3
bank-marketing,classification,catboost,native_categorical,T1,nominal_relabeling,all,nominal_canonicalization,nominal_canonical_ref__native_categorical,0.0,0.0,0.24312079081254337,0.24312079081254337,0.24312079081254337,0.24312079081254337,0.0,0.0,0.0,0.0,,,,0.0,0,3
bank-marketing,classification,catboost,native_categorical,T1,nominal_relabeling,all,none,original__native_categorical,0.0,0.0,0.23474023374151687,0.23474023374151687,0.23474023374151687,0.23474023374151687,0.0,0.0,0.0,0.0,,,,0.0,0,3
bank-marketing,classification,catboost,native_categorical,T1,nominal_relabeling,one,none,original__native_categorical,0.0,0.0,0.23474023374151687,0.23474023374151687,0.23474023374151687,0.23474023374151687,0.0,0.0,0.0,0.0,,,,0.0,0,3
