dataset,problem_type,model,seed,method,optimizer,initialization,representation_id,member,is_reference,split,task_error,disagreement,fit_seconds,gpu_peak_memory_mb
bike-sharing,regression,controlled_mlp,1,BlockAdam,block_adam,default,orthogonal_all__m6,6,False,test,75.16061666943159,0.12802744824749793,0.7470772408414632,68.806640625
bike-sharing,regression,controlled_mlp,1,BlockAdam,block_adam,default,orthogonal_all__m7,7,False,validation,75.49555259456424,0.1290603921350386,0.7113715300802141,68.806640625
bike-sharing,regression,controlled_mlp,1,BlockAdam,block_adam,default,orthogonal_all__m7,7,False,test,79.79688966069541,0.1499088753887089,0.7113715300802141,68.806640625
bike-sharing,regression,controlled_mlp,1,MatrixAdam,matrix_adam,default,rbf_reference,-1,True,validation,72.61357108172501,0.0,1.1320510669611394,68.80419921875
bike-sharing,regression,controlled_mlp,1,MatrixAdam,matrix_adam,default,rbf_reference,-1,True,test,74.02082295726497,0.0,1.1320510669611394,68.80419921875
bike-sharing,regression,controlled_mlp,1,MatrixAdam,matrix_adam,default,orthogonal_all__m0,0,False,validation,70.55510768239036,0.13282934643018698,1.326772830914706,68.80419921875
bike-sharing,regression,controlled_mlp,1,MatrixAdam,matrix_adam,default,orthogonal_all__m0,0,False,test,69.52852476333116,0.1488854586006476,1.326772830914706,68.80419921875
bike-sharing,regression,controlled_mlp,1,MatrixAdam,matrix_adam,default,orthogonal_all__m1,1,False,validation,73.61386276804565,0.12907770238524455,1.2845191850792617,68.80419921875
bike-sharing,regression,controlled_mlp,1,MatrixAdam,matrix_adam,default,orthogonal_all__m1,1,False,test,73.08270030134172,0.12871197047220104,1.2845191850792617,68.80419921875
bike-sharing,regression,controlled_mlp,1,MatrixAdam,matrix_adam,default,orthogonal_all__m2,2,False,validation,71.05618336231494,0.1167870142423998,1.001254270086065,68.80419921875
bike-sharing,regression,controlled_mlp,1,MatrixAdam,matrix_adam,default,orthogonal_all__m2,2,False,test,73.27209702886893,0.12790513209296975,1.001254270086065,68.80419921875
bike-sharing,regression,controlled_mlp,1,MatrixAdam,matrix_adam,default,orthogonal_all__m3,3,False,validation,67.12324570899158,0.13716943654575578,1.3060904778540134,68.80419921875
bike-sharing,regression,controlled_mlp,1,MatrixAdam,matrix_adam,default,orthogonal_all__m3,3,False,test,70.3963082537606,0.14720221911969028,1.3060904778540134,68.80419921875
bike-sharing,regression,controlled_mlp,1,MatrixAdam,matrix_adam,default,orthogonal_all__m4,4,False,validation,70.4220537540626,0.1335140785307214,1.3150701741687953,68.80419921875
bike-sharing,regression,controlled_mlp,1,MatrixAdam,matrix_adam,default,orthogonal_all__m4,4,False,test,69.70709273105545,0.15270029396480886,1.3150701741687953,68.80419921875
bike-sharing,regression,controlled_mlp,1,MatrixAdam,matrix_adam,default,orthogonal_all__m5,5,False,validation,69.63462779356755,0.14186019136776343,1.293841141043231,68.80419921875
bike-sharing,regression,controlled_mlp,1,MatrixAdam,matrix_adam,default,orthogonal_all__m5,5,False,test,71.19234405320259,0.14401915340660115,1.293841141043231,68.80419921875
bike-sharing,regression,controlled_mlp,1,MatrixAdam,matrix_adam,default,orthogonal_all__m6,6,False,validation,72.11108506964757,0.12412212990088863,1.0103466019500047,68.80419921875
bike-sharing,regression,controlled_mlp,1,MatrixAdam,matrix_adam,default,orthogonal_all__m6,6,False,test,73.34741034292055,0.12038059515933029,1.0103466019500047,68.80419921875
bike-sharing,regression,controlled_mlp,1,MatrixAdam,matrix_adam,default,orthogonal_all__m7,7,False,validation,71.22037045698096,0.12955313369501842,1.2615737291052938,68.80419921875
bike-sharing,regression,controlled_mlp,1,MatrixAdam,matrix_adam,default,orthogonal_all__m7,7,False,test,72.40148052973134,0.1425028713166512,1.2615737291052938,68.80419921875
bike-sharing,regression,controlled_mlp,1,BlockAdam+DataInit,block_adam,data_equivariant,rbf_reference,-1,True,validation,79.35421334566081,0.0,0.5194419559556991,68.806640625
bike-sharing,regression,controlled_mlp,1,BlockAdam+DataInit,block_adam,data_equivariant,rbf_reference,-1,True,test,86.21422834938512,0.0,0.5194419559556991,68.806640625
bike-sharing,regression,controlled_mlp,1,BlockAdam+DataInit,block_adam,data_equivariant,orthogonal_all__m0,0,False,validation,79.35421846662982,1.058249916725e-06,0.5352990939281881,68.806640625
bike-sharing,regression,controlled_mlp,1,BlockAdam+DataInit,block_adam,data_equivariant,orthogonal_all__m0,0,False,test,86.21425973706623,1.0328907569662965e-06,0.5352990939281881,68.806640625
bike-sharing,regression,controlled_mlp,1,BlockAdam+DataInit,block_adam,data_equivariant,orthogonal_all__m1,1,False,validation,79.35422300060571,6.120388932296442e-07,0.5209399019367993,68.806640625
bike-sharing,regression,controlled_mlp,1,BlockAdam+DataInit,block_adam,data_equivariant,orthogonal_all__m1,1,False,test,86.21423456207019,5.745601779175478e-07,0.5209399019367993,68.806640625
bike-sharing,regression,controlled_mlp,1,BlockAdam+DataInit,block_adam,data_equivariant,orthogonal_all__m2,2,False,validation,79.35420757755517,6.015375527763001e-07,0.5510062049143016,68.806640625
bike-sharing,regression,controlled_mlp,1,BlockAdam+DataInit,block_adam,data_equivariant,orthogonal_all__m2,2,False,test,86.21422043284299,5.547743169211876e-07,0.5510062049143016,68.806640625
bike-sharing,regression,controlled_mlp,1,BlockAdam+DataInit,block_adam,data_equivariant,orthogonal_all__m3,3,False,validation,79.3542132941175,7.485821674607341e-07,0.5498946800362319,68.806640625
bike-sharing,regression,controlled_mlp,1,BlockAdam+DataInit,block_adam,data_equivariant,orthogonal_all__m3,3,False,test,86.21422837407988,6.704874651937064e-07,0.5498946800362319,68.806640625
bike-sharing,regression,controlled_mlp,1,BlockAdam+DataInit,block_adam,data_equivariant,orthogonal_all__m4,4,False,validation,79.35421972835073,1.0531475520792993e-06,0.560373465064913,68.806640625
bike-sharing,regression,controlled_mlp,1,BlockAdam+DataInit,block_adam,data_equivariant,orthogonal_all__m4,4,False,test,86.21425236152086,9.964149869628434e-07,0.560373465064913,68.806640625
bike-sharing,regression,controlled_mlp,1,BlockAdam+DataInit,block_adam,data_equivariant,orthogonal_all__m5,5,False,validation,79.35423087868564,1.053172553928877e-06,0.5167123819701374,68.806640625
bike-sharing,regression,controlled_mlp,1,BlockAdam+DataInit,block_adam,data_equivariant,orthogonal_all__m5,5,False,test,86.21425980844343,1.0313168477833627e-06,0.5167123819701374,68.806640625
bike-sharing,regression,controlled_mlp,1,BlockAdam+DataInit,block_adam,data_equivariant,orthogonal_all__m6,6,False,validation,79.35420890285474,5.756616026009681e-07,0.5192870600149035,68.806640625
bike-sharing,regression,controlled_mlp,1,BlockAdam+DataInit,block_adam,data_equivariant,orthogonal_all__m6,6,False,test,86.2142252897819,5.417778683254112e-07,0.5192870600149035,68.806640625
bike-sharing,regression,controlled_mlp,1,BlockAdam+DataInit,block_adam,data_equivariant,orthogonal_all__m7,7,False,validation,79.35422785378434,1.1692864392552924e-06,0.5694049498997629,68.806640625
bike-sharing,regression,controlled_mlp,1,BlockAdam+DataInit,block_adam,data_equivariant,orthogonal_all__m7,7,False,test,86.21426315453527,1.1030589975283329e-06,0.5694049498997629,68.806640625
bike-sharing,regression,controlled_mlp,1,MatrixAdam+DataInit,matrix_adam,data_equivariant,rbf_reference,-1,True,validation,74.81134976314134,0.0,1.246862888103351,68.80419921875
bike-sharing,regression,controlled_mlp,1,MatrixAdam+DataInit,matrix_adam,data_equivariant,rbf_reference,-1,True,test,77.09817630355543,0.0,1.246862888103351,68.80419921875
bike-sharing,regression,controlled_mlp,1,MatrixAdam+DataInit,matrix_adam,data_equivariant,orthogonal_all__m0,0,False,validation,74.8113571400776,1.1253369457582448e-06,1.256618324201554,68.80419921875
bike-sharing,regression,controlled_mlp,1,MatrixAdam+DataInit,matrix_adam,data_equivariant,orthogonal_all__m0,0,False,test,77.09820506116485,1.0876060322411603e-06,1.256618324201554,68.80419921875
bike-sharing,regression,controlled_mlp,1,MatrixAdam+DataInit,matrix_adam,data_equivariant,orthogonal_all__m1,1,False,validation,74.81138259393076,9.465354484938619e-07,1.2416120839770883,68.80419921875
bike-sharing,regression,controlled_mlp,1,MatrixAdam+DataInit,matrix_adam,data_equivariant,orthogonal_all__m1,1,False,test,77.09820488346814,7.841615971853643e-07,1.2416120839770883,68.80419921875
bike-sharing,regression,controlled_mlp,1,MatrixAdam+DataInit,matrix_adam,data_equivariant,orthogonal_all__m2,2,False,validation,74.81135693498452,8.474552505703871e-07,1.2626062708441168,68.80419921875
bike-sharing,regression,controlled_mlp,1,MatrixAdam+DataInit,matrix_adam,data_equivariant,orthogonal_all__m2,2,False,test,77.09820092023378,8.347865611282373e-07,1.2626062708441168,68.80419921875
bike-sharing,regression,controlled_mlp,1,MatrixAdam+DataInit,matrix_adam,data_equivariant,orthogonal_all__m3,3,False,validation,74.81136253330365,1.0861407628086576e-06,1.2924670930951834,68.80419921875
