dataset,problem_type,model,seed,method,optimizer,initialization,representation_id,member,is_reference,split,task_error,disagreement,fit_seconds,gpu_peak_memory_mb
credit-g,classification,controlled_mlp,2,BlockAdam,block_adam,default,orthogonal_all__m6,6,False,test,0.5124270770293257,0.028115338641120927,0.1399213580880314,68.74267578125
credit-g,classification,controlled_mlp,2,BlockAdam,block_adam,default,orthogonal_all__m7,7,False,validation,0.47338954584827125,0.029446004356785106,0.15633401996456087,68.74267578125
credit-g,classification,controlled_mlp,2,BlockAdam,block_adam,default,orthogonal_all__m7,7,False,test,0.5038697314407566,0.028123189778470222,0.15633401996456087,68.74267578125
credit-g,classification,controlled_mlp,2,MatrixAdam,matrix_adam,default,rbf_reference,-1,True,validation,0.47358819486648845,0.0,0.2042642559390515,68.7412109375
credit-g,classification,controlled_mlp,2,MatrixAdam,matrix_adam,default,rbf_reference,-1,True,test,0.48984528166297236,0.0,0.2042642559390515,68.7412109375
credit-g,classification,controlled_mlp,2,MatrixAdam,matrix_adam,default,orthogonal_all__m0,0,False,validation,0.4754662342515032,0.038795306952806814,0.2476403620094061,68.7412109375
credit-g,classification,controlled_mlp,2,MatrixAdam,matrix_adam,default,orthogonal_all__m0,0,False,test,0.4919401967612853,0.04072414448016565,0.2476403620094061,68.7412109375
credit-g,classification,controlled_mlp,2,MatrixAdam,matrix_adam,default,orthogonal_all__m1,1,False,validation,0.4741577201416488,0.036828156255468786,0.20712224091403186,68.7412109375
credit-g,classification,controlled_mlp,2,MatrixAdam,matrix_adam,default,orthogonal_all__m1,1,False,test,0.48795711059346253,0.03322957512987329,0.20712224091403186,68.7412109375
credit-g,classification,controlled_mlp,2,MatrixAdam,matrix_adam,default,orthogonal_all__m2,2,False,validation,0.4793074535132441,0.0725540229104712,0.2224436290562153,68.7412109375
credit-g,classification,controlled_mlp,2,MatrixAdam,matrix_adam,default,orthogonal_all__m2,2,False,test,0.5106388493936698,0.07121171372000581,0.2224436290562153,68.7412109375
credit-g,classification,controlled_mlp,2,MatrixAdam,matrix_adam,default,orthogonal_all__m3,3,False,validation,0.4715161057059099,0.06796082312092487,0.2182421199977398,68.7412109375
credit-g,classification,controlled_mlp,2,MatrixAdam,matrix_adam,default,orthogonal_all__m3,3,False,test,0.5081134737901646,0.06696210795147306,0.2182421199977398,68.7412109375
credit-g,classification,controlled_mlp,2,MatrixAdam,matrix_adam,default,orthogonal_all__m4,4,False,validation,0.47208889347036054,0.07681480176758924,0.22859755787067115,68.7412109375
credit-g,classification,controlled_mlp,2,MatrixAdam,matrix_adam,default,orthogonal_all__m4,4,False,test,0.5071206793229016,0.07237621970862924,0.22859755787067115,68.7412109375
credit-g,classification,controlled_mlp,2,MatrixAdam,matrix_adam,default,orthogonal_all__m5,5,False,validation,0.47282042336664976,0.07419162992613507,0.19962590909563005,68.7412109375
credit-g,classification,controlled_mlp,2,MatrixAdam,matrix_adam,default,orthogonal_all__m5,5,False,test,0.5071349514959417,0.07029518105095184,0.19962590909563005,68.7412109375
credit-g,classification,controlled_mlp,2,MatrixAdam,matrix_adam,default,orthogonal_all__m6,6,False,validation,0.4749975227951973,0.07188078299087561,0.1992656970396638,68.7412109375
credit-g,classification,controlled_mlp,2,MatrixAdam,matrix_adam,default,orthogonal_all__m6,6,False,test,0.5132067728492702,0.07016790973321925,0.1992656970396638,68.7412109375
credit-g,classification,controlled_mlp,2,MatrixAdam,matrix_adam,default,orthogonal_all__m7,7,False,validation,0.4744705756413611,0.07057568394855962,0.1980392390396446,68.7412109375
credit-g,classification,controlled_mlp,2,MatrixAdam,matrix_adam,default,orthogonal_all__m7,7,False,test,0.5059162717092697,0.06691699983337718,0.1980392390396446,68.7412109375
credit-g,classification,controlled_mlp,2,BlockAdam+DataInit,block_adam,data_equivariant,rbf_reference,-1,True,validation,0.46925222589493104,0.0,0.20693067205138505,68.74267578125
credit-g,classification,controlled_mlp,2,BlockAdam+DataInit,block_adam,data_equivariant,rbf_reference,-1,True,test,0.5052127940160488,0.0,0.20693067205138505,68.74267578125
credit-g,classification,controlled_mlp,2,BlockAdam+DataInit,block_adam,data_equivariant,orthogonal_all__m0,0,False,validation,0.4692522221862556,2.708646654996553e-08,0.1499737200792879,68.74267578125
credit-g,classification,controlled_mlp,2,BlockAdam+DataInit,block_adam,data_equivariant,orthogonal_all__m0,0,False,test,0.5052127874344854,2.7983227962704924e-08,0.1499737200792879,68.74267578125
credit-g,classification,controlled_mlp,2,BlockAdam+DataInit,block_adam,data_equivariant,orthogonal_all__m1,1,False,validation,0.4692522258419096,2.6170034366748927e-08,0.20985617814585567,68.74267578125
credit-g,classification,controlled_mlp,2,BlockAdam+DataInit,block_adam,data_equivariant,orthogonal_all__m1,1,False,test,0.5052127976719085,2.5985508430395977e-08,0.20985617814585567,68.74267578125
credit-g,classification,controlled_mlp,2,BlockAdam+DataInit,block_adam,data_equivariant,orthogonal_all__m2,2,False,validation,0.4692522264480701,2.9028391047039686e-08,0.13843610091134906,68.74267578125
credit-g,classification,controlled_mlp,2,BlockAdam+DataInit,block_adam,data_equivariant,orthogonal_all__m2,2,False,test,0.5052127853003603,3.072429017342404e-08,0.13843610091134906,68.74267578125
credit-g,classification,controlled_mlp,2,BlockAdam+DataInit,block_adam,data_equivariant,orthogonal_all__m3,3,False,validation,0.469252225013272,2.97242261811212e-08,0.21665284596383572,68.74267578125
credit-g,classification,controlled_mlp,2,BlockAdam+DataInit,block_adam,data_equivariant,orthogonal_all__m3,3,False,test,0.5052127965010577,2.7460722437804448e-08,0.21665284596383572,68.74267578125
credit-g,classification,controlled_mlp,2,BlockAdam+DataInit,block_adam,data_equivariant,orthogonal_all__m4,4,False,validation,0.4692522303473609,3.188447752412814e-08,0.14589779102243483,68.74267578125
credit-g,classification,controlled_mlp,2,BlockAdam+DataInit,block_adam,data_equivariant,orthogonal_all__m4,4,False,test,0.5052127860573733,2.8257529636930924e-08,0.14589779102243483,68.74267578125
credit-g,classification,controlled_mlp,2,BlockAdam+DataInit,block_adam,data_equivariant,orthogonal_all__m5,5,False,validation,0.46925222444364767,2.987336270421703e-08,0.17804414103738964,68.74267578125
credit-g,classification,controlled_mlp,2,BlockAdam+DataInit,block_adam,data_equivariant,orthogonal_all__m5,5,False,test,0.5052128003980315,2.6752069104619646e-08,0.17804414103738964,68.74267578125
credit-g,classification,controlled_mlp,2,BlockAdam+DataInit,block_adam,data_equivariant,orthogonal_all__m6,6,False,validation,0.4692522245074615,3.572525554537975e-08,0.17079723486676812,68.74267578125
credit-g,classification,controlled_mlp,2,BlockAdam+DataInit,block_adam,data_equivariant,orthogonal_all__m6,6,False,test,0.5052127927447654,2.8317734267554683e-08,0.17079723486676812,68.74267578125
