model,split,n_tasks,n_observations,nrmse_mean,nrmse_std_across_tasks,nrmse_ci95_low,nrmse_ci95_high,training_seconds_mean,operation_count_mean
LearnedEmbeddings,future,1,1,0.9664749262622189,nan,0.9664749262622189,0.9664749262622189,0.052063367795199156,-1.0
LearnedEmbeddings,iid,1,1,0.9388386221593529,nan,0.9388386221593529,0.9388386221593529,0.052063367795199156,-1.0
ManualPreprocessingMLP,future,1,1,0.9870445776709694,nan,0.9870445776709694,0.9870445776709694,1.1638574011158198,-1.0
ManualPreprocessingMLP,iid,1,1,0.9154337183295108,nan,0.9154337183295108,0.9154337183295108,1.1638574011158198,-1.0
TypedFull,future,1,1,0.002325940596423443,nan,0.002325940596423443,0.002325940596423443,0.004157789051532745,6.0
TypedFull,iid,1,1,0.0022096435213811477,nan,0.0022096435213811477,0.0022096435213811477,0.004157789051532745,6.0
TypedNoCategoricalConditions,future,1,1,0.7310503421150395,nan,0.7310503421150395,0.7310503421150395,0.0025694977957755327,10.0
TypedNoCategoricalConditions,iid,1,1,0.20864087199930786,nan,0.20864087199930786,0.20864087199930786,0.0025694977957755327,10.0
TypedNoOrdinal,future,1,1,0.20378691305535263,nan,0.20378691305535263,0.20378691305535263,0.0027601751498878,6.0
TypedNoOrdinal,iid,1,1,0.7023848342317882,nan,0.7023848342317882,0.7023848342317882,0.0027601751498878,6.0
TypedNoTime,future,1,1,0.29613647976960006,nan,0.29613647976960006,0.29613647976960006,0.002640774939209223,4.0
TypedNoTime,iid,1,1,0.5169489963758751,nan,0.5169489963758751,0.5169489963758751,0.002640774939209223,4.0
