dataset,split_seed,model,variance_temperature,rho,validation_nll
elevators,20260921,neural_projective,1.182466267409825,,1.3871309589050556
elevators,20260921,neural_direct,1.5881574943505583,,1.5689326190629578
elevators,20260921,bayes_linear,3.089719247762919,,1.4483860833597149
elevators,20260921,gp_rbf,2.0747496908298393,,1.362348203730932
elevators,20260921,tabpfn_independent,0.07832505081189492,0.0,1.400605389693132
elevators,20260921,tabpfn_projective,0.0772424607192066,0.25,1.3969220084411798
elevators,20260921,tabicl_independent,7.5300696977272015,,1.9761702099138145
