dataset,split_seed,context_replicate,query_family,model,n_queries,variance_temperature,rho,rmse,nll,crps,coverage90
sulfur,20260921,0,point,neural_projective,32,8.631440940595823,,1.2003196170394075,1.3799294928245707,0.5056078260255469,0.96875
sulfur,20260921,1,point,neural_projective,32,8.631440940595823,,0.4109436770112252,1.8639048630332538,0.6278216522181879,1.0
sulfur,20260921,2,point,neural_projective,32,8.631440940595823,,0.614768539163076,1.002404163366107,0.3401624196081009,0.96875
sulfur,20260921,3,point,neural_projective,32,8.631440940595823,,0.4452237114053307,1.0712554708788482,0.32675010984443703,1.0
sulfur,20260921,0,subset,neural_projective,32,8.631440940595823,,1.1328621040892959,1.8515785566819396,0.3818136771495177,0.90625
sulfur,20260921,1,subset,neural_projective,32,8.631440940595823,,0.32072210244810273,1.352459106789253,0.3856700305681384,1.0
sulfur,20260921,2,subset,neural_projective,32,8.631440940595823,,0.36369103871268443,0.47040485886614714,0.20724214167581184,0.9375
sulfur,20260921,3,subset,neural_projective,32,8.631440940595823,,1.7640893835932607,1.913980718980099,0.5343781974921984,0.9375
sulfur,20260921,0,difference,neural_projective,32,8.631440940595823,,1.3716725076434833,1.627552199235993,0.6619811624749238,0.9375
sulfur,20260921,1,difference,neural_projective,32,8.631440940595823,,0.8610001832325447,2.2299916110777582,0.9293933143927635,1.0
sulfur,20260921,2,difference,neural_projective,32,8.631440940595823,,3.4417615868787803,5.063380037700823,0.9687551849219228,0.96875
sulfur,20260921,3,difference,neural_projective,32,8.631440940595823,,0.9906624465486976,1.526927312728188,0.5504375459068411,0.96875
sulfur,20260921,0,dense,neural_projective,32,8.631440940595823,,0.6869237319095545,1.17278385125327,0.38989041707475836,0.96875
sulfur,20260921,1,dense,neural_projective,32,8.631440940595823,,0.7432912677771368,1.9632313334270721,0.7176257301294555,1.0
sulfur,20260921,2,dense,neural_projective,32,8.631440940595823,,0.8841060362683202,1.2124910976496222,0.45538158512710036,0.875
sulfur,20260921,3,dense,neural_projective,32,8.631440940595823,,1.1363212897403288,1.4888421697217482,0.5866147449024,0.9375
sulfur,20260921,0,scaled_dense,neural_projective,32,8.631440940595823,,1.7409499472008891,2.0416951830948555,0.9509695014291237,0.96875
sulfur,20260921,1,scaled_dense,neural_projective,32,8.631440940595823,,1.692937833626416,2.8176829195847475,1.6893701808040549,1.0
sulfur,20260921,2,scaled_dense,neural_projective,32,8.631440940595823,,2.064612585008112,2.079419837999473,1.0735966422056988,0.875
sulfur,20260921,3,scaled_dense,neural_projective,32,8.631440940595823,,3.0842595322410147,2.349931201340951,1.4758980361655532,0.9375
sulfur,20260921,0,point,neural_direct,32,16.10118200132365,,1.3074053106815111,1.6905656072159498,0.6562349688654302,0.96875
sulfur,20260921,1,point,neural_direct,32,16.10118200132365,,0.43632661854228855,2.3595365876819616,1.0086951196450595,1.0
sulfur,20260921,2,point,neural_direct,32,16.10118200132365,,0.6002452835048693,1.369727230544699,0.42785183112551306,1.0
sulfur,20260921,3,point,neural_direct,32,16.10118200132365,,0.5468739328972002,1.5401786207097916,0.48408057018833817,1.0
sulfur,20260921,0,subset,neural_direct,32,16.10118200132365,,1.1755677097058257,1.4609081712937686,0.4565813200953198,0.96875
sulfur,20260921,1,subset,neural_direct,32,16.10118200132365,,0.42178300232403415,1.8262832355789027,0.6110983813164047,1.0
sulfur,20260921,2,subset,neural_direct,32,16.10118200132365,,0.3779163483789432,0.8307909214783706,0.2597104529435138,1.0
sulfur,20260921,3,subset,neural_direct,32,16.10118200132365,,1.7429649392388853,1.676196879631496,0.5961622839688315,0.9375
sulfur,20260921,0,difference,neural_direct,32,16.10118200132365,,1.5264082071658023,2.0163111865744443,0.8695268018040595,0.96875
sulfur,20260921,1,difference,neural_direct,32,16.10118200132365,,1.179069478231072,2.704979935174216,1.4653947705444827,1.0
sulfur,20260921,2,difference,neural_direct,32,16.10118200132365,,3.4913936077619745,2.879500737072431,1.1042163836609311,0.96875
sulfur,20260921,3,difference,neural_direct,32,16.10118200132365,,1.0558502922522102,1.920779881134203,0.7409076051698951,0.96875
sulfur,20260921,0,dense,neural_direct,32,16.10118200132365,,0.7564959702192094,1.5577212265989373,0.5272009188995184,1.0
sulfur,20260921,1,dense,neural_direct,32,16.10118200132365,,0.8212051774652173,2.3276956121318,1.0227350340773833,1.0
sulfur,20260921,2,dense,neural_direct,32,16.10118200132365,,0.8402530476838582,1.4699156489299716,0.5188298573765924,0.9375
sulfur,20260921,3,dense,neural_direct,32,16.10118200132365,,1.1961604967180517,1.645039343495451,0.6730265686054733,0.96875
sulfur,20260921,0,scaled_dense,neural_direct,32,16.10118200132365,,1.9276243967996711,2.0715549031826272,1.0457581367170654,0.9375
