dataset,split_seed,model,variance_temperature,rho,validation_nll
pol,20260923,neural_projective,1.5074822650429254,,1.63157829567569
pol,20260923,neural_direct,2.2850184492054737,,1.8480808794458157
pol,20260923,bayes_linear,28.982359746007706,,2.70496492278155
pol,20260923,gp_rbf,1.988186470290851,,1.6354865521272768
pol,20260923,tabpfn_independent,0.4867223859965014,0.0,1.5821454211809205
pol,20260923,tabpfn_projective,0.481424854080262,0.5,1.5636445556035963
pol,20260923,tabicl_independent,267.9891455128436,,3.6851041111992116
