dataset,seed,support,nll_regret
Electricity,20261301,1,0.43040329217910767
Electricity,20261301,2,0.4207848906517029
Electricity,20261301,4,0.31645381450653076
Electricity,20261301,8,0.3149072825908661
Electricity,20261301,16,0.32286536693573
Electricity,20261301,32,0.2894710898399353
Electricity,20261302,1,0.3837999999523163
Electricity,20261302,2,0.30959659814834595
Electricity,20261302,4,0.2758985757827759
Electricity,20261302,8,0.2515687346458435
Electricity,20261302,16,0.22462505102157593
Electricity,20261302,32,0.21342843770980835
Electricity,20261303,1,0.2916018068790436
Electricity,20261303,2,0.2926942706108093
Electricity,20261303,4,0.2748199701309204
Electricity,20261303,8,0.23760253190994263
Electricity,20261303,16,0.2535431981086731
Electricity,20261303,32,0.2174088954925537
JenaWeather,20261301,1,0.8206344842910767
JenaWeather,20261301,2,0.661109447479248
JenaWeather,20261301,4,0.4166390895843506
JenaWeather,20261301,8,0.2525337338447571
JenaWeather,20261301,16,0.18772870302200317
JenaWeather,20261301,32,0.1559816598892212
JenaWeather,20261302,1,0.808481752872467
JenaWeather,20261302,2,0.6271482110023499
JenaWeather,20261302,4,0.45174407958984375
JenaWeather,20261302,8,0.28852635622024536
JenaWeather,20261302,16,0.21447604894638062
JenaWeather,20261302,32,0.15525537729263306
JenaWeather,20261303,1,0.7501659393310547
JenaWeather,20261303,2,0.573676347732544
JenaWeather,20261303,4,0.3867819309234619
JenaWeather,20261303,8,0.21568506956100464
JenaWeather,20261303,16,0.126914381980896
JenaWeather,20261303,32,0.06341242790222168
Traffic,20261301,1,0.32304027676582336
Traffic,20261301,2,-0.3290759325027466
Traffic,20261301,4,-0.0513271689414978
Traffic,20261301,8,-0.0002876073122024536
Traffic,20261301,16,-0.024608731269836426
Traffic,20261301,32,0.15124815702438354
Traffic,20261302,1,0.8283003270626068
Traffic,20261302,2,0.2694300264120102
Traffic,20261302,4,0.1003984659910202
Traffic,20261302,8,-0.16658368706703186
Traffic,20261302,16,0.8292468786239624
Traffic,20261302,32,-0.04745164513587952
Traffic,20261303,1,0.2769992742687464
Traffic,20261303,2,0.30281417816877365
Traffic,20261303,4,-0.07331520318984985
Traffic,20261303,8,-0.014570116996765137
Traffic,20261303,16,-0.10818207263946533
Traffic,20261303,32,-0.11146754026412964
