dataset,seed,support,model,nll,rmse,coverage_50,coverage_90
JenaWeather,20261301,1,direct_broad,-0.7596405744552612,0.37044277787208557,0.639892578125,0.93017578125
JenaWeather,20261301,1,projective,-1.580275058746338,0.3241811990737915,0.67626953125,0.944580078125
JenaWeather,20261301,2,direct_broad,-0.7217893600463867,0.3604598343372345,0.601806640625,0.9140625
JenaWeather,20261301,2,projective,-1.3828988075256348,0.30889537930488586,0.6845703125,0.93603515625
JenaWeather,20261301,4,direct_broad,-0.7030647993087769,0.3451407551765442,0.57373046875,0.895263671875
JenaWeather,20261301,4,projective,-1.1197038888931274,0.30608201026916504,0.646484375,0.92333984375
JenaWeather,20261301,8,direct_broad,-0.7133225798606873,0.33125215768814087,0.55322265625,0.89599609375
JenaWeather,20261301,8,projective,-0.9658563137054443,0.2838882803916931,0.633056640625,0.921142578125
JenaWeather,20261301,16,direct_broad,-0.6477871537208557,0.35263586044311523,0.517822265625,0.8818359375
JenaWeather,20261301,16,projective,-0.8355158567428589,0.30645349621772766,0.593505859375,0.903076171875
JenaWeather,20261301,32,direct_broad,-0.6651167273521423,0.3525986671447754,0.509765625,0.883056640625
JenaWeather,20261301,32,projective,-0.8210983872413635,0.2973697781562805,0.58935546875,0.902099609375
JenaWeather,20261302,1,direct_broad,-0.8085607886314392,0.3466414511203766,0.682861328125,0.9462890625
JenaWeather,20261302,1,projective,-1.6170425415039062,0.2846834361553192,0.67431640625,0.94580078125
JenaWeather,20261302,2,direct_broad,-0.7327467799186707,0.34914490580558777,0.64794921875,0.931640625
JenaWeather,20261302,2,projective,-1.3598949909210205,0.293139785528183,0.668701171875,0.9375
JenaWeather,20261302,4,direct_broad,-0.685868501663208,0.34951797127723694,0.602783203125,0.91650390625
JenaWeather,20261302,4,projective,-1.1376125812530518,0.28664812445640564,0.651611328125,0.932373046875
JenaWeather,20261302,8,direct_broad,-0.6505557894706726,0.3572249710559845,0.575439453125,0.896484375
JenaWeather,20261302,8,projective,-0.939082145690918,0.29945939779281616,0.618408203125,0.913818359375
JenaWeather,20261302,16,direct_broad,-0.6386727690696716,0.35342639684677124,0.554931640625,0.89599609375
JenaWeather,20261302,16,projective,-0.8531488180160522,0.2975567579269409,0.61083984375,0.909423828125
JenaWeather,20261302,32,direct_broad,-0.6411875486373901,0.3623388111591339,0.53662109375,0.89697265625
JenaWeather,20261302,32,projective,-0.7964429259300232,0.30359578132629395,0.59619140625,0.89892578125
JenaWeather,20261303,1,direct_broad,-0.8560656309127808,0.3668290972709656,0.72998046875,0.951171875
JenaWeather,20261303,1,projective,-1.6062315702438354,0.3292291462421417,0.694091796875,0.947265625
JenaWeather,20261303,2,direct_broad,-0.8182517290115356,0.32890012860298157,0.68359375,0.9404296875
JenaWeather,20261303,2,projective,-1.3919280767440796,0.2983781397342682,0.66259765625,0.933837890625
JenaWeather,20261303,4,direct_broad,-0.7525215148925781,0.3339334726333618,0.64306640625,0.919921875
JenaWeather,20261303,4,projective,-1.13930344581604,0.30382248759269714,0.62744140625,0.925537109375
JenaWeather,20261303,8,direct_broad,-0.7082056403160095,0.3405320942401886,0.604248046875,0.912109375
JenaWeather,20261303,8,projective,-0.9238907098770142,0.3085310757160187,0.61669921875,0.911376953125
JenaWeather,20261303,16,direct_broad,-0.7334234714508057,0.3261335790157318,0.561767578125,0.906982421875
JenaWeather,20261303,16,projective,-0.8603378534317017,0.2983299791812897,0.58642578125,0.904296875
JenaWeather,20261303,32,direct_broad,-0.6874902248382568,0.34062057733535767,0.556640625,0.900146484375
JenaWeather,20261303,32,projective,-0.7509026527404785,0.30856868624687195,0.5810546875,0.89697265625
Electricity,20261301,1,direct_broad,-0.3234526515007019,0.4365365505218506,0.5908203125,0.9326171875
Electricity,20261301,1,projective,-0.7538559436798096,0.31584709882736206,0.55712890625,0.899658203125
Electricity,20261301,2,direct_broad,-0.33997851610183716,0.4283103048801422,0.57421875,0.93359375
Electricity,20261301,2,projective,-0.76076340675354,0.31357085704803467,0.53369140625,0.896484375
Electricity,20261301,4,direct_broad,-0.3194902539253235,0.4381532669067383,0.5732421875,0.9306640625
Electricity,20261301,4,projective,-0.6359440684318542,0.32076016068458557,0.511474609375,0.878662109375
Electricity,20261301,8,direct_broad,-0.3226895034313202,0.4367291331291199,0.570556640625,0.930908203125
Electricity,20261301,8,projective,-0.6375967860221863,0.32233726978302,0.514404296875,0.888427734375
Electricity,20261301,16,direct_broad,-0.3047572374343872,0.4484492540359497,0.56201171875,0.92431640625
Electricity,20261301,16,projective,-0.6276226043701172,0.3236301839351654,0.51318359375,0.88330078125
Electricity,20261301,32,direct_broad,-0.3267744779586792,0.43744024634361267,0.5703125,0.93115234375
Electricity,20261301,32,projective,-0.6162455677986145,0.3265625536441803,0.515625,0.8818359375
Electricity,20261302,1,direct_broad,-0.39926841855049133,0.4095384478569031,0.615966796875,0.931884765625
Electricity,20261302,1,projective,-0.7830684185028076,0.3112039566040039,0.55712890625,0.903564453125
Electricity,20261302,2,direct_broad,-0.39668744802474976,0.4129601716995239,0.609375,0.92919921875
Electricity,20261302,2,projective,-0.7062840461730957,0.32225582003593445,0.540771484375,0.892822265625
Electricity,20261302,4,direct_broad,-0.3881666660308838,0.4188588261604309,0.5888671875,0.931884765625
Electricity,20261302,4,projective,-0.6640652418136597,0.32379353046417236,0.526123046875,0.8916015625
Electricity,20261302,8,direct_broad,-0.38455188274383545,0.41258135437965393,0.583740234375,0.933837890625
Electricity,20261302,8,projective,-0.636120617389679,0.3246954083442688,0.51171875,0.878662109375
Electricity,20261302,16,direct_broad,-0.39040064811706543,0.41410166025161743,0.57373046875,0.93505859375
Electricity,20261302,16,projective,-0.6150256991386414,0.3280411958694458,0.499267578125,0.8876953125
Electricity,20261302,32,direct_broad,-0.39039987325668335,0.41387444734573364,0.5810546875,0.93505859375
Electricity,20261302,32,projective,-0.6038283109664917,0.3268839120864868,0.5048828125,0.88037109375
Electricity,20261303,1,direct_broad,-0.4062688648700714,0.4043685793876648,0.645751953125,0.944091796875
Electricity,20261303,1,projective,-0.697870671749115,0.32282787561416626,0.52490234375,0.89404296875
Electricity,20261303,2,direct_broad,-0.39954811334609985,0.40280264616012573,0.626708984375,0.944091796875
Electricity,20261303,2,projective,-0.6922423839569092,0.3169669210910797,0.514892578125,0.88916015625
Electricity,20261303,4,direct_broad,-0.38814055919647217,0.40966832637786865,0.614013671875,0.939453125
Electricity,20261303,4,projective,-0.6629605293273926,0.3206724524497986,0.504150390625,0.87744140625
Electricity,20261303,8,direct_broad,-0.39367109537124634,0.4046240746974945,0.61279296875,0.94189453125
Electricity,20261303,8,projective,-0.631273627281189,0.32183364033699036,0.485107421875,0.871826171875
Electricity,20261303,16,direct_broad,-0.40091007947921753,0.3978152275085449,0.613037109375,0.94580078125
Electricity,20261303,16,projective,-0.6544532775878906,0.31365570425987244,0.504150390625,0.87744140625
Electricity,20261303,32,direct_broad,-0.4025346040725708,0.40041935443878174,0.6142578125,0.94580078125
Electricity,20261303,32,projective,-0.6199434995651245,0.3219028115272522,0.485107421875,0.87353515625
