dataset,support,nll_regret
Electricity,1,0.3686016996701558
Electricity,2,0.3410252531369527
Electricity,4,0.289057453473409
Electricity,8,0.2680261830488841
Electricity,16,0.26701120535532635
Electricity,32,0.24010280768076578
JenaWeather,1,0.7930940588315328
JenaWeather,2,0.6206446687380472
JenaWeather,4,0.41838836669921875
JenaWeather,8,0.2522483865420024
JenaWeather,16,0.17637304464975992
JenaWeather,32,0.12488315502802531
Traffic,1,0.47611329269905883
Traffic,2,0.08105609069267909
Traffic,4,-0.008081302046775818
Traffic,8,-0.06048047045866648
Traffic,16,0.23215202490488687
Traffic,32,-0.00255700945854187
