dataset,seed,model,train_seconds,heldout_nll,rmse,pit_calibration_error,mean_additivity_violation,scale_violation,variance_polarization_violation
JenaWeather,20261301,joint_gaussian_matched,11.797707678982988,0.1060081273317337,0.41650906205177307,0.0319552905857563,8.253642391764515e-08,3.146863392089472e-07,5.146860644344997e-07
JenaWeather,20261301,direct_mixture4_matched,12.557885097106919,0.3370782136917114,0.48092424869537354,0.043728288263082504,0.08568290621042252,0.3394893407821655,0.5170269012451172
JenaWeather,20261302,joint_gaussian_matched,12.163111408008263,0.12095696479082108,0.4113258719444275,0.0361328087747097,8.181009292229646e-08,3.316044931978013e-07,5.102970135340001e-07
JenaWeather,20261302,direct_mixture4_matched,12.510855796048418,0.381350040435791,0.45848774909973145,0.01565212942659855,0.09623278677463531,0.3160711005330086,0.5192702412605286
JenaWeather,20261303,joint_gaussian_matched,12.16297828196548,0.1398492455482483,0.41790062189102173,0.0350748673081398,8.547905849809467e-08,2.215955454687446e-07,4.788508363162691e-07
JenaWeather,20261303,direct_mixture4_matched,12.449306813068688,0.2582785189151764,0.4466308355331421,0.005072690546512604,0.07332844287157059,0.3124223165214062,0.36877986788749695
Electricity,20261301,joint_gaussian_matched,12.216052019037306,0.4006991684436798,0.4150981605052948,0.0158962644636631,8.958269148706677e-08,2.8790336159545404e-07,3.4292315831407905e-07
Electricity,20261301,direct_mixture4_matched,12.43959452980198,0.7631582021713257,0.557915210723877,0.01786024309694767,0.14086073637008667,0.33628378063440323,0.45807093381881714
Electricity,20261302,joint_gaussian_matched,12.23833897896111,0.48629429936408997,0.4579710364341736,0.0035047803539782763,8.812617124931421e-08,2.745073572896217e-07,3.834871336039214e-07
Electricity,20261302,direct_mixture4_matched,12.466436176095158,0.7009512186050415,0.5358269214630127,0.014626731164753437,0.09831215441226959,0.3405989408493042,0.4965578317642212
Electricity,20261303,joint_gaussian_matched,12.190582415089011,0.46267399191856384,0.4353499710559845,0.00583766819909215,9.115452570540583e-08,2.8294221365854355e-07,3.210719512480864e-07
Electricity,20261303,direct_mixture4_matched,12.420675504021347,0.7435420751571655,0.5506703853607178,0.084635429084301,0.13734771311283112,0.34984153509140015,0.48994868993759155
Traffic,20261301,joint_gaussian_matched,12.210242392029613,2.6848256587982178,0.8291171789169312,0.0333116352558136,9.442056381203656e-08,1.294174225563438e-07,1.232010333751532e-07
Traffic,20261301,direct_mixture4_matched,12.466274804901332,1.2800567150115967,1.0361934900283813,0.07877061516046524,0.17335563898086548,0.4395039230585098,0.7495971322059631
Traffic,20261302,joint_gaussian_matched,12.154064578935504,3.774038076400757,0.8319726586341858,0.0438368134200573,9.166276981886767e-08,1.552218797939986e-07,1.5510967443788104e-07
Traffic,20261302,direct_mixture4_matched,12.39727393980138,1.333432912826538,1.0365549325942993,0.078016497194767,0.16330882906913757,0.4469538703560829,0.801767110824585
Traffic,20261303,joint_gaussian_matched,12.113475156016648,1.8401011228561401,0.8677598834037781,0.03081597574055195,8.967656839331539e-08,1.2380900926700633e-07,1.2589975995069835e-07
Traffic,20261303,direct_mixture4_matched,12.43183769308962,1.2423977851867676,1.0299127101898193,0.09370659291744232,0.16343286633491516,0.4295910969376564,0.7041696906089783
