dataset,seed,model,train_seconds,heldout_nll,rmse,pit_calibration_error,mean_additivity_violation,scale_violation,variance_polarization_violation
JenaWeather,20261301,joint_gaussian,13.811079890001565,0.12842242419719696,0.4199548661708832,0.0304361954331398,9.777109966080388e-08,4.1226703118013575e-07,4.4015365574523457e-07
JenaWeather,20261301,projective_mixture4,13.590033771004528,0.016580533236265182,0.41710835695266724,0.015435109846293926,9.036700987508084e-08,1.1582196854931226e-06,1.6613056459391373e-06
JenaWeather,20261301,direct_mixture4,12.449236900079995,0.32650840282440186,0.48215430974960327,0.03365886211395264,0.07648605108261108,0.38246311619877815,0.6975852847099304
JenaWeather,20261302,joint_gaussian,13.810100469971076,0.1286805123090744,0.4088534414768219,0.0395779050886631,9.553408375495565e-08,3.2365918301024976e-07,5.900391784052772e-07
JenaWeather,20261302,projective_mixture4,13.86545312195085,0.01796700432896614,0.4053296744823456,0.013970266096293926,8.739648649225273e-08,1.218915489431538e-06,1.6727606180211296e-06
JenaWeather,20261302,direct_mixture4,12.377624809043482,0.4343554377555847,0.48790594935417175,0.018202044069767,0.13418860733509064,0.36426644027233124,0.5882083177566528
JenaWeather,20261303,joint_gaussian,13.893521475838497,0.1498517394065857,0.4185163974761963,0.0362955704331398,9.938042211388165e-08,2.577483471100095e-07,3.9791277117728896e-07
JenaWeather,20261303,projective_mixture4,14.084587559103966,0.007191102486103773,0.41149643063545227,0.015543616376817226,9.06437165326679e-08,1.0175415710023117e-06,1.7489960555394646e-06
JenaWeather,20261303,direct_mixture4,12.486296979011968,0.3036915063858032,0.4502032995223999,0.014431433752179146,0.0764707401394844,0.3452250063419342,0.506854772567749
Electricity,20261301,joint_gaussian,13.882698548957705,0.44322749972343445,0.4393249750137329,0.013780377805233002,1.0843442055374908e-07,2.655438890997175e-07,2.946499648714962e-07
Electricity,20261301,projective_mixture4,14.074110756162554,0.4414202868938446,0.4406129717826843,0.010281037539243698,1.0271353545476813e-07,6.629151165782332e-07,1.0965793535433477e-06
Electricity,20261301,direct_mixture4,10.607946743955836,0.736210823059082,0.552260160446167,0.01898328773677349,0.10182857513427734,0.3593079149723053,0.5366170406341553
Electricity,20261302,joint_gaussian,13.844467905117199,0.4777141809463501,0.45254597067832947,0.0038357318844646215,1.0491648794186403e-07,2.9478539431693207e-07,4.130383786105085e-07
Electricity,20261302,projective_mixture4,14.142896498087794,0.46877342462539673,0.45747804641723633,0.014865455217659473,1.0596248500860384e-07,9.053154208515934e-07,1.3304613730724668e-06
Electricity,20261302,direct_mixture4,12.466338782804087,0.7332088947296143,0.5578261017799377,0.023356130346655846,0.12375258654356003,0.36097966879606247,0.5352984070777893
Electricity,20261303,joint_gaussian,13.90524307009764,0.44607192277908325,0.43463414907455444,0.008029508404433727,1.0043527964853638e-07,3.6468555109081535e-07,3.429035757562815e-07
Electricity,20261303,projective_mixture4,13.962093823822215,0.45018696784973145,0.4458802044391632,0.0166015662252903,1.0370118985747467e-07,8.502344428507058e-07,1.431777832294756e-06
Electricity,20261303,direct_mixture4,12.379111165180802,0.7266674041748047,0.5459999442100525,0.032362207770347595,0.11521747708320618,0.3580482304096222,0.5254626870155334
Traffic,20261301,joint_gaussian,13.847340878099203,1.9975857734680176,0.8457592725753784,0.033094622194767,9.930571565064383e-08,1.4930579084193596e-07,1.3012478916607506e-07
Traffic,20261301,projective_mixture4,13.980331528000534,0.8747814893722534,0.833831787109375,0.0585666224360466,1.1236553376647862e-07,4.3882263156547197e-07,5.902833777327032e-07
Traffic,20261301,direct_mixture4,12.350640732096508,1.4522974491119385,1.1276142597198486,0.0852593332529068,0.16490069031715393,0.46525852382183075,0.927044153213501
Traffic,20261302,joint_gaussian,13.660233485046774,3.149777889251709,0.8315116167068481,0.036892369389534,1.095714807775039e-07,1.5145577592079462e-07,1.5369268169251882e-07
Traffic,20261302,projective_mixture4,13.86472755111754,0.982937216758728,0.8401732444763184,0.0702311173081398,1.0662361660251918e-07,4.93330546191828e-07,5.984663857816486e-07
Traffic,20261302,direct_mixture4,12.365637482143939,1.228737235069275,1.1155723333358765,0.0677083358168602,0.15586021542549133,0.4508419781923294,0.9197297692298889
Traffic,20261303,joint_gaussian,13.828676955075935,2.1656007766723633,0.8803184628486633,0.0399034358561039,1.063635721720857e-07,1.2437642027407492e-07,1.5178808610016858e-07
Traffic,20261303,projective_mixture4,13.95132994116284,0.8473790287971497,0.8835210204124451,0.0655110701918602,1.0458008148361841e-07,3.2038571973203034e-07,5.330415433490998e-07
Traffic,20261303,direct_mixture4,12.360983210150152,1.4312918186187744,1.09454345703125,0.0869954451918602,0.16972550749778748,0.4717562422156334,0.8542734384536743
