n_regimes,model,split,n_tasks,n_observations,nrmse_mean,nrmse_std_across_tasks,nrmse_ci95_low,nrmse_ci95_high,functional_recovery_rate,operator_accuracy_mean,regime_accuracy_mean,training_seconds_mean
1,HardProgramRouter,iid,4,20,0.0009358802209561644,0.00023739268790931358,0.0007568449006396085,0.0011645648085527212,0.5,1.0,1.0,0.02596672737272456
1,HardProgramRouter,ood,4,20,0.0010884728817833348,0.000416699734842703,0.0007212889234056242,0.0014565933300802573,0.6499999999999999,1.0,1.0,0.02596672737272456
1,MLP,iid,4,20,0.12724250634983708,0.1816431940354671,0.006085387739705395,0.29428106097452905,-1.0,-1.0,-1.0,0.981215724570211
1,MLP,ood,4,20,1.1511335032172962,1.2609115626213403,0.07230681862373126,2.2299601878108612,-1.0,-1.0,-1.0,0.981215724570211
1,NeuralMoE,iid,4,20,0.14353241351174023,0.193155867963166,0.006589085554822936,0.3139474047338223,-1.0,-1.0,1.0,1.3924693800741808
1,NeuralMoE,ood,4,20,2.62316010294309,3.2604174446935015,0.06772511933053207,5.1785950865556485,-1.0,-1.0,1.0,1.3924693800741808
1,OracleRouter,iid,4,20,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0
1,OracleRouter,ood,4,20,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0
1,RandomForest,iid,4,20,0.198713219471301,0.19357548928217727,0.06960980369657244,0.37684866991744276,-1.0,-1.0,-1.0,0.3988855691626668
1,RandomForest,ood,4,20,0.9048311094359496,0.2574354616185624,0.6960853917311493,1.1135768271407498,-1.0,-1.0,-1.0,0.3988855691626668
1,SingleProgram,iid,4,20,0.0009358802209561644,0.00023739268790931358,0.0007568449006396085,0.0011645648085527212,-1.0,-1.0,-1.0,0.023565351322758943
1,SingleProgram,ood,4,20,0.0010884728817833348,0.000416699734842703,0.0007212889234056242,0.0014565933300802573,-1.0,-1.0,-1.0,0.023565351322758943
