git_commit,git_dirty,task_id,task_seed,seed,n_regimes,model,split,training_seconds,regime_accuracy,functional_recovery,operator_accuracy,mae,rmse,r2,nrmse,relative_error
c000f06e0b8c6989d62ece8a769bbf269910a9b8,True,regime-scale-202613100-r1,202613100,0,1,OracleRouter,iid,0.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0
c000f06e0b8c6989d62ece8a769bbf269910a9b8,True,regime-scale-202613100-r1,202613100,0,1,HardProgramRouter,iid,0.023737808922305703,1.0,0.0,1.0,0.0028508541174687707,0.0037472648927337634,0.9999970866775257,0.0017068457675716037,0.0023273264340786864
c000f06e0b8c6989d62ece8a769bbf269910a9b8,True,regime-scale-202613100-r1,202613100,0,1,SingleProgram,iid,0.02129281614907086,-1.0,-1.0,-1.0,0.0028508541174687707,0.0037472648927337634,0.9999970866775257,0.0017068457675716037,0.0023273264340786864
c000f06e0b8c6989d62ece8a769bbf269910a9b8,True,regime-scale-202613100-r1,202613100,0,1,NeuralMoE,iid,2.692651515128091,1.0,-1.0,-1.0,0.257317893126924,0.8230616974483145,0.8594520376494224,0.3748972690625762,0.0936723541723232
c000f06e0b8c6989d62ece8a769bbf269910a9b8,True,regime-scale-202613100-r1,202613100,0,1,MLP,iid,1.1794762269128114,-1.0,-1.0,-1.0,0.21453624438242969,0.7370868231589054,0.8872810160460272,0.33573647992729777,0.04865666490651398
c000f06e0b8c6989d62ece8a769bbf269910a9b8,True,regime-scale-202613100-r1,202613100,0,1,RandomForest,iid,0.3624317680951208,-1.0,-1.0,-1.0,0.3485860895497308,0.7988175840844123,0.8676100545865926,0.3638542914593799,0.12411141651499301
c000f06e0b8c6989d62ece8a769bbf269910a9b8,True,regime-scale-202613100-r1,202613100,0,1,OracleRouter,ood,0.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0
c000f06e0b8c6989d62ece8a769bbf269910a9b8,True,regime-scale-202613100-r1,202613100,0,1,HardProgramRouter,ood,0.023737808922305703,1.0,0.0,1.0,0.0020288070081733167,0.002547318062664756,0.9999958389564013,0.002039863622575519,0.0022684688526348543
c000f06e0b8c6989d62ece8a769bbf269910a9b8,True,regime-scale-202613100-r1,202613100,0,1,SingleProgram,ood,0.02129281614907086,-1.0,-1.0,-1.0,0.0020288070081733167,0.002547318062664756,0.9999958389564013,0.002039863622575519,0.0022684688526348543
c000f06e0b8c6989d62ece8a769bbf269910a9b8,True,regime-scale-202613100-r1,202613100,0,1,NeuralMoE,ood,2.692651515128091,1.0,-1.0,-1.0,4.338020580999,5.960103618287008,-21.779465856535673,4.772783868617526,3.003789537407447
c000f06e0b8c6989d62ece8a769bbf269910a9b8,True,regime-scale-202613100-r1,202613100,0,1,MLP,ood,1.1794762269128114,-1.0,-1.0,-1.0,1.7468351367315336,2.294801403621409,-2.3769616582148516,1.837651125272382,1.2962241979436893
c000f06e0b8c6989d62ece8a769bbf269910a9b8,True,regime-scale-202613100-r1,202613100,0,1,RandomForest,ood,0.3624317680951208,-1.0,-1.0,-1.0,1.146735015462177,1.4652411889707904,-0.3767470449979762,1.1733486459692941,0.8863972275245992
c000f06e0b8c6989d62ece8a769bbf269910a9b8,True,regime-scale-202613100-r1,202613100,1,1,OracleRouter,iid,0.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0
c000f06e0b8c6989d62ece8a769bbf269910a9b8,True,regime-scale-202613100-r1,202613100,1,1,HardProgramRouter,iid,0.026729156030341983,1.0,0.0,1.0,0.0019148923569218823,0.002492761068966222,0.9999987719705193,0.001108164915809408,0.0017178283998934155
c000f06e0b8c6989d62ece8a769bbf269910a9b8,True,regime-scale-202613100-r1,202613100,1,1,SingleProgram,iid,0.02165769413113594,-1.0,-1.0,-1.0,0.0019148923569218823,0.002492761068966222,0.9999987719705193,0.001108164915809408,0.0017178283998934155
c000f06e0b8c6989d62ece8a769bbf269910a9b8,True,regime-scale-202613100-r1,202613100,1,1,NeuralMoE,iid,1.4146293469239026,1.0,-1.0,-1.0,0.26848209144054636,0.804085105264484,0.8722233432254829,0.3574586084772852,0.10255494581052599
c000f06e0b8c6989d62ece8a769bbf269910a9b8,True,regime-scale-202613100-r1,202613100,1,1,MLP,iid,0.7549040941521525,-1.0,-1.0,-1.0,0.22973977373294474,0.8031889194888486,0.8725080091335173,0.35706020622085943,0.05964771357346522
c000f06e0b8c6989d62ece8a769bbf269910a9b8,True,regime-scale-202613100-r1,202613100,1,1,RandomForest,iid,0.3790949380490929,-1.0,-1.0,-1.0,0.36390391204613104,1.013171199857907,0.79713218187755,0.45040850138785127,0.12135759670712729
c000f06e0b8c6989d62ece8a769bbf269910a9b8,True,regime-scale-202613100-r1,202613100,1,1,OracleRouter,ood,0.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0
c000f06e0b8c6989d62ece8a769bbf269910a9b8,True,regime-scale-202613100-r1,202613100,1,1,HardProgramRouter,ood,0.026729156030341983,1.0,0.0,1.0,0.001463752385461703,0.00179965592495212,0.9999978808808059,0.0014557194764683891,0.0016346500015091041
c000f06e0b8c6989d62ece8a769bbf269910a9b8,True,regime-scale-202613100-r1,202613100,1,1,SingleProgram,ood,0.02165769413113594,-1.0,-1.0,-1.0,0.001463752385461703,0.00179965592495212,0.9999978808808059,0.0014557194764683891,0.0016346500015091041
c000f06e0b8c6989d62ece8a769bbf269910a9b8,True,regime-scale-202613100-r1,202613100,1,1,NeuralMoE,ood,1.4146293469239026,1.0,-1.0,-1.0,3.2949015397462063,4.231789962696242,-10.717221297877668,3.4230426958888005,2.8665740755462674
c000f06e0b8c6989d62ece8a769bbf269910a9b8,True,regime-scale-202613100-r1,202613100,1,1,MLP,ood,0.7549040941521525,-1.0,-1.0,-1.0,1.8399378304029597,3.0233624764538716,-4.980766696589955,2.4455606098786333,1.1794809355661915
c000f06e0b8c6989d62ece8a769bbf269910a9b8,True,regime-scale-202613100-r1,202613100,1,1,RandomForest,ood,0.3790949380490929,-1.0,-1.0,-1.0,0.44535423693407067,0.5795332689979431,0.7802478317968927,0.4687773119543087,0.3569257345863316
c000f06e0b8c6989d62ece8a769bbf269910a9b8,True,regime-scale-202613100-r1,202613100,2,1,OracleRouter,iid,0.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0
c000f06e0b8c6989d62ece8a769bbf269910a9b8,True,regime-scale-202613100-r1,202613100,2,1,HardProgramRouter,iid,0.027727090986445546,1.0,0.0,1.0,0.0018239286127936793,0.0026610313391994063,0.999998521277952,0.0012160271576225905,0.0012819159538367082
c000f06e0b8c6989d62ece8a769bbf269910a9b8,True,regime-scale-202613100-r1,202613100,2,1,SingleProgram,iid,0.021513307001441717,-1.0,-1.0,-1.0,0.0018239286127936793,0.0026610313391994063,0.999998521277952,0.0012160271576225905,0.0012819159538367082
c000f06e0b8c6989d62ece8a769bbf269910a9b8,True,regime-scale-202613100-r1,202613100,2,1,NeuralMoE,iid,1.3847611309029162,1.0,-1.0,-1.0,0.3034292891952646,0.8211759966458522,0.8591817112944672,0.3752576297765747,0.11707422842302123
c000f06e0b8c6989d62ece8a769bbf269910a9b8,True,regime-scale-202613100-r1,202613100,2,1,MLP,iid,0.8984818940516561,-1.0,-1.0,-1.0,0.2579203306818272,0.805351575647858,0.864556678612815,0.3680262509484683,0.07907901452846511
c000f06e0b8c6989d62ece8a769bbf269910a9b8,True,regime-scale-202613100-r1,202613100,2,1,RandomForest,iid,0.3818576910998672,-1.0,-1.0,-1.0,0.444260527256083,1.0447627838465094,0.7720592580382329,0.4774314002678993,0.17207033484327539
c000f06e0b8c6989d62ece8a769bbf269910a9b8,True,regime-scale-202613100-r1,202613100,2,1,OracleRouter,ood,0.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0
c000f06e0b8c6989d62ece8a769bbf269910a9b8,True,regime-scale-202613100-r1,202613100,2,1,HardProgramRouter,ood,0.027727090986445546,1.0,0.0,1.0,0.0014473621849901974,0.001644739832051635,0.9999984582209758,0.0012416839470110704,0.001347615008004039
c000f06e0b8c6989d62ece8a769bbf269910a9b8,True,regime-scale-202613100-r1,202613100,2,1,SingleProgram,ood,0.021513307001441717,-1.0,-1.0,-1.0,0.0014473621849901974,0.001644739832051635,0.9999984582209758,0.0012416839470110704,0.001347615008004039
