hypothesis,dataset,task,seed,training_seed,arm,budget_per_numeric,input_features,train_rows,val_rows,test_rows,split_fingerprint,failure,parameters,best_epoch,epochs_trained,batches_per_epoch,gradient_updates,forced_epoch_budget,train_seconds,val_proper_loss,val_metric,test_proper_loss,test_metric
external_selective_measure_orbit,give_me_some_credit_external,binclass,101,101,baseline_anchor,102,1030,21000,4500,4500,c4173b61b8d4eee8,,124872,5,11,42,462,,5.2203683198895305,0.18116439138652327,0.9386666666666666,0.17738560329494965,0.9364444444444444
external_selective_measure_orbit,give_me_some_credit_external,binclass,101,101,measure_orbit,102,1030,21000,4500,4500,c4173b61b8d4eee8,,124872,5,11,42,462,,5.13580690510571,0.18141767504760176,0.9382222222222222,0.1772911273487927,0.9364444444444444
external_selective_measure_orbit,give_me_some_credit_external,binclass,101,10101,baseline_seedmate_update_matched,102,1030,21000,4500,4500,c4173b61b8d4eee8,,124872,11,11,42,462,11,4.856994800036773,0.18218117199858533,0.9391111111111111,0.17766534467741923,0.9366666666666666
external_selective_measure_orbit,give_me_some_credit_external,binclass,202,202,baseline_anchor,102,1030,21000,4500,4500,c4173b61b8d4eee8,,124872,14,20,42,840,,8.520757543854415,0.18036636055211996,0.9386666666666666,0.17645522688640358,0.9355555555555556
external_selective_measure_orbit,give_me_some_credit_external,binclass,202,202,measure_orbit,102,1030,21000,4500,4500,c4173b61b8d4eee8,,124872,14,20,42,840,,8.050021935952827,0.18081302971569993,0.9391111111111111,0.1763481762118035,0.9351111111111111
external_selective_measure_orbit,give_me_some_credit_external,binclass,202,10202,baseline_seedmate_update_matched,102,1030,21000,4500,4500,c4173b61b8d4eee8,,124872,12,20,42,840,20,8.534711703890935,0.18077319756839058,0.9388888888888889,0.17586349087251169,0.9362222222222222
external_selective_measure_orbit,give_me_some_credit_external,binclass,303,303,baseline_anchor,102,1030,21000,4500,4500,c4173b61b8d4eee8,,124872,3,9,42,378,,3.8152979051228613,0.18183665843874897,0.9377777777777778,0.17777194596652462,0.9351111111111111
external_selective_measure_orbit,give_me_some_credit_external,binclass,303,303,measure_orbit,102,1030,21000,4500,4500,c4173b61b8d4eee8,,124872,19,25,42,1050,,10.58626409014687,0.18060401511592586,0.9404444444444444,0.17571176467561064,0.9366666666666666
external_selective_measure_orbit,give_me_some_credit_external,binclass,303,10303,baseline_seedmate_update_matched,102,1030,21000,4500,4500,c4173b61b8d4eee8,,124872,13,25,42,1050,25,10.2789061460644,0.180931256030411,0.9397777777777778,0.1761584967222438,0.9355555555555556
external_selective_measure_orbit,taiwanese_bankruptcy_external,binclass,101,101,baseline_anchor,10,1034,4773,1023,1023,a7ef619c98e2b583,,125128,17,23,10,230,,2.389815269038081,0.08766354914857785,0.9726295210166178,0.06515912633056771,0.9736070381231672
external_selective_measure_orbit,taiwanese_bankruptcy_external,binclass,101,101,measure_orbit,10,1034,4773,1023,1023,a7ef619c98e2b583,,125128,17,23,10,230,,2.5270419910084456,0.0876823306293116,0.9726295210166178,0.06530369154053144,0.9765395894428153
external_selective_measure_orbit,taiwanese_bankruptcy_external,binclass,101,10101,baseline_seedmate_update_matched,10,1034,4773,1023,1023,a7ef619c98e2b583,,125128,18,23,10,230,23,2.5138067931402475,0.0879376366547605,0.9765395894428153,0.06566448819857183,0.9745845552297165
external_selective_measure_orbit,taiwanese_bankruptcy_external,binclass,202,202,baseline_anchor,10,1034,4773,1023,1023,a7ef619c98e2b583,,125128,24,30,10,300,,3.193230278091505,0.08728203644981142,0.9755620723362659,0.06542669330899042,0.9726295210166178
external_selective_measure_orbit,taiwanese_bankruptcy_external,binclass,202,202,measure_orbit,10,1034,4773,1023,1023,a7ef619c98e2b583,,125128,24,30,10,300,,3.311864831019193,0.08707786260846655,0.9765395894428153,0.06499376372380632,0.9726295210166178
external_selective_measure_orbit,taiwanese_bankruptcy_external,binclass,202,10202,baseline_seedmate_update_matched,10,1034,4773,1023,1023,a7ef619c98e2b583,,125128,23,30,10,300,30,3.2282380189280957,0.08731012343088125,0.9765395894428153,0.06508205503162774,0.9736070381231672
external_selective_measure_orbit,taiwanese_bankruptcy_external,binclass,303,303,baseline_anchor,10,1034,4773,1023,1023,a7ef619c98e2b583,,125128,21,27,10,270,,2.916805770015344,0.0873752502824386,0.9765395894428153,0.06624386333282645,0.9726295210166178
external_selective_measure_orbit,taiwanese_bankruptcy_external,binclass,303,303,measure_orbit,10,1034,4773,1023,1023,a7ef619c98e2b583,,125128,21,27,10,270,,2.7539155590347946,0.08774165288431782,0.9755620723362659,0.06674258962047482,0.9716520039100685
external_selective_measure_orbit,taiwanese_bankruptcy_external,binclass,303,10303,baseline_seedmate_update_matched,10,1034,4773,1023,1023,a7ef619c98e2b583,,125128,27,27,10,270,27,2.8820378759410232,0.08692605416881419,0.9765395894428153,0.0646263609374463,0.9716520039100685
external_selective_measure_orbit,year_external,regression,101,101,baseline_anchor,11,1080,50000,20000,20000,cb0cd19a7d312f94,,128072,12,18,49,882,,16.1036545408424,0.6698698401451111,8.946157201139954,0.6762672066688538,8.988774457752015
external_selective_measure_orbit,year_external,regression,101,101,measure_orbit,11,1080,50000,20000,20000,cb0cd19a7d312f94,,128072,12,18,49,882,,15.375012286007404,0.6698698401451111,8.946157201139954,0.6762672066688538,8.988774457752015
external_selective_measure_orbit,year_external,regression,101,10101,baseline_seedmate_update_matched,11,1080,50000,20000,20000,cb0cd19a7d312f94,,128072,11,18,49,882,18,15.976399441016838,0.6696270704269409,8.944536243005473,0.6804259419441223,9.01637048817895
external_selective_measure_orbit,year_external,regression,202,202,baseline_anchor,11,1080,50000,20000,20000,cb0cd19a7d312f94,,128072,10,16,49,784,,13.597058963030577,0.6662164330482483,8.921728163273997,0.6772803664207458,8.995505212771036
external_selective_measure_orbit,year_external,regression,202,202,measure_orbit,11,1080,50000,20000,20000,cb0cd19a7d312f94,,128072,10,16,49,784,,13.846110894111916,0.6662164330482483,8.921728163273997,0.6772803664207458,8.995505212771036
