dataset,task,seed,selected_arm,selected_val_proper_loss,selected_test_proper_loss,selected_test_metric,seed_ensemble_val_proper_loss,seed_ensemble_test_proper_loss,seed_ensemble_test_metric,baseline_test_proper_loss,baseline_test_metric,selective_vs_seed_relative_proper_loss_reduction,selective_vs_baseline_relative_proper_loss_reduction,seed_vs_baseline_relative_proper_loss_reduction,raw_orbit_vs_baseline_relative_proper_loss_reduction,validation_prefers_orbit,orbit_test_better_than_baseline,selective_vs_seed_official_gain,selective_vs_baseline_official_gain,selective_gradient_updates,seed_ensemble_gradient_updates,selective_train_seconds,seed_ensemble_train_seconds,seed_over_selective_time_ratio
coil2000_external,binclass,101,measure_orbit,0.21216715937167996,0.20487578739528575,0.9402579769178547,0.21188438997289172,0.20539685249044567,0.9402579769178547,0.2055045183410396,0.9402579769178548,0.002536869912279502,0.0030594507158741117,0.0005239098948435838,0.0030594507158743815,True,True,0.0,-1.1102230246251565e-14,378,378,3.9212072929367423,3.8544891769997776,0.9829853126976623
coil2000_external,binclass,202,measure_orbit,0.21227451174504247,0.20496921522128167,0.9402579769178547,0.21259827963910194,0.20524957944923639,0.9402579769178547,0.2051384131600762,0.9402579769178548,0.001365967368639882,0.0008247989062023869,-0.0005419086920275872,0.0008247989062027928,True,True,0.0,-1.1102230246251565e-14,364,364,3.978441353188828,4.047246282221749,1.017294443457806
coil2000_external,binclass,303,measure_orbit,0.21203633264237587,0.20546316351617464,0.9402579769178547,0.21199163632253706,0.20575283436486186,0.9402579769178547,0.2056109002780908,0.9402579769178548,0.00140785836356232,0.0007185259230729646,-0.0006903042911590667,0.0007185259230730995,True,True,0.0,-1.1102230246251565e-14,350,350,3.611714624799788,3.6653599739074707,1.014853152776614
give_me_some_credit_external,binclass,101,baseline_anchor,0.18116439138652327,0.17738560329494965,0.9364444444444444,0.18130154033409335,0.17718622858945066,0.9368888888888889,0.1773856032949496,0.9364444444444444,-0.0011252268705428336,-3.129405667660421e-16,0.0011239621581207299,0.0005326021075103531,False,True,-0.04444444444444695,0.0,924,924,10.35617522499524,10.077363119926304,0.973077695286962
give_me_some_credit_external,binclass,202,baseline_anchor,0.18036636055211996,0.17645522688640358,0.9355555555555556,0.18031154470708113,0.1759286331884623,0.9353333333333333,0.1764552268864035,0.9355555555555556,-0.0029932233792618066,-4.718858620180819e-16,0.0029842907304763588,0.0006066732988812405,False,True,0.022222222222223476,0.0,1680,1680,16.570779479807243,17.05546924774535,1.0292496661686157
give_me_some_credit_external,binclass,303,measure_orbit,0.18060401511592586,0.17571176467561064,0.9366666666666666,0.1809275101085706,0.17648348230931937,0.9362222222222222,0.1777719459665246,0.9351111111111112,0.0043727470900429884,0.011588899922949017,0.007247845829666785,0.01158889992294933,True,True,0.04444444444444695,0.15555555555554212,1428,1428,14.40156199526973,14.094204051187262,0.978658013333316
openml_credit_43454_external,binclass,101,measure_orbit,0.2104883931164514,0.2122120747495265,0.9300184162062615,0.20984130985555632,0.20856547575810547,0.9304276652342951,0.210426626074565,0.9298137916922448,-0.017484192808834575,-0.008484899027601297,0.008844652177239346,-0.008484899027601297,True,False,-0.04092490280336314,0.020462451401670467,2700,2700,27.415196822723374,26.677228132961318,0.9730817657617404
openml_credit_43454_external,binclass,202,measure_orbit,0.21250585058973803,0.21507436830133547,0.9304276652342951,0.21133196094564277,0.21342641641052565,0.9302230407202783,0.2142946950952453,0.9302230407202784,-0.007721405431087726,-0.00363832247804197,0.004051797382729086,-0.0036383224780415814,True,False,0.02046245140168157,0.020462451401670467,2520,2520,26.699131285771728,24.691722977906466,0.9248137219754774
openml_credit_43454_external,binclass,303,measure_orbit,0.21022109564064073,0.21248469566282077,0.9306322897483118,0.21015710469979873,0.2106260459824396,0.9291999181501944,0.2115954441236744,0.9291999181501944,-0.008824405698315763,-0.004202602484326741,0.00458137529968833,-0.004202602484326347,True,False,0.14323715981173768,0.14323715981173768,2700,2700,27.80289538926445,27.73774817213416,0.9976568189672992
taiwanese_bankruptcy_external,binclass,101,baseline_anchor,0.08766354914857785,0.06515912633056771,0.9736070381231672,0.08749948055058486,0.06528072790832355,0.9745845552297165,0.0651591263305677,0.9736070381231672,0.0018627484964109514,-2.1298302462511773e-16,-0.0018662248038585167,-0.002218648685224613,False,False,-0.09775171065493637,0.0,460,460,4.916857260046527,4.903622062178329,0.997308199695821
