git_commit,git_dirty,task_id,task_seed,seed,model,multiplier,training_seconds,mean_node_validation_nrmse,mae,rmse,r2,nrmse,relative_error
c000f06e0b8c6989d62ece8a769bbf269910a9b8,True,program-202608500,202608500,0,ExactPrimitives,1.0,0.0,0.3898503929376602,0.0,0.0,1.0,0.0,0.0
c000f06e0b8c6989d62ece8a769bbf269910a9b8,True,program-202608500,202608500,0,NeuralPrimitives,1.0,2.957272132160142,0.3898503929376602,0.8001647352297141,2.4012930279894373,0.6856432261096579,0.5606752838233038,0.22350971798890013
c000f06e0b8c6989d62ece8a769bbf269910a9b8,True,program-202608500,202608500,0,ExactPrimitives,2.0,0.0,0.3898503929376602,0.0,0.0,1.0,0.0,0.0
c000f06e0b8c6989d62ece8a769bbf269910a9b8,True,program-202608500,202608500,0,NeuralPrimitives,2.0,2.957272132160142,0.3898503929376602,2.0296790854081337,2.8897701986839524,-66.70948056367867,8.228577067979534,3.2664389864128056
c000f06e0b8c6989d62ece8a769bbf269910a9b8,True,program-202608500,202608500,0,ExactPrimitives,4.0,0.0,0.3898503929376602,0.0,0.0,1.0,0.0,0.0
c000f06e0b8c6989d62ece8a769bbf269910a9b8,True,program-202608500,202608500,0,NeuralPrimitives,4.0,2.957272132160142,0.3898503929376602,6.207174294544529,9.243792539752931,-888.4933063390586,29.82437436626389,11.869482882466409
c000f06e0b8c6989d62ece8a769bbf269910a9b8,True,program-202608500,202608500,0,ExactPrimitives,8.0,0.0,0.3898503929376602,0.0,0.0,1.0,0.0,0.0
c000f06e0b8c6989d62ece8a769bbf269910a9b8,True,program-202608500,202608500,0,NeuralPrimitives,8.0,2.957272132160142,0.3898503929376602,14.955384014990159,21.542203866671635,-6132.103898998819,78.31413601003857,51.03650216120615
c000f06e0b8c6989d62ece8a769bbf269910a9b8,True,program-202608500,202608500,1,ExactPrimitives,1.0,0.0,0.35500289499759674,0.0,0.0,1.0,0.0,0.0
c000f06e0b8c6989d62ece8a769bbf269910a9b8,True,program-202608500,202608500,1,NeuralPrimitives,1.0,2.1409404571168125,0.35500289499759674,0.6534610928985103,2.1084340180946555,0.757644693892412,0.49229595377941926,0.19286297428096413
c000f06e0b8c6989d62ece8a769bbf269910a9b8,True,program-202608500,202608500,1,ExactPrimitives,2.0,0.0,0.35500289499759674,0.0,0.0,1.0,0.0,0.0
c000f06e0b8c6989d62ece8a769bbf269910a9b8,True,program-202608500,202608500,1,NeuralPrimitives,2.0,2.1409404571168125,0.35500289499759674,3.959254643523309,5.37207748856438,-232.99544474793424,15.296909646982108,7.354103883079553
c000f06e0b8c6989d62ece8a769bbf269910a9b8,True,program-202608500,202608500,1,ExactPrimitives,4.0,0.0,0.35500289499759674,0.0,0.0,1.0,0.0,0.0
c000f06e0b8c6989d62ece8a769bbf269910a9b8,True,program-202608500,202608500,1,NeuralPrimitives,4.0,2.1409404571168125,0.35500289499759674,10.529347302406677,13.793020201471059,-1979.437079136897,44.502101963130876,41.19420131062439
c000f06e0b8c6989d62ece8a769bbf269910a9b8,True,program-202608500,202608500,1,ExactPrimitives,8.0,0.0,0.35500289499759674,0.0,0.0,1.0,0.0,0.0
c000f06e0b8c6989d62ece8a769bbf269910a9b8,True,program-202608500,202608500,1,NeuralPrimitives,8.0,2.1409404571168125,0.35500289499759674,22.846719202308122,27.9311798022325,-10309.473726891438,101.54050288870661,160.7392146083064
c000f06e0b8c6989d62ece8a769bbf269910a9b8,True,program-202608500,202608500,2,ExactPrimitives,1.0,0.0,0.3409203886985779,0.0,0.0,1.0,0.0,0.0
c000f06e0b8c6989d62ece8a769bbf269910a9b8,True,program-202608500,202608500,2,NeuralPrimitives,1.0,1.9949125610291958,0.3409203886985779,0.5457134079061916,2.1311085742437075,0.7524039818124243,0.4975902111050575,0.10497161635521533
c000f06e0b8c6989d62ece8a769bbf269910a9b8,True,program-202608500,202608500,2,ExactPrimitives,2.0,0.0,0.3409203886985779,0.0,0.0,1.0,0.0,0.0
c000f06e0b8c6989d62ece8a769bbf269910a9b8,True,program-202608500,202608500,2,NeuralPrimitives,2.0,1.9949125610291958,0.3409203886985779,1.8220811370811134,2.2710205914545227,-40.81816868104491,6.466696891075452,4.341582252664072
c000f06e0b8c6989d62ece8a769bbf269910a9b8,True,program-202608500,202608500,2,ExactPrimitives,4.0,0.0,0.3409203886985779,0.0,0.0,1.0,0.0,0.0
c000f06e0b8c6989d62ece8a769bbf269910a9b8,True,program-202608500,202608500,2,NeuralPrimitives,4.0,1.9949125610291958,0.3409203886985779,6.473153487080708,7.926597138892077,-653.0574196978804,25.574546324380428,28.54054158246812
c000f06e0b8c6989d62ece8a769bbf269910a9b8,True,program-202608500,202608500,2,ExactPrimitives,8.0,0.0,0.3409203886985779,0.0,0.0,1.0,0.0,0.0
c000f06e0b8c6989d62ece8a769bbf269910a9b8,True,program-202608500,202608500,2,NeuralPrimitives,8.0,1.9949125610291958,0.3409203886985779,15.779820855171238,18.57912939845838,-4560.952697859241,67.54222899682273,120.77791571442349
c000f06e0b8c6989d62ece8a769bbf269910a9b8,True,program-202608500,202608500,3,ExactPrimitives,1.0,0.0,0.37855498492717743,0.0,0.0,1.0,0.0,0.0
c000f06e0b8c6989d62ece8a769bbf269910a9b8,True,program-202608500,202608500,3,NeuralPrimitives,1.0,1.1006129370070994,0.37855498492717743,0.6916555973313052,2.206654809526085,0.734538645809218,0.515229418988068,0.1857280376447104
c000f06e0b8c6989d62ece8a769bbf269910a9b8,True,program-202608500,202608500,3,ExactPrimitives,2.0,0.0,0.37855498492717743,0.0,0.0,1.0,0.0,0.0
