seed,task_family,query_family,domain,direct_broad,direct_long,direct_moment,projective,advantage_vs_direct_long,advantage_vs_direct_broad,advantage_vs_direct_moment,best_control,advantage_vs_best_control
2027083101,additive,dense,breast_cancer,1.1325681606928508,1.2866040468215942,1.237889587879181,1.0626606543858843,0.22394339243570993,0.06990750630696652,0.1752289334932966,1.1325681606928508,0.06990750630696652
2027083101,additive,dense,diabetes,1.1254223585128784,1.2468671401341755,1.2268977562586467,1.0789351065953572,0.16793203353881836,0.04648725191752123,0.14796264966328954,1.1254223585128784,0.04648725191752123
2027083101,additive,dense,digits,1.133021612962087,1.252870460351308,1.229536235332489,1.0633504788080852,0.1895199815432227,0.06967113415400172,0.16618575652440382,1.133021612962087,0.06967113415400172
2027083101,additive,dense,gaussian,1.1163582801818848,1.2622533043225606,1.2356542746225994,1.0357714692751567,0.22648183504740382,0.08058681090672803,0.19988280534744263,1.1163582801818848,0.08058681090672803
2027083101,additive,dense,wine,1.1206908623377485,1.2163543105125427,1.1915828585624697,1.0554629564285278,0.1608913540840149,0.06522790590922067,0.13611990213394187,1.1206908623377485,0.06522790590922067
2027083101,additive,point,breast_cancer,1.126785735289256,1.10296227534612,1.10594642162323,1.0345825950304668,0.06837968031565311,0.09220314025878928,0.07136382659276319,1.10296227534612,0.06837968031565311
2027083101,additive,point,diabetes,1.1177634398142495,1.1175116499265034,1.1127633055051167,1.0580309828122456,0.05948066711425781,0.059732457002003914,0.054732322692871094,1.1127633055051167,0.054732322692871094
2027083101,additive,point,digits,1.140400489171346,1.1252967913945515,1.12936270236969,1.0682349999745686,0.05706179141998291,0.07216548919677734,0.06112770239512133,1.1252967913945515,0.05706179141998291
2027083101,additive,point,gaussian,1.1383447647094729,1.1379748582839966,1.1390468279520671,1.074055274327596,0.06391958395640063,0.06428949038187692,0.06499155362447118,1.1379748582839966,0.06391958395640063
2027083101,additive,point,wine,1.1334557334582012,1.1375364263852437,1.1374064485232036,1.058625260988871,0.07891116539637255,0.07483047246933006,0.0787811875343325,1.1334557334582012,0.07483047246933006
2027083101,additive,scaled_dense,breast_cancer,1.9577602942784629,9.360281785329184,2.309526244799296,1.9014315605163568,7.458850224812827,0.05632873376210612,0.40809468428293916,1.9577602942784629,0.05632873376210612
2027083101,additive,scaled_dense,diabetes,1.9904089371363325,9.666312217712402,2.3636500040690103,1.9272063573201497,7.739105860392253,0.06320257981618282,0.4364436467488606,1.9904089371363325,0.06320257981618282
2027083101,additive,scaled_dense,digits,1.9713415900866191,9.119538068771362,2.3308455546696982,1.9029075105985005,7.216630558172862,0.06843407948811864,0.42793804407119773,1.9713415900866191,0.06843407948811864
2027083101,additive,scaled_dense,gaussian,1.9913347760836284,11.947197755177816,2.4724905490875244,1.913722554842631,10.033475200335186,0.07761222124099731,0.5587679942448933,1.9913347760836284,0.07761222124099731
2027083101,additive,scaled_dense,wine,2.004697799682617,9.367108742396036,2.300568421681722,1.918372352917989,7.448736389478047,0.08632544676462817,0.38219606876373313,2.004697799682617,0.08632544676462817
2027083101,interaction,dense,breast_cancer,1.3458107908566792,1.541562557220459,1.415637989838918,1.240422606468201,0.3011399507522581,0.1053881843884783,0.17521538337071707,1.3458107908566792,0.1053881843884783
2027083101,interaction,dense,diabetes,1.2719846765200298,1.3769286672274272,1.3516713579495747,1.1947884956995647,0.18214017152786255,0.07719618082046509,0.15688286225001002,1.2719846765200298,0.07719618082046509
2027083101,interaction,dense,digits,1.324655016263326,1.456142286459605,1.3879343469937642,1.199105163415273,0.257037123044332,0.12554985284805298,0.1888291835784912,1.324655016263326,0.12554985284805298
2027083101,interaction,dense,gaussian,1.2961095571517944,1.3973678549130757,1.363965630531311,1.2066889802614849,0.19067887465159084,0.08942057689030958,0.15727665026982618,1.2961095571517944,0.08942057689030958
