model,extrapolation_multiplier,n,nrmse_mean,nrmse_std,nrmse_ci95_low,nrmse_ci95_high,nrmse_median,rmse_mean,r2_mean,training_seconds_mean
EQL,1.0,8,0.47896886304424546,0.44082353968929083,0.20540530144099767,0.7826395182718635,0.49448802248577955,0.9455953690643707,0.6005541092329314,1.2794537799200043
EQL,2.0,8,1526873522644.375,2839567523845.2896,2.333811234702911,3631609957989.7944,4.593845164640159,6.230890287820556,-9386593511333.977,1.2794537799200043
EQL,4.0,8,28313610788216.688,52525148123415.17,9.87206069190626,68528020037056.85,18.131039781277238,69.88063817777768,-3215690343080246.5,1.2794537799200043
EQL,8.0,8,7997.821011175458,14682.21166690616,65.25664904445684,16360.41255806226,102.00521667815738,1028.7492168622593,-252586561.92965552,1.2794537799200043
Linear,1.0,8,0.6573362050847242,0.44019842491985256,0.35665649780160197,0.9091417796455553,0.8110608943330995,1.2002938341605418,0.39835629184563404,0.0010846024961210787
Linear,2.0,8,34024583529.92842,63001286634.75654,0.9167565179564939,85061458822.88213,1.651894770223301,2.695680744596563,-4630689137.887444,0.0010846024961210787
Linear,4.0,8,45251125012.94742,83788802146.67554,0.9125626310384729,113127812530.79793,1.5706085133555259,7.630748254063231,-8190657259.828257,0.0010846024961210787
Linear,8.0,8,2.0026327719287376,2.037282772078084,0.8603491214046838,3.3623514329471478,1.4474416046428402,25.890975973831285,-6.64224397593337,0.0010846024961210787
MLP,1.0,8,0.22662174215790898,0.22615059442883503,0.08084494046697308,0.37407748589455714,0.1852304817682689,0.5093236454371511,0.9038915060408632,0.9880210201081354
MLP,2.0,8,9934376961.133974,19789909640.2166,0.47139168477206095,23282326879.00065,0.8828458695378687,1.122675163494328,-441377303.1355789,0.9880210201081354
MLP,4.0,8,35637550646.629745,68933625312.60051,0.9018543838348442,84431801812.65913,1.7132743579467142,5.182257453056069,-5427899128.143037,0.9880210201081354
MLP,8.0,8,2.91865468821086,2.628086097611144,1.3105509074230395,4.743015149906162,2.5042848776120046,22.073857400504597,-13.56202715841508,0.9880210201081354
PolynomialSR,1.0,8,0.5320990388639342,0.4362217434525996,0.25140664724952705,0.8127914304783415,0.5992714870172071,1.0008257640312017,0.550367379561855,0.06778389494866133
PolynomialSR,2.0,8,142459065356.58154,263782932199.26184,1.8264446994600916,356147663386.8279,3.732617938451583,3.151249895828688,-81178341218.74895,0.06778389494866133
PolynomialSR,4.0,8,737967648320.4395,1366450563578.3867,6.2790221157307275,1485159892244.2488,12.558043712841911,13.031469867555685,-2178384999985.1465,0.06778389494866133
PolynomialSR,8.0,8,100.27738428732806,122.55905965389968,30.379649865148263,185.14488730506213,60.759299200444936,79.70028742691625,-23197.686514850593,0.06778389494866133
RandomForest,1.0,8,0.2547041949843846,0.17185783904500082,0.15651342374926971,0.36255206864434936,0.25554806276395753,0.5146976321615815,0.9092825458212913,0.35875177537673153
RandomForest,2.0,8,26771136017.68045,49743298798.75044,0.7982209992944463,65959105927.30104,1.1967488726608748,2.8308094054704385,-2881790027.109806,0.35875177537673153
RandomForest,4.0,8,26889936353.925636,50012220953.88341,0.9779921465200399,58180262799.63695,1.3199166542041678,8.979236897693383,-2911638141.4397383,0.35875177537673153
RandomForest,8.0,8,1.3374533859839812,0.6101746949787321,0.9407241984631285,1.7153380609864128,1.3008840272029072,30.252296562860636,-1.1145555732733567,0.35875177537673153
TabALU-compiled,1.0,8,0.7620497391770533,0.25158591882536585,0.603359712797754,0.920662245843981,0.7776569537550458,1.48555174370803,0.3638966547878819,2.5717736635997426
TabALU-compiled,2.0,8,104703462212.42877,256852911292.5182,1.1148758842918705,288207774335.76514,1.6495218895393247,3.548521277946752,-68689555784.3998,2.5717736635997426
TabALU-compiled,4.0,8,372322120841.66833,1006803468144.2537,1.000482583795036,1087818863971.1277,1.5485587113633161,9.2583251770219,-1025570332202.3109,2.5717736635997426
TabALU-compiled,8.0,8,24.669882723878896,66.11161208992905,0.9214190200473708,71.56882989009465,1.3934302918507604,29.631556685797044,-4432.005210098036,2.5717736635997426
TabALU-hard,1.0,8,0.7781032155340067,0.2543558820398399,0.617503010162547,0.9409481048802231,0.817208906723691,1.511138862808266,0.33794558558840715,2.5717736635997426
TabALU-hard,2.0,8,31444048084.634636,60976833422.3313,1.1583716866360165,74509802682.68791,1.9388533115279392,3.672102945398281,-4242130598.30129,2.5717736635997426
TabALU-hard,4.0,8,86677794070.31166,188752416073.43015,1.2686925552335155,219817724061.80957,2.0582961229403867,9.388326825859611,-38687080237.75465,2.5717736635997426
TabALU-hard,8.0,8,6.282096767694654,12.77012003978107,1.3061917413271178,15.424766564484596,1.89242596605746,29.381491110482912,-181.15620990029547,2.5717736635997426
TabALU-soft,1.0,8,0.7769712946344336,0.27237099218710137,0.5972611754874012,0.9391867064298202,0.8663339477916114,1.4883974425234836,0.3314028946022294,2.5717736635997426
TabALU-soft,2.0,8,32206841336.106705,62106821848.407555,1.0853596584733494,76460794449.61047,1.7967191332662866,3.502207984233493,-4412380784.725985,2.5717736635997426
TabALU-soft,4.0,8,32626822275.275017,63229875963.44166,1.1565867113890154,77202880023.1127,1.8241632805147676,8.94676473040996,-4562774595.041493,2.5717736635997426
TabALU-soft,8.0,8,2.815912148343541,2.9716057275776313,1.1250004051489026,4.967696003276477,1.7626365574359233,28.357392928641914,-14.655996752339396,2.5717736635997426
