git_commit,git_dirty,dataset,task_generation_seed,seed,split,model,hyperparameters,training_seconds,extrapolation_multiplier,parameter_count,program_complexity,regime_count,residual_usage,compiled_metric,status,error,mae,rmse,r2,nrmse,relative_error
unknown,True,program-202608310,202608310,0,ood_test,TabALU-hard,"{""device"": ""cuda:0"", ""end_temperature"": 0.12, ""entropy_weight"": 0.0002, ""epochs"": 350, ""gradient_clip"": 5.0, ""learning_rate"": 0.025, ""n_nodes"": 3, ""operators"": [""identity"", ""add"", ""subtract"", ""multiply"", ""safe_divide"", ""abs"", ""square""], ""patience"": 100, ""selector"": ""straight_through_gumbel"", ""start_temperature"": 2.0, ""weight_decay"": 1e-05}",2.2173353959806263,8.0,60,0,1,0.0,0.42826205943818596,ok,,9.400855406187475,10.220820458371238,0.795107363647438,0.452650678064843,0.45419907246682034
unknown,True,program-202608310,202608310,0,ood_test,TabALU-compiled,"{""device"": ""cuda:0"", ""end_temperature"": 0.12, ""entropy_weight"": 0.0002, ""epochs"": 350, ""gradient_clip"": 5.0, ""learning_rate"": 0.025, ""n_nodes"": 3, ""operators"": [""identity"", ""add"", ""subtract"", ""multiply"", ""safe_divide"", ""abs"", ""square""], ""patience"": 100, ""selector"": ""straight_through_gumbel"", ""start_temperature"": 2.0, ""weight_decay"": 1e-05}",2.2173353959806263,8.0,0,0,1,0.0,0.42826205943818596,ok,,9.414060092531145,10.22418026361194,0.7949726362051357,0.4527994741548011,0.45163081740552347
unknown,True,program-202608310,202608310,0,iid_test,Linear,"{""budget"": ""configs/baseline_search_spaces.yaml""}",0.0024119620211422443,1.0,-1,,1,0.0,,ok,,7.697199180256575e-07,9.36206665646722e-07,0.9999999999998656,3.667146868992076e-07,3.698937656568107e-07
unknown,True,program-202608310,202608310,0,ood_test,Linear,"{""budget"": ""configs/baseline_search_spaces.yaml""}",0.0024119620211422443,2.0,-1,,1,0.0,,ok,,2.3030443117022514e-06,2.6455633694539954e-06,0.9999999999998614,3.72182711793629e-07,3.6735888549877324e-07
unknown,True,program-202608310,202608310,0,ood_test,Linear,"{""budget"": ""configs/baseline_search_spaces.yaml""}",0.0024119620211422443,4.0,-1,,1,0.0,,ok,,3.6214514693710953e-06,4.295503316912746e-06,0.9999999999998624,3.7082810477315367e-07,3.741544807492087e-07
unknown,True,program-202608310,202608310,0,ood_test,Linear,"{""budget"": ""configs/baseline_search_spaces.yaml""}",0.0024119620211422443,8.0,-1,,1,0.0,,ok,,6.949827366042882e-06,8.252025474644446e-06,0.9999999999998664,3.654584230023165e-07,3.624706058310418e-07
unknown,True,program-202608310,202608310,0,iid_test,RandomForest,"{""budget"": ""configs/baseline_search_spaces.yaml""}",0.3938218308612704,1.0,-1,,1,0.0,,ok,,0.11702351646457877,0.15345800731349007,0.9963867978606258,0.060109917146625336,0.05156951481957385
unknown,True,program-202608310,202608310,0,ood_test,RandomForest,"{""budget"": ""configs/baseline_search_spaces.yaml""}",0.3938218308612704,2.0,-1,,1,0.0,,ok,,2.5681322281074404,3.0491974941696016,0.8159875690137849,0.42896670148883953,0.4041225102580591
unknown,True,program-202608310,202608310,0,ood_test,RandomForest,"{""budget"": ""configs/baseline_search_spaces.yaml""}",0.3938218308612704,4.0,-1,,1,0.0,,ok,,6.524277765063743,7.862779666499581,0.5392457207184722,0.6787888326140374,0.6567146410434365
unknown,True,program-202608310,202608310,0,ood_test,RandomForest,"{""budget"": ""configs/baseline_search_spaces.yaml""}",0.3938218308612704,8.0,-1,,1,0.0,,ok,,15.893350435857972,18.930259000985323,0.29714143156218065,0.8383666074205361,0.8254665553519798
unknown,True,program-202608310,202608310,0,iid_test,PolynomialSR,"{""budget"": ""configs/baseline_search_spaces.yaml""}",0.043978390051051974,1.0,-1,,1,0.0,,ok,,1.0639341780915856e-06,1.3411750419583017e-06,0.999999999999724,5.253418968652825e-07,5.048015992712333e-07
unknown,True,program-202608310,202608310,0,ood_test,PolynomialSR,"{""budget"": ""configs/baseline_search_spaces.yaml""}",0.043978390051051974,2.0,-1,,1,0.0,,ok,,2.8600916266441345e-06,3.728150223621261e-06,0.9999999999997249,5.24483017954605e-07,4.637932410466242e-07
unknown,True,program-202608310,202608310,0,ood_test,PolynomialSR,"{""budget"": ""configs/baseline_search_spaces.yaml""}",0.043978390051051974,4.0,-1,,1,0.0,,ok,,4.6706118155270815e-06,6.007451798381941e-06,0.999999999999731,5.186195424733508e-07,4.826580126961027e-07
unknown,True,program-202608310,202608310,0,ood_test,PolynomialSR,"{""budget"": ""configs/baseline_search_spaces.yaml""}",0.043978390051051974,8.0,-1,,1,0.0,,ok,,9.645955287851393e-06,1.1964011625183568e-05,0.9999999999997192,5.298515903465942e-07,5.235215002177328e-07
unknown,True,program-202608310,202608310,0,iid_test,MLP,"{""budget"": ""configs/baseline_search_spaces.yaml""}",1.3898709730710834,1.0,-1,,1,0.0,,ok,,0.007893804744526278,0.010537953332428948,0.999982961722328,0.004127744865168889,0.003277795048021671
unknown,True,program-202608310,202608310,0,ood_test,MLP,"{""budget"": ""configs/baseline_search_spaces.yaml""}",1.3898709730710834,2.0,-1,,1,0.0,,ok,,0.192223958671093,0.2262849637275544,0.9989865847205976,0.03183418413282075,0.02889913396190525
unknown,True,program-202608310,202608310,0,ood_test,MLP,"{""budget"": ""configs/baseline_search_spaces.yaml""}",1.3898709730710834,4.0,-1,,1,0.0,,ok,,0.6521542679402046,0.8086392247612286,0.9951266593107468,0.06980931663648621,0.06440240691587096
unknown,True,program-202608310,202608310,0,ood_test,MLP,"{""budget"": ""configs/baseline_search_spaces.yaml""}",1.3898709730710834,8.0,-1,,1,0.0,,ok,,1.7206328879547073,2.1103746143133293,0.9912647781378623,0.09346240881840008,0.08591986961952378
unknown,True,program-202608310,202608310,0,iid_test,EQL,"{""budget"": ""configs/baseline_search_spaces.yaml""}",1.8728835659567267,1.0,-1,,1,0.0,,ok,,0.0151242410793202,0.019142420401821573,0.9999437779276765,0.0074981379237433554,0.007024925653929406
unknown,True,program-202608310,202608310,0,ood_test,EQL,"{""budget"": ""configs/baseline_search_spaces.yaml""}",1.8728835659567267,2.0,-1,,1,0.0,,ok,,0.455259338254109,0.592396882218653,0.9930545309117336,0.08333948096950444,0.06928723719828386
unknown,True,program-202608310,202608310,0,ood_test,EQL,"{""budget"": ""configs/baseline_search_spaces.yaml""}",1.8728835659567267,4.0,-1,,1,0.0,,ok,,3.6876865706872195,5.142756561863791,0.8028897995234104,0.44397094553201294,0.3326070550170665
unknown,True,program-202608310,202608310,0,ood_test,EQL,"{""budget"": ""configs/baseline_search_spaces.yaml""}",1.8728835659567267,8.0,-1,,1,0.0,,ok,,45.09461809680215,67.92726891684345,-8.049886637779936,3.0083029498007567,1.7936993009164959
unknown,True,program-202608310,202608310,1,iid_test,TabALU-soft,"{""device"": ""cuda:0"", ""end_temperature"": 0.12, ""entropy_weight"": 0.0002, ""epochs"": 350, ""gradient_clip"": 5.0, ""learning_rate"": 0.025, ""n_nodes"": 3, ""operators"": [""identity"", ""add"", ""subtract"", ""multiply"", ""safe_divide"", ""abs"", ""square""], ""patience"": 100, ""selector"": ""straight_through_gumbel"", ""start_temperature"": 2.0, ""weight_decay"": 1e-05}",2.0301347551867366,1.0,60,0,1,0.0,0.42826205943818596,ok,,0.9014976593462052,1.0562635437275156,0.8288181439151789,0.413741291249521,0.42256639033548987
