dataset,data_role,method,start_seed,round,indices,selector_utility,test_utility,selector_improvement,test_improvement,posthoc_test_diagnostic
electricity,confirmation,fm_static,4101,2,1;3;4;6;14;22;28;51;53;55;81;83;103;115;120;130;132;133;139;147;162;172;192;198;200;207;210;219;224;231;235;237,-0.7966975058932525,-0.6671023115062882,0.0,0.0,True
electricity,confirmation,fm_static,4101,3,1;3;4;6;14;22;28;51;53;55;81;83;103;115;120;130;132;133;139;147;162;172;192;198;200;207;210;219;224;231;235;237,-0.7966975058932525,-0.6671023115062882,0.0,0.0,True
electricity,confirmation,fm_static,4101,4,1;3;4;6;14;22;28;51;53;55;81;83;103;115;120;130;132;133;139;147;162;172;192;198;200;207;210;219;224;231;235;237,-0.7966975058932525,-0.6671023115062882,0.0,0.0,True
electricity,confirmation,random_search,4102,0,1;21;27;57;59;65;66;69;81;92;94;96;99;110;130;137;139;141;158;161;173;174;178;184;192;193;203;210;228;230;244;248,-0.7434417478958922,-0.6880188715020175,0.0,0.0,True
electricity,confirmation,random_search,4102,1,1;21;27;57;59;65;66;69;81;92;94;96;110;130;137;139;141;158;161;173;174;178;184;192;193;203;210;228;230;244;248;255,-0.6665658621761337,-0.6996554869320849,0.07687588571975856,-0.011636615430067443,True
electricity,confirmation,random_search,4102,2,1;21;27;57;59;65;66;69;81;92;94;96;110;130;137;139;141;158;161;173;174;178;192;193;196;203;210;228;230;244;248;255,-0.6141465885021877,-0.6640763206181723,0.1292951593937045,0.023942550883845115,True
electricity,confirmation,random_search,4102,3,1;12;21;27;59;65;66;69;81;92;94;96;110;130;137;139;141;158;161;173;174;178;192;193;196;203;210;228;230;244;248;255,-0.5504629017951239,-0.5987180648687624,0.19297884610076832,0.08930080663325501,True
electricity,confirmation,random_search,4102,4,1;12;21;27;45;59;65;66;69;81;92;94;96;110;130;137;139;141;161;173;174;178;192;193;196;203;210;228;230;244;248;255,-0.5381121912875666,-0.6086564127081837,0.20532955660832564,0.07936245879383375,True
electricity,confirmation,row_active,4102,0,1;21;27;57;59;65;66;69;81;92;94;96;99;110;130;137;139;141;158;161;173;174;178;184;192;193;203;210;228;230;244;248,-0.7434417478958922,-0.6880188715020175,0.0,0.0,True
electricity,confirmation,row_active,4102,1,1;21;27;47;57;59;65;66;69;81;92;94;96;99;110;130;137;139;141;161;173;174;178;184;192;193;203;210;228;230;244;248,-0.7031614182213657,-0.6746231642764968,0.04028032967452655,0.013395707225520637,True
electricity,confirmation,row_active,4102,2,1;21;27;32;47;57;59;65;66;69;81;92;94;96;99;110;130;137;139;141;161;173;174;178;184;192;193;210;228;230;244;248,-0.6271346873414618,-0.629742876666207,0.11630706055443041,0.058275994835810474,True
electricity,confirmation,row_active,4102,3,1;21;27;32;47;57;59;65;66;69;81;92;94;96;99;110;130;137;139;141;161;173;174;178;192;193;210;228;230;244;248;255,-0.5841500171439047,-0.6430487752047909,0.15929173075198755,0.04497009629722659,True
electricity,confirmation,row_active,4102,4,1;21;27;32;47;57;59;65;66;69;92;94;96;99;101;110;130;137;139;141;161;173;174;178;192;193;210;228;230;244;248;255,-0.5449694547777871,-0.6380361227442715,0.1984722931181051,0.049982748757746,True
electricity,confirmation,contextual_active,4102,0,1;21;27;57;59;65;66;69;81;92;94;96;99;110;130;137;139;141;158;161;173;174;178;184;192;193;203;210;228;230;244;248,-0.7434417478958922,-0.6880188715020175,0.0,0.0,True
