dataset,seed,truth_expression,compiled_expression,feature_precision,feature_recall,feature_f1,operator_accuracy,exact_program,depth_error,coefficient_error
program-202608500,0,"safe_divide(safe_divide(x0, x1), x2)","(1 * safe_divide(safe_divide(x0, x1), x2) + -2.0123684e-17)",1.0,1.0,1.0,1.0,True,0.0,2.01236838074041e-17
program-202608500,1,"safe_divide(safe_divide(x0, x1), x2)","(1 * safe_divide(safe_divide(x0, x1), x2) + -2.0123684e-17)",1.0,1.0,1.0,1.0,True,0.0,2.01236838074041e-17
program-202608500,2,"safe_divide(safe_divide(x0, x1), x2)","(1 * safe_divide(safe_divide(x0, x1), x2) + -2.0123684e-17)",1.0,1.0,1.0,1.0,True,0.0,2.01236838074041e-17
program-202608500,3,"safe_divide(safe_divide(x0, x1), x2)","(1 * safe_divide(safe_divide(x0, x1), x2) + -2.0123684e-17)",1.0,1.0,1.0,1.0,True,0.0,2.01236838074041e-17
program-202608500,4,"safe_divide(safe_divide(x0, x1), x2)","(1 * safe_divide(safe_divide(x0, x1), x2) + -2.0123684e-17)",1.0,1.0,1.0,1.0,True,0.0,2.01236838074041e-17
program-202608501,0,"safe_divide(add(x2, x3), x1)","(1 * safe_divide(add(x2, x3), x1) + -1.4549458e-17)",1.0,1.0,1.0,1.0,True,0.0,2.3659406339786395e-16
program-202608501,1,"safe_divide(add(x2, x3), x1)","(1 * safe_divide(add(x2, x3), x1) + -1.4549458e-17)",1.0,1.0,1.0,1.0,True,0.0,2.3659406339786395e-16
program-202608501,2,"safe_divide(add(x2, x3), x1)","(1 * safe_divide(add(x2, x3), x1) + -1.4549458e-17)",1.0,1.0,1.0,1.0,True,0.0,2.3659406339786395e-16
program-202608501,3,"safe_divide(add(x2, x3), x1)","(1 * safe_divide(add(x2, x3), x1) + -1.4549458e-17)",1.0,1.0,1.0,1.0,True,0.0,2.3659406339786395e-16
program-202608501,4,"safe_divide(add(x2, x3), x1)","(1 * safe_divide(add(x2, x3), x1) + -1.4549458e-17)",1.0,1.0,1.0,1.0,True,0.0,2.3659406339786395e-16
program-202608502,0,"multiply(x0, multiply(x0, x3))","(1 * multiply(x0, multiply(x0, x3)) + 1.4299208e-17)",1.0,1.0,1.0,1.0,True,0.0,2.3634381285433927e-16
program-202608502,1,"multiply(x0, multiply(x0, x3))","(1 * multiply(x0, multiply(x0, x3)) + 1.4299208e-17)",1.0,1.0,1.0,1.0,True,0.0,2.3634381285433927e-16
program-202608502,2,"multiply(x0, multiply(x0, x3))","(1 * multiply(x0, multiply(x0, x3)) + 1.4299208e-17)",1.0,1.0,1.0,1.0,True,0.0,2.3634381285433927e-16
program-202608502,3,"multiply(x0, multiply(x0, x3))","(1 * multiply(x0, multiply(x0, x3)) + 1.4299208e-17)",1.0,1.0,1.0,1.0,True,0.0,2.3634381285433927e-16
program-202608502,4,"multiply(x0, multiply(x0, x3))","(1 * multiply(x0, multiply(x0, x3)) + 1.4299208e-17)",1.0,1.0,1.0,1.0,True,0.0,2.3634381285433927e-16
program-202608503,0,"add(x0, x2)","(1 * add(x0, x2) + 1.3901631e-17)",1.0,1.0,1.0,1.0,True,0.0,4.579908406690067e-16
program-202608503,1,"add(x0, x2)","(1 * add(x0, x2) + 1.3901631e-17)",1.0,1.0,1.0,1.0,True,0.0,4.579908406690067e-16
program-202608503,2,"add(x0, x2)","(1 * add(x0, x2) + 1.3901631e-17)",1.0,1.0,1.0,1.0,True,0.0,4.579908406690067e-16
program-202608503,3,"add(x0, x2)","(1 * add(x0, x2) + 1.3901631e-17)",1.0,1.0,1.0,1.0,True,0.0,4.579908406690067e-16
program-202608503,4,"add(x0, x2)","(1 * add(x0, x2) + 1.3901631e-17)",1.0,1.0,1.0,1.0,True,0.0,4.579908406690067e-16
program-202608504,0,"add(x1, x2)","(1 * add(x1, x2) + 1.0290112e-18)",1.0,1.0,1.0,1.0,True,0.0,1.120513136339352e-16
program-202608504,1,"add(x1, x2)","(1 * add(x1, x2) + 1.0290112e-18)",1.0,1.0,1.0,1.0,True,0.0,1.120513136339352e-16
program-202608504,2,"add(x1, x2)","(1 * add(x1, x2) + 1.0290112e-18)",1.0,1.0,1.0,1.0,True,0.0,1.120513136339352e-16
program-202608504,3,"add(x1, x2)","(1 * add(x1, x2) + 1.0290112e-18)",1.0,1.0,1.0,1.0,True,0.0,1.120513136339352e-16
program-202608504,4,"add(x1, x2)","(1 * add(x1, x2) + 1.0290112e-18)",1.0,1.0,1.0,1.0,True,0.0,1.120513136339352e-16
program-202608505,0,"subtract(add(x3, multiply(x1, x3)), x3)","(1 * subtract(add(x3, multiply(x1, x3)), x3) + 1.83701e-17)",1.0,1.0,1.0,1.0,True,0.0,6.845039151476283e-16
program-202608505,1,"subtract(add(x3, multiply(x1, x3)), x3)","(1 * subtract(add(x3, multiply(x1, x3)), x3) + 1.83701e-17)",1.0,1.0,1.0,1.0,True,0.0,6.845039151476283e-16
program-202608505,2,"subtract(add(x3, multiply(x1, x3)), x3)","(1 * subtract(add(x3, multiply(x1, x3)), x3) + 1.83701e-17)",1.0,1.0,1.0,1.0,True,0.0,6.845039151476283e-16
program-202608505,3,"subtract(add(x3, multiply(x1, x3)), x3)","(1 * subtract(add(x3, multiply(x1, x3)), x3) + 1.83701e-17)",1.0,1.0,1.0,1.0,True,0.0,6.845039151476283e-16
program-202608505,4,"subtract(add(x3, multiply(x1, x3)), x3)","(1 * subtract(add(x3, multiply(x1, x3)), x3) + 1.83701e-17)",1.0,1.0,1.0,1.0,True,0.0,6.845039151476283e-16
program-202608506,0,"add(x0, x2)","(1 * add(x0, x2) + -2.0652274e-17)",1.0,1.0,1.0,1.0,True,0.0,2.4269687899488387e-16
program-202608506,1,"add(x0, x2)","(1 * add(x0, x2) + -2.0652274e-17)",1.0,1.0,1.0,1.0,True,0.0,2.4269687899488387e-16
program-202608506,2,"add(x0, x2)","(1 * add(x0, x2) + -2.0652274e-17)",1.0,1.0,1.0,1.0,True,0.0,2.4269687899488387e-16
program-202608506,3,"add(x0, x2)","(1 * add(x0, x2) + -2.0652274e-17)",1.0,1.0,1.0,1.0,True,0.0,2.4269687899488387e-16
program-202608506,4,"add(x0, x2)","(1 * add(x0, x2) + -2.0652274e-17)",1.0,1.0,1.0,1.0,True,0.0,2.4269687899488387e-16
program-202608507,0,"square(add(x0, abs(x3)))","(1 * square(add(x0, abs(x3))) + -2.1288307e-17)",1.0,1.0,1.0,1.0,True,0.0,2.12883066941585e-17
program-202608507,1,"square(add(x0, abs(x3)))","(1 * square(add(x0, abs(x3))) + -2.1288307e-17)",1.0,1.0,1.0,1.0,True,0.0,2.12883066941585e-17
program-202608507,2,"square(add(x0, abs(x3)))","(1 * square(add(x0, abs(x3))) + -2.1288307e-17)",1.0,1.0,1.0,1.0,True,0.0,2.12883066941585e-17
program-202608507,3,"square(add(x0, abs(x3)))","(1 * square(add(x0, abs(x3))) + -2.1288307e-17)",1.0,1.0,1.0,1.0,True,0.0,2.12883066941585e-17
program-202608507,4,"square(add(x0, abs(x3)))","(1 * square(add(x0, abs(x3))) + -2.1288307e-17)",1.0,1.0,1.0,1.0,True,0.0,2.12883066941585e-17
program-202608508,0,"multiply(x1, add(x2, x3))","(1 * multiply(x1, add(x2, x3)) + 5.5634324e-18)",1.0,1.0,1.0,1.0,True,0.0,2.2760803731400684e-16
program-202608508,1,"multiply(x1, add(x2, x3))","(1 * multiply(x1, add(x2, x3)) + 5.5634324e-18)",1.0,1.0,1.0,1.0,True,0.0,2.2760803731400684e-16
program-202608508,2,"multiply(x1, add(x2, x3))","(1 * multiply(x1, add(x2, x3)) + 5.5634324e-18)",1.0,1.0,1.0,1.0,True,0.0,2.2760803731400684e-16
program-202608508,3,"multiply(x1, add(x2, x3))","(1 * multiply(x1, add(x2, x3)) + 5.5634324e-18)",1.0,1.0,1.0,1.0,True,0.0,2.2760803731400684e-16
program-202608508,4,"multiply(x1, add(x2, x3))","(1 * multiply(x1, add(x2, x3)) + 5.5634324e-18)",1.0,1.0,1.0,1.0,True,0.0,2.2760803731400684e-16
program-202608509,0,"square(safe_divide(square(x1), x1))","(1 * square(safe_divide(square(x1), x1)) + -2.6548242e-17)",1.0,1.0,1.0,1.0,True,0.0,2.4859284647125285e-16
program-202608509,1,"square(safe_divide(square(x1), x1))","(1 * square(safe_divide(square(x1), x1)) + -2.6548242e-17)",1.0,1.0,1.0,1.0,True,0.0,2.4859284647125285e-16
program-202608509,2,"square(safe_divide(square(x1), x1))","(1 * square(safe_divide(square(x1), x1)) + -2.6548242e-17)",1.0,1.0,1.0,1.0,True,0.0,2.4859284647125285e-16
program-202608509,3,"square(safe_divide(square(x1), x1))","(1 * square(safe_divide(square(x1), x1)) + -2.6548242e-17)",1.0,1.0,1.0,1.0,True,0.0,2.4859284647125285e-16
program-202608509,4,"square(safe_divide(square(x1), x1))","(1 * square(safe_divide(square(x1), x1)) + -2.6548242e-17)",1.0,1.0,1.0,1.0,True,0.0,2.4859284647125285e-16
program-202608510,0,square(x3),(1 * square(x3) + -6.5012158e-18),1.0,1.0,1.0,1.0,True,0.0,6.501215796617218e-18
program-202608510,1,square(x3),(1 * square(x3) + -6.5012158e-18),1.0,1.0,1.0,1.0,True,0.0,6.501215796617218e-18
program-202608510,2,square(x3),(1 * square(x3) + -6.5012158e-18),1.0,1.0,1.0,1.0,True,0.0,6.501215796617218e-18
program-202608510,3,square(x3),(1 * square(x3) + -6.5012158e-18),1.0,1.0,1.0,1.0,True,0.0,6.501215796617218e-18
program-202608510,4,square(x3),(1 * square(x3) + -6.5012158e-18),1.0,1.0,1.0,1.0,True,0.0,6.501215796617218e-18
program-202608511,0,"multiply(x1, x2)","(1 * multiply(x1, x2) + -1.0292019e-17)",1.0,1.0,1.0,1.0,True,0.0,1.2131432148985666e-16
program-202608511,1,"multiply(x1, x2)","(1 * multiply(x1, x2) + -1.0292019e-17)",1.0,1.0,1.0,1.0,True,0.0,1.2131432148985666e-16
program-202608511,2,"multiply(x1, x2)","(1 * multiply(x1, x2) + -1.0292019e-17)",1.0,1.0,1.0,1.0,True,0.0,1.2131432148985666e-16
program-202608511,3,"multiply(x1, x2)","(1 * multiply(x1, x2) + -1.0292019e-17)",1.0,1.0,1.0,1.0,True,0.0,1.2131432148985666e-16
program-202608511,4,"multiply(x1, x2)","(1 * multiply(x1, x2) + -1.0292019e-17)",1.0,1.0,1.0,1.0,True,0.0,1.2131432148985666e-16
program-202608512,0,"safe_divide(add(x2, multiply(x0, x1)), x0)","(1 * safe_divide(add(x2, multiply(x0, x1)), x0) + 2.1673111e-17)",1.0,1.0,1.0,1.0,True,0.0,6.878069261876603e-16
program-202608512,1,"safe_divide(add(x2, multiply(x0, x1)), x0)","(1 * safe_divide(add(x2, multiply(x0, x1)), x0) + 2.1673111e-17)",1.0,1.0,1.0,1.0,True,0.0,6.878069261876603e-16
program-202608512,2,"safe_divide(add(x2, multiply(x0, x1)), x0)","(1 * safe_divide(add(x2, multiply(x0, x1)), x0) + 2.1673111e-17)",1.0,1.0,1.0,1.0,True,0.0,6.878069261876603e-16
