model,extrapolation_multiplier,n_tasks,n_observations,nrmse_mean,nrmse_std,nrmse_ci95_low,nrmse_ci95_high,nrmse_median,rmse_mean,r2_mean,training_seconds_mean
EQL,1.0,100,500,0.2795153824449999,0.3667434422858569,0.2101728555784131,0.3512531926078461,0.009598944360926214,0.9979141124318386,0.7886466053993506,1.4861498601702041
EQL,2.0,100,500,13.994777471780369,27.519056724876652,9.343823787623883,19.988046798461234,0.2605400630844604,16.923258821285952,-967.6721958227604,1.4861498601702041
EQL,4.0,100,500,129.26490721870346,240.3979698378474,84.65411405586808,180.56548363264773,0.7691992751559276,256.82333754158526,-76419.62537933301,1.4861498601702041
EQL,8.0,100,500,1276.965858923599,2423.9660488719887,831.4686287223651,1793.7330697491338,5.327310363337709,3893.488639017071,-7921972.995369891,1.4861498601702041
Linear,1.0,100,500,0.7255579655965266,0.38997412008700416,0.6483123495173915,0.8045452302494508,0.9823278322814853,1.906923934201594,0.32300662236517264,0.0007870698031038045
Linear,2.0,100,500,1.4454165984155176,1.550662801329516,1.1578054597709262,1.7630683552642874,1.0118250642480462,7.144407047611782,-3.4697387151679173,0.0007870698031038045
Linear,4.0,100,500,1.2973861512422196,1.6238999151550222,1.0278079751507656,1.6598283322914742,1.0014506002799632,27.26600965941463,-3.2938912505311824,0.0007870698031038045
Linear,8.0,100,500,1.5579268025879336,3.8602896265665696,1.0366495798262496,2.521113028608146,1.0008480825073196,138.0488884096452,-16.179953563189553,0.0007870698031038045
MLP,1.0,100,500,0.12449387478515181,0.2037813737882761,0.08750086826074448,0.16640372959423516,0.02265315415845634,0.43998810061692384,0.9430374107506216,1.0584643304422499
MLP,2.0,100,500,0.5150871286292356,0.9153714590254314,0.35820978880806037,0.7170971054792933,0.2871456949341451,2.3053329061826773,-0.15165112373683914,1.0584643304422499
MLP,4.0,100,500,1.1114131965730047,2.190195900847764,0.7429718544501597,1.570287876872735,0.4961460975929015,18.54179361927712,-5.2550567227616645,1.0584643304422499
MLP,8.0,100,500,2.3006804700835684,6.344982721300297,1.2683495206596913,3.654578672665174,0.7146136090512698,122.6078964241271,-49.82538830474526,1.0584643304422499
PolynomialSR,1.0,100,500,0.30994518802097687,0.39038037788030583,0.23385984859496492,0.38523825406123324,0.0012861691823614868,1.1008862133105908,0.7530611093830106,0.1110089903678745
PolynomialSR,2.0,100,500,5.088269065056899,11.39500825537293,3.046872545819174,7.483074349072193,0.001173516167559932,5.501730908742351,-153.43823308703202,0.1110089903678745
PolynomialSR,4.0,100,500,23.39695385602329,67.50624505252897,11.715993588018113,37.69419284919174,0.0008736608713933747,32.8470067865408,-5057.939639622052,0.1110089903678745
PolynomialSR,8.0,100,500,151.6636879735933,595.0025746400177,56.19187363922126,275.6800111509722,0.0009101352785529427,225.7596092888946,-373488.65743971866,0.1110089903678745
RandomForest,1.0,100,500,0.1716068073578752,0.20642818747248573,0.13309477643788148,0.21595533590225582,0.09776510153300531,0.549744535200234,0.9283568026772425,0.3637252046666108
RandomForest,2.0,100,500,1.3894350333631926,2.6381837053341557,0.9753003972558202,1.9808650451963088,0.7969924224019453,6.227692894916086,-7.838991057911778,0.3637252046666108
RandomForest,4.0,100,500,1.498508818360337,2.9631692762765773,1.0850788816687422,2.2196688327255707,0.9233664522027631,27.434100919312506,-9.959698487312318,0.3637252046666108
RandomForest,8.0,100,500,1.577403364567659,3.089317678042152,1.1384448163342409,2.279429998788952,0.9814578707839071,140.09055325904964,-10.960026222032141,0.3637252046666108
TabALU-compiled,1.0,100,500,1.673966672379725e-19,1.6739666723797252e-18,0.0,5.021900017139175e-19,0.0,2.1384884227112041e-19,1.0,1.0613073489447125
TabALU-compiled,2.0,100,500,6.656297955064896e-20,6.656297955064895e-19,0.0,1.9968893865194687e-19,0.0,2.1384884227112044e-19,1.0,1.0613073489447125
TabALU-compiled,4.0,100,500,3.771828983498833e-20,3.771828983498834e-19,0.0,1.13154869504965e-19,0.0,2.1239900289476198e-19,1.0,1.0613073489447125
TabALU-compiled,8.0,100,500,2.0576476134155123e-20,2.057647613415512e-19,0.0,8.230590453662049e-20,0.0,2.1384884227112041e-19,1.0,1.0613073489447125
TabALU-hard,1.0,100,500,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0613073489447125
TabALU-hard,2.0,100,500,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0613073489447125
TabALU-hard,4.0,100,500,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0613073489447125
TabALU-hard,8.0,100,500,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0613073489447125
TabALU-soft,1.0,100,500,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0613073489447125
TabALU-soft,2.0,100,500,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0613073489447125
TabALU-soft,4.0,100,500,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0613073489447125
TabALU-soft,8.0,100,500,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0613073489447125
