model,problem_type,datasets,mean_matched_normalized_loss_gap,loss_gap_ci_low,loss_gap_ci_high,mean_excess_disagreement,excess_disagreement_ci_low,excess_disagreement_ci_high,loss_wins,loss_ties,loss_losses
catboost,binary,4,-6.684767745975465e-05,-0.0003473745861867321,0.00014584196300722004,7.693150788685295e-05,2.7798683268209573e-05,0.0001260643325054963,1,2,1
catboost,multiclass,4,-7.422168738183393e-05,-0.00028399940913781223,0.0001591547257378639,5.773660470130551e-05,1.1181841889656083e-05,0.00012195039735942683,2,1,1
catboost,regression,4,0.0005463909710345799,2.407604306138629e-05,0.0010687058990077735,0.015449448146292,0.004404565897765857,0.026494330394818143,0,1,3
mitra_default,binary,4,4.263051086193831e-06,-8.638382293936448e-05,0.00012058786489391551,3.5978177759074665e-05,1.899418852805379e-05,6.056291201664435e-05,1,2,1
mitra_default,multiclass,4,-0.0002079450101494689,-0.0004948091871108403,5.3338862352834875e-05,5.429677778479204e-05,-2.2321056343654767e-05,0.00016255343572498155,2,1,1
mitra_default,regression,4,-4.6880255432017814e-05,-0.00015241546610383758,4.642136287632041e-05,0.00290861597920669,0.00028434901336000254,0.005122068457493032,1,3,0
tabicl_v2_default,binary,4,0.003967150391602273,-3.590153831643598e-05,0.010879167363194336,0.0008986088216791952,0.0002485518120070344,0.0020763405827698145,1,0,3
tabicl_v2_default,multiclass,4,0.0022456701900147456,0.0008637019828226085,0.0032223473751979035,0.0006057249560673572,0.0003914359624566814,0.0007876835280979219,0,0,4
tabicl_v2_default,regression,4,0.0007067255747419954,0.00046161319750222474,0.0009290876348852085,0.027238433480368803,0.014052598984335387,0.04384009276430137,0,0,4
tabicl_v2_single,binary,4,0.039734825632529204,0.0009819107344934902,0.10679805421994219,0.00741095928627444,0.0005667143772484512,0.01888312104146308,1,0,3
tabicl_v2_single,multiclass,4,0.004455587698043054,0.0013866334385278193,0.008622099642628066,0.0011735946778746206,0.0005978244974703928,0.0018631769377195654,0,0,4
tabicl_v2_single,regression,4,-4.77309943996873e-05,-0.0011077461640272958,0.0010122841752279212,0.03214247526476707,0.017561218174544767,0.05003686879267103,2,0,2
tabpfn_v25_default,binary,4,0.0019164013153369704,0.0002816935008800152,0.0039259333521875234,0.000490044744284524,0.00015765937885757505,0.0009764107947037618,1,0,3
tabpfn_v25_default,multiclass,4,0.004964340487364375,-0.00015095144419659636,0.01238490567002603,0.0013668591795801112,0.00042595800486612025,0.002665622682310994,1,0,3
tabpfn_v25_default,regression,4,0.0018247629494986496,-0.0005151303991584379,0.004600309516226444,0.021973896570805902,0.012711230905906517,0.03206628529135974,1,0,3
tabpfn_v25_single,binary,4,0.0028277653592206904,-0.0008384290635313732,0.006921807922773135,0.0009087778685373762,0.0005344751337482809,0.0014658126684400834,2,0,2
tabpfn_v25_single,multiclass,4,0.009005415385230134,-0.0012620936898845776,0.021497062397244172,0.0027877502833649846,0.0007583285315154467,0.005458598391343096,2,0,2
tabpfn_v25_single,regression,4,0.004019940899058503,0.00047670926304429784,0.007702107892457594,0.04075130797861086,0.025343725481188635,0.0650570354911984,1,0,3
xgboost,binary,4,0.0001023062600947327,-1.8164395729895912e-05,0.000223506425208336,0.00010190424034000589,2.7920513954053883e-05,0.00017588796672595792,0,2,2
xgboost,multiclass,4,2.8938208149834405e-07,-8.345745229944204e-05,6.571145750315104e-05,2.7853022492554808e-05,3.108240149077741e-06,5.397272724402294e-05,1,3,0
xgboost,regression,4,0.00014299673900428553,-7.868402194438729e-05,0.00036467749995295826,0.006422043798743329,0.001810084048326739,0.011996305133547238,1,1,2
