dataset,model,model_family,problem_type,matched_normalized_loss_gap,matched_disagreement,identity_refit_disagreement,matched_excess_disagreement,mean_mismatch_disagreement
Food_Delivery_Time,catboost,tree,regression,0.0013363718282460068,0.02347907019642699,0.0,0.02347907019642699,0.7350846533052183
Food_Delivery_Time,mitra_default,tfm,regression,7.95512347422859e-05,0.013608457602552823,0.010736259627632666,0.0028721979749201563,0.7371783024200638
Food_Delivery_Time,tabicl_v2_default,tfm,regression,0.0006581355102117329,0.023848291928216744,0.0,0.023848291928216744,0.6594406987409854
Food_Delivery_Time,tabicl_v2_single,tfm,regression,0.0010200993871945366,0.030071215994119844,0.0,0.030071215994119844,0.6963445068256697
Food_Delivery_Time,tabpfn_v25_default,tfm,regression,0.00579661289113323,0.02372389554482505,0.0,0.02372389554482505,0.6045689801611929
Food_Delivery_Time,tabpfn_v25_single,tfm,regression,0.0034755734625886592,0.028899241479738977,0.0,0.028899241479738977,0.5930876234506258
Food_Delivery_Time,xgboost,tree,regression,0.0004530924111873393,0.004678859875272941,0.0,0.004678859875272941,0.8201961607029669
SDSS17,catboost,tree,multiclass,0.0002475763344613804,5.28985800635464e-05,0.0,5.28985800635464e-05,0.19893599398315834
SDSS17,mitra_default,tfm,multiclass,-0.00028070480500221696,8.811080696911011e-05,5.433983133384603e-05,3.377097563526409e-05,0.25052863849647555
SDSS17,tabicl_v2_default,tfm,multiclass,0.003004987937332583,0.000751225723341853,0.0,0.000751225723341853,0.18884988168073893
SDSS17,tabicl_v2_single,tfm,multiclass,0.004326762561701772,0.000976615247496231,0.0,0.000976615247496231,0.1827654416299888
SDSS17,tabpfn_v25_default,tfm,multiclass,0.0037598140676794924,0.0011695018294227107,0.0,0.0011695018294227107,0.23311960224167244
SDSS17,tabpfn_v25_single,tfm,multiclass,0.009826684312874716,0.0023426020981638603,0.0,0.0023426020981638603,0.22608489402630452
SDSS17,xgboost,tree,multiclass,-0.0001302653866803087,3.530413344608499e-05,0.0,3.530413344608499e-05,0.25548877014988364
anneal,catboost,tree,multiclass,-0.0003488223264976092,2.0749124550616857e-05,0.0,2.0749124550616857e-05,0.06354935196088812
anneal,mitra_default,tfm,multiclass,0.00011265559224504611,1.3442093415400155e-05,1.8971611045655924e-06,1.1544932310834562e-05,0.0974217816580268
anneal,tabicl_v2_default,tfm,multiclass,0.0001499399979859503,0.00027150604216162415,0.0,0.00027150604216162415,0.0867311632660951
anneal,tabicl_v2_single,tfm,multiclass,0.0004518323667877963,0.0004161160135033317,0.0,0.0004161160135033317,0.10550127367506595
anneal,tabpfn_v25_default,tfm,multiclass,-0.0006431732579837098,0.0001781100633472568,0.0,0.0001781100633472568,0.13868921671846665
anneal,tabpfn_v25_single,tfm,multiclass,-0.0023549431453009414,0.0002302373426326423,0.0,0.0002302373426326423,0.10838397897879604
anneal,xgboost,tree,multiclass,7.445656416314419e-05,6.216480298155482e-06,0.0,6.216480298155482e-06,0.08242617183948957
churn,catboost,tree,binary,3.4551283319680937e-05,1.4280130166660434e-05,0.0,1.4280130166660434e-05,0.18178002075371996
churn,mitra_default,tfm,binary,-0.00011620629708060998,4.0042437459500794e-05,2.025612898885286e-05,1.9786308470647937e-05,0.23482428059799532
churn,tabicl_v2_default,tfm,binary,0.014205425369892173,0.002660043731444942,0.0,0.002660043731444942,0.14412921812748986
churn,tabicl_v2_single,tfm,binary,0.015279648920100246,0.0035527997089472596,0.0,0.0035527997089472596,0.1491241676160684
churn,tabpfn_v25_default,tfm,binary,0.004918954402438212,0.0012260848511816893,0.0,0.0012260848511816893,0.1604220404196263
churn,tabpfn_v25_single,tfm,binary,0.009503251907820042,0.0017374228197628236,0.0,0.0017374228197628236,0.15819401226448349
churn,xgboost,tree,binary,1.2398609366458411e-05,7.727826707240866e-06,0.0,7.727826707240866e-06,0.21508330596235078
credit_card_clients_default,catboost,tree,binary,-3.257210171918478e-05,0.00013622905710043454,0.0,0.00013622905710043454,0.03458643616573905
credit_card_clients_default,mitra_default,tfm,binary,3.0835994843720413e-06,0.0001512412056207148,7.708609242207165e-05,7.415511319864315e-05,0.02518259677924762
credit_card_clients_default,tabicl_v2_default,tfm,binary,-0.0004531945033409192,0.00019252341475036586,0.0,0.00019252341475036586,0.021580947795476365
credit_card_clients_default,tabicl_v2_single,tfm,binary,-0.0001408989876930173,0.0004737706336053782,0.0,0.0004737706336053782,0.02077790243783276
credit_card_clients_default,tabpfn_v25_default,tfm,binary,-0.0003365033269770754,0.00022738862526997913,0.0,0.00022738862526997913,0.020681139541244974
credit_card_clients_default,tabpfn_v25_single,tfm,binary,-0.0008225240323675843,0.0006509822144718634,0.0,0.0006509822144718634,0.02329516541217601
credit_card_clients_default,xgboost,tree,binary,0.0002938756971556285,0.0001606188424784788,0.0,0.0001606188424784788,0.07233233249494755
diamonds,catboost,tree,regression,-6.079454810382524e-05,0.0011970327270150148,0.0,0.0011970327270150148,1.25561706052787
diamonds,mitra_default,tfm,regression,-7.271262900547698e-05,0.0045848806051340075,0.005461302906858642,-0.000876422301724635,2.241426490479616
diamonds,tabicl_v2_default,tfm,regression,0.0010194050097763671,0.0107873680030416,0.0,0.0107873680030416,1.2239298730368418
diamonds,tabicl_v2_single,tfm,regression,0.001004468963261306,0.013391218901353074,0.0,0.013391218901353074,1.283521202609182
diamonds,tabpfn_v25_default,tfm,regression,0.0010113993915060852,0.009040342692933672,0.0,0.009040342692933672,2.675927711703368
diamonds,tabpfn_v25_single,tfm,regression,0.004286437620758568,0.02218927249253415,0.0,0.02218927249253415,1.9142755922788588
diamonds,xgboost,tree,regression,1.4594612782669465e-05,0.0003332372132892924,0.0,0.0003332372132892924,1.4685355839596153
heloc,catboost,tree,binary,-0.00047468320935553643,0.00011589960791055808,0.0,0.00011589960791055808,0.05372002869001876
heloc,mitra_default,tfm,binary,0.00017608827881732434,6.135854818141876e-05,2.9589327399870822e-05,3.176922078154793e-05,0.05771591130837211
heloc,tabicl_v2_default,tfm,binary,0.0009003933431008249,0.00032523113674443293,0.0,0.00032523113674443293,0.061726222372290245
heloc,tabicl_v2_single,tfm,binary,0.0021047204566799977,0.0006596581208915241,0.0,0.0006596581208915241,0.06291613758854281
heloc,tabpfn_v25_default,tfm,binary,0.002136283984451287,0.00041877536824125685,0.0,0.00041877536824125685,0.08158718256299693
heloc,tabpfn_v25_single,tfm,binary,0.0034846676561254655,0.0008011093923756655,0.0,0.0008011093923756655,0.07733774322361345
heloc,xgboost,tree,binary,-4.872740082625023e-05,0.00019115709097343697,0.0,0.00019115709097343697,0.11192544092548529
maternal_health_risk,catboost,tree,multiclass,-0.00010611010043268563,1.6145592286953108e-06,0.0,1.6145592286953108e-06,0.21129373193890008
maternal_health_risk,mitra_default,tfm,multiclass,-0.0006577529603013283,0.00033048799995653725,0.00011759839642684003,0.0002128896035296972,0.2952348068833078
maternal_health_risk,tabicl_v2_default,tfm,multiclass,0.003439706813063224,0.0008241413328539909,0.0,0.0008241413328539909,0.24180696672806853
maternal_health_risk,tabicl_v2_single,tfm,multiclass,0.010722321353414808,0.0021586975011273434,0.0,0.0021586975011273434,0.2353371984946478
maternal_health_risk,tabpfn_v25_default,tfm,multiclass,0.0163994507701712,0.0032713329518467495,0.0,0.0032713329518467495,0.2278781689157095
maternal_health_risk,tabpfn_v25_single,tfm,multiclass,0.02871916460781497,0.006628115936354474,0.0,0.006628115936354474,0.2409622426132947
maternal_health_risk,xgboost,tree,multiclass,0.0,0.0,0.0,0.0,0.36690297506924785
miami_housing,catboost,tree,regression,0.0008010399697695402,0.029509590593209296,0.0,0.029509590593209296,1.1252256613271927
miami_housing,mitra_default,tfm,regression,-0.0002076511184752351,0.008589561631375883,0.004822898672761968,0.0037666629586139153,2.220919145680398
miami_housing,tabicl_v2_default,tfm,regression,0.0008008162734653721,0.02379692545672256,0.0,0.02379692545672256,3.5550485151357964
miami_housing,tabicl_v2_single,tfm,regression,-0.0012621269426413867,0.02758746166005098,0.0,0.02758746166005098,3.8608202935072464
miami_housing,tabpfn_v25_default,tfm,regression,0.0017668200713498025,0.01856445148547784,0.0,0.01856445148547784,2.9162943926063805
miami_housing,tabpfn_v25_single,tfm,regression,0.009110952702413905,0.034807084447152095,0.0,0.034807084447152095,2.2310615308059463
miami_housing,xgboost,tree,regression,0.00027626258871857724,0.014435453552972004,0.0,0.014435453552972004,1.3136597952419753
seismic-bumps,catboost,tree,binary,0.00020531331791602162,4.131723636975871e-05,0.0,4.131723636975871e-05,0.014536003967835177
seismic-bumps,mitra_default,tfm,binary,-4.5913376876311076e-05,2.102716218199111e-05,2.825093596531467e-06,1.820206858545964e-05,0.01941057244451297
seismic-bumps,tabicl_v2_default,tfm,binary,0.0012159773567570137,0.0004166370037770399,0.0,0.0004166370037770399,0.02042615414908813
