model,problem_type,transform,transform_value,transform_severity,datasets,mean_matched_normalized_loss_gap,loss_gap_ci_low,loss_gap_ci_high,mean_excess_disagreement,excess_disagreement_ci_low,excess_disagreement_ci_high,median_matched_disagreement,median_mismatch_disagreement
catboost,binary,monotone_spline,0.5,0.5,4,3.456890190171406e-05,-3.5256248839765636e-05,0.00015196445186503824,3.069106745102928e-06,1.3752668135024618e-07,8.281237502162843e-06,6.415406314233406e-07,0.04653042180192176
catboost,binary,monotone_spline,1.0,1.0,4,-0.0005678497907069743,-0.0016093256431042313,0.0004736260616902827,0.0003061594570997854,5.8502739533310536e-05,0.0005538161746662601,0.00028982727383925237,0.04708628691401025
catboost,binary,monotone_spline,2.0,2.0,4,-0.0005378288290642081,-0.0030993857768887786,0.0011908505114295864,0.000598191667565375,0.00027217440225709783,0.0009242089328736524,0.0006497879058815166,0.048669969390923204
catboost,binary,positive_affine,0.5,0.5,4,4.336521187256933e-05,8.182747057744466e-06,9.141240543611892e-05,1.9459170322273087e-06,6.271233471965816e-08,5.59055839607508e-06,1.8448036588718863e-07,0.025301890489657353
catboost,binary,positive_affine,1.0,1.0,4,5.211215131588806e-06,-1.6929969190356462e-06,1.466261186184916e-05,8.027255436149743e-08,3.096520285771744e-08,1.3131992257734692e-07,7.853253764942792e-08,0.034511787183628774
catboost,binary,positive_affine,2.0,2.0,4,3.860365684951276e-06,-2.3645817170958594e-06,1.0085313086998412e-05,9.316397453820472e-08,1.4807061032120653e-08,2.027523134921721e-07,5.4935127924853344e-08,0.04324219948401639
catboost,binary,random_monotone_pwl,0.5,0.5,4,5.495334752889103e-05,-2.521509307578292e-06,0.0001519774159163152,2.7974481292735862e-06,4.083693655362804e-08,8.191778400491978e-06,1.3866061681756301e-07,0.04638280891414344
catboost,binary,random_monotone_pwl,1.0,1.0,4,5.007726047032608e-05,-1.3397443574036938e-05,0.00016046427917115283,2.8059068655274173e-06,4.610815433099388e-08,8.192917496813083e-06,1.5277471246392328e-07,0.04712143152017917
catboost,binary,random_monotone_pwl,2.0,2.0,4,5.450334555398099e-05,-4.594926031974608e-06,0.00015468459244907343,2.8132273557454185e-06,3.6325346651040204e-08,8.185041927179141e-06,1.735260730146645e-07,0.04822994969219424
catboost,binary,signed_power,0.5,1.0,4,5.693796603642905e-05,-4.972984656097708e-05,0.0002308364665169274,4.963639378043892e-06,3.634140225199596e-07,1.3502242764065507e-05,1.0252613475462139e-06,0.046257839817462065
