run_id,dataset,model,model_family,problem_type,transform,transform_value,transform_severity,seed,wall_clock_seconds,peak_gpu_memory_bytes,result_path,metadata_path,disagreement_metric,clean_loss,clean_loss_gap,clean_normalized_loss_gap,clean_disagreement,matched_loss,matched_loss_gap,matched_normalized_loss_gap,matched_disagreement,context_only_loss,context_only_loss_gap,context_only_normalized_loss_gap,context_only_disagreement,query_only_loss,query_only_loss_gap,query_only_normalized_loss_gap,query_only_disagreement,identity_refit_disagreement,matched_excess_disagreement,mean_mismatch_disagreement
20260831T071702.095176Z__f4c02148d7b9__7e51c74e14,wine_quality,tabpfn_v25_single,tfm,regression,identity,0.0,0.0,20260831,4.138512067031115,324619776.0,/home/byunhanjoon/byunhanjoon.github.io/experiments/road-to-iclr-day-08/results/raw/phase1_pilot/f4c02148d7b9607e/20260831T071702.095176Z__f4c02148d7b9__7e51c74e14.npz,/home/byunhanjoon/byunhanjoon.github.io/experiments/road-to-iclr-day-08/results/raw/phase1_pilot/f4c02148d7b9607e/20260831T071702.095176Z__f4c02148d7b9__7e51c74e14.json,normalized_absolute_disagreement,0.4803351692914477,0.0,0.0,0.0,0.4803351692914477,0.0,0.0,0.0,0.4803351692914477,0.0,0.0,0.0,0.4803351692914477,0.0,0.0,0.0,0.0,0.0,0.0
20260831T071706.240072Z__602e81f068c6__c745014ba0,wine_quality,tabpfn_v25_single,tfm,regression,identity,0.0,0.0,20260832,0.5689530761446804,324136448.0,/home/byunhanjoon/byunhanjoon.github.io/experiments/road-to-iclr-day-08/results/raw/phase1_pilot/602e81f068c625bc/20260831T071706.240072Z__602e81f068c6__c745014ba0.npz,/home/byunhanjoon/byunhanjoon.github.io/experiments/road-to-iclr-day-08/results/raw/phase1_pilot/602e81f068c625bc/20260831T071706.240072Z__602e81f068c6__c745014ba0.json,normalized_absolute_disagreement,0.4799516805126882,0.0,0.0,0.0,0.4799516805126882,0.0,0.0,0.0,0.4799516805126882,0.0,0.0,0.0,0.4799516805126882,0.0,0.0,0.0,0.0,0.0,0.0
20260831T071706.815306Z__4be34d170378__ebf648e6c2,wine_quality,tabpfn_v25_single,tfm,regression,identity,0.0,0.0,20260833,0.5713549559004605,324136448.0,/home/byunhanjoon/byunhanjoon.github.io/experiments/road-to-iclr-day-08/results/raw/phase1_pilot/4be34d170378bfc7/20260831T071706.815306Z__4be34d170378__ebf648e6c2.npz,/home/byunhanjoon/byunhanjoon.github.io/experiments/road-to-iclr-day-08/results/raw/phase1_pilot/4be34d170378bfc7/20260831T071706.815306Z__4be34d170378__ebf648e6c2.json,normalized_absolute_disagreement,0.47968489339722176,0.0,0.0,0.0,0.47968489339722176,0.0,0.0,0.0,0.47968489339722176,0.0,0.0,0.0,0.47968489339722176,0.0,0.0,0.0,0.0,0.0,0.0
20260831T071707.393181Z__b40fb72acb1f__35a77b0b83,wine_quality,tabpfn_v25_single,tfm,regression,positive_affine,0.5,0.5,20260831,0.571828851941973,324136448.0,/home/byunhanjoon/byunhanjoon.github.io/experiments/road-to-iclr-day-08/results/raw/phase1_pilot/b40fb72acb1f54a3/20260831T071707.393181Z__b40fb72acb1f__35a77b0b83.npz,/home/byunhanjoon/byunhanjoon.github.io/experiments/road-to-iclr-day-08/results/raw/phase1_pilot/b40fb72acb1f54a3/20260831T071707.393181Z__b40fb72acb1f__35a77b0b83.json,normalized_absolute_disagreement,0.4803351692914477,0.0,0.0,0.0,0.47775693116991236,-0.002578238121535348,-0.0034454590937256385,0.015591531456019285,0.7714726313743354,0.2911374620828877,0.3890650005827773,0.5636031043863384,1.0703002810388278,0.5899651117473801,0.7884068745521435,0.8375009473841986,0.0,0.015591531456019285,0.7005520258852684
20260831T071707.971643Z__ae13b1ba9ae6__aac861325a,wine_quality,tabpfn_v25_single,tfm,regression,positive_affine,0.5,0.5,20260832,0.570965409046039,324136448.0,/home/byunhanjoon/byunhanjoon.github.io/experiments/road-to-iclr-day-08/results/raw/phase1_pilot/ae13b1ba9ae69a4b/20260831T071707.971643Z__ae13b1ba9ae6__aac861325a.npz,/home/byunhanjoon/byunhanjoon.github.io/experiments/road-to-iclr-day-08/results/raw/phase1_pilot/ae13b1ba9ae69a4b/20260831T071707.971643Z__ae13b1ba9ae6__aac861325a.json,normalized_absolute_disagreement,0.4799516805126882,0.0,0.0,0.0,0.4794877202176582,-0.00046396029503004144,-0.0006200188432117906,0.01324481411052123,1.6879567962780238,1.2080051157653355,1.6143319643812446,1.1839133252614997,0.8121263374124421,0.3321746568997539,0.4439055426109756,0.614779110146182,0.0,0.01324481411052123,0.8993462177038409
20260831T071708.549394Z__6bd084b33774__3f564ec3df,wine_quality,tabpfn_v25_single,tfm,regression,positive_affine,0.5,0.5,20260833,0.5713691788259894,324136448.0,/home/byunhanjoon/byunhanjoon.github.io/experiments/road-to-iclr-day-08/results/raw/phase1_pilot/6bd084b3377492c9/20260831T071708.549394Z__6bd084b33774__3f564ec3df.npz,/home/byunhanjoon/byunhanjoon.github.io/experiments/road-to-iclr-day-08/results/raw/phase1_pilot/6bd084b3377492c9/20260831T071708.549394Z__6bd084b33774__3f564ec3df.json,normalized_absolute_disagreement,0.47968489339722176,0.0,0.0,0.0,0.47948191613713576,-0.00020297726008600137,-0.00027125106899217,0.03055025837814844,3.287618923538998,2.807934030141776,3.7524159455730954,1.9190368173817756,1.5093883426965442,1.0297034492993224,1.376056417595859,1.0165224950063567,0.0,0.03055025837814844,1.4677796561940661
20260831T071709.127430Z__fc0b630e2374__5ea1d61c35,wine_quality,tabpfn_v25_single,tfm,regression,positive_affine,1.0,1.0,20260831,0.5727096151094884,324136448.0,/home/byunhanjoon/byunhanjoon.github.io/experiments/road-to-iclr-day-08/results/raw/phase1_pilot/fc0b630e2374b3b7/20260831T071709.127430Z__fc0b630e2374__5ea1d61c35.npz,/home/byunhanjoon/byunhanjoon.github.io/experiments/road-to-iclr-day-08/results/raw/phase1_pilot/fc0b630e2374b3b7/20260831T071709.127430Z__fc0b630e2374__5ea1d61c35.json,normalized_absolute_disagreement,0.4803351692914477,0.0,0.0,0.0,0.4785675280644879,-0.0017676412269598263,-0.0023622083193177933,0.016976323358422227,0.6483687532461024,0.16803358395465473,0.22455367293347897,0.5093680312674391,0.8780846272741574,0.39774945798270966,0.5315372058089329,0.6462448760640341,0.0,0.016976323358422227,0.5778064536657366
20260831T071709.706976Z__22aba842884a__8dcf123598,wine_quality,tabpfn_v25_single,tfm,regression,positive_affine,1.0,1.0,20260832,0.5704872428905219,324136448.0,/home/byunhanjoon/byunhanjoon.github.io/experiments/road-to-iclr-day-08/results/raw/phase1_pilot/22aba842884a37dc/20260831T071709.706976Z__22aba842884a__8dcf123598.npz,/home/byunhanjoon/byunhanjoon.github.io/experiments/road-to-iclr-day-08/results/raw/phase1_pilot/22aba842884a37dc/20260831T071709.706976Z__22aba842884a__8dcf123598.json,normalized_absolute_disagreement,0.4799516805126882,0.0,0.0,0.0,0.4794405201999785,-0.000511160312709702,-0.0006830951466688016,0.01649466810150127,1.8269881344823078,1.3470364539696196,1.8001281422158713,1.2310162486852576,0.6515261291643293,0.17157444865164106,0.2292855494688467,0.49879775754703853,0.0,0.01649466810150127,0.8649070031161481
20260831T071710.284371Z__d1dd505861d9__d1015fc352,wine_quality,tabpfn_v25_single,tfm,regression,positive_affine,1.0,1.0,20260833,0.5818782020360231,324136448.0,/home/byunhanjoon/byunhanjoon.github.io/experiments/road-to-iclr-day-08/results/raw/phase1_pilot/d1dd505861d91208/20260831T071710.284371Z__d1dd505861d9__d1015fc352.npz,/home/byunhanjoon/byunhanjoon.github.io/experiments/road-to-iclr-day-08/results/raw/phase1_pilot/d1dd505861d91208/20260831T071710.284371Z__d1dd505861d9__d1015fc352.json,normalized_absolute_disagreement,0.47968489339722176,0.0,0.0,0.0,0.48067126433942375,0.0009863709422019973,0.0013181485077773893,0.027096503455386493,4.321076222965871,3.8413913295686495,5.133488865310639,2.2164310390175785,1.1182174675976717,0.63853257420045,0.853310579051113,0.8029208458548327,0.0,0.027096503455386493,1.5096759424362056
20260831T071710.873169Z__c0d9e10330d2__ae28fd06b4,wine_quality,tabpfn_v25_single,tfm,regression,positive_affine,2.0,2.0,20260831,0.5726249050348997,324136448.0,/home/byunhanjoon/byunhanjoon.github.io/experiments/road-to-iclr-day-08/results/raw/phase1_pilot/c0d9e10330d2062a/20260831T071710.873169Z__c0d9e10330d2__ae28fd06b4.npz,/home/byunhanjoon/byunhanjoon.github.io/experiments/road-to-iclr-day-08/results/raw/phase1_pilot/c0d9e10330d2062a/20260831T071710.873169Z__c0d9e10330d2__ae28fd06b4.json,normalized_absolute_disagreement,0.4803351692914477,0.0,0.0,0.0,0.47931484251384004,-0.0010203267776076608,-0.001363525791165715,0.01802533869102419,0.827813256244972,0.34747808695352433,0.464356462874523,0.5936528402924067,1.3847616527875677,0.90442648349612,1.208641058457519,0.9571699859803972,0.0,0.01802533869102419,0.7754114131364019
