dataset,task,model,representation,runs,test_error_mean,primary_gain_mean,primary_gain_std,wins,parameter_ratio_mean
black-friday,regression,mlp,adaptive_atomic,3,0.6923430760701498,0.048444059564461885,0.07607895855437262,2,0.9979166730494086
black-friday,regression,mlp,adaptive_atomic_ungated,3,0.6923536062240601,0.04692669703988033,0.0736291929683573,2,0.9979166730494086
black-friday,regression,mlp,baseline_ple,3,0.692679226398468,0.0,0.0,0,1.0
black-friday,regression,mlp,matched_random_0,1,0.6982070803642273,-0.6804672190325575,0.0,0,1.0021323464082523
black-friday,regression,mlp,matched_random_1,1,0.6968197822570801,-0.4804208065458796,0.0,0,0.9978860358883704
black-friday,regression,mlp,matched_random_2,1,0.6969360113143921,-0.4971808711795648,0.0,0,1.0021323464082523
black-friday,regression,resnet,adaptive_atomic,3,0.6918922861417135,0.1376966752776958,0.4977496144343376,2,0.9993678892686857
black-friday,regression,resnet,adaptive_atomic_ungated,3,0.6917886137962341,0.15252588786362098,0.536745211646626,2,0.9993678892686857
black-friday,regression,resnet,baseline_ple,3,0.6928582986195883,0.0,0.0,0,1.0
black-friday,regression,resnet,matched_random_0,1,0.6994015574455261,-0.5272061884401018,0.0,0,0.9995456704118679
black-friday,regression,resnet,matched_random_1,1,0.6986830234527588,-0.42392901658457466,0.0,0,0.9978962564723447
black-friday,regression,resnet,matched_random_2,1,0.6988150477409363,-0.4429052866517661,0.0,0,0.9995456704118679
black-friday,regression,tabm,adaptive_atomic,3,0.6865437825520834,0.20218455440995256,0.0962573344635536,3,0.9982103076268429
black-friday,regression,tabm,adaptive_atomic_ungated,3,0.6863977909088135,0.22340759662563844,0.08768843724802378,3,0.9982103076268429
black-friday,regression,tabm,baseline_ple,3,0.6879347761472067,0.0,0.0,0,1.0
black-friday,regression,tabm,matched_random_0,1,0.6924070715904236,-0.6269770067140592,0.0,0,0.9983104302770894
black-friday,regression,tabm,matched_random_1,1,0.692965567111969,-0.7081427231123838,0.0,0,0.9987766263672999
black-friday,regression,tabm,matched_random_2,1,0.6930193901062012,-0.715964776677772,0.0,0,0.9983104302770894
