dataset,n_evaluations,fraction_positive,fraction_negative,median_absolute_interaction,base_context_stability,spearman_interaction_cosine,spearman_interaction_distance,spearman_interaction_label_bin_agreement
california_housing,300,0.5166666666666667,0.48333333333333334,0.00909888414474315,-0.02528178695194587,-0.10626057013662879,0.07868837165392423,-0.01874666365393954
credit-g,300,0.56,0.44,0.01341751968336365,0.06656463357421716,-0.02120384467898095,-0.020263792452928784,-0.06055510783945445
diamonds,300,0.48,0.52,0.003413690768911,0.10401393158442003,0.03231912887241481,-0.013902105686269362,0.020097066034831364
house_16H,300,0.49666666666666665,0.5033333333333333,0.0084076491653436,-0.025644809689086712,-0.02740552255609958,-0.04781465641702792,-0.06710130407187463
