dataset,K,method,advantage_over_mean_random,ci95_low,ci95_high
adult,16,pairwise_FM_swap,0.1330567801089606,0.0676048501489023,0.19539576316457302
adult,32,pairwise_FM_swap,-0.1685831353539068,-0.2835543206502431,-0.0501668760332377
adult,64,pairwise_FM_swap,-0.1957400390550968,-0.30993352265899526,-0.08149300747621788
bank-marketing,16,pairwise_FM_swap,0.10645886299466478,0.05946859926680031,0.15169051663199812
bank-marketing,32,pairwise_FM_swap,-0.059447356771945126,-0.14701263358561123,0.0269469518771046
bank-marketing,64,pairwise_FM_swap,-0.05127896609874033,-0.10724990909734866,0.007055990548910252
california_housing,16,pairwise_FM_swap,0.18030167122723417,0.12967601587245312,0.2314274460220208
california_housing,32,pairwise_FM_swap,0.035086322289323846,-0.008369103252433846,0.07776410034320426
california_housing,64,pairwise_FM_swap,0.03954790388426388,0.0011194694237583822,0.07971793456620467
churn,16,pairwise_FM_swap,0.09806746173120795,0.03408186344637026,0.15888529587105735
churn,32,pairwise_FM_swap,-0.22659629068032772,-0.38344200148181146,-0.0687003256373814
churn,64,pairwise_FM_swap,-0.1979630866441358,-0.355695270820586,-0.0680927401728145
credit-g,16,pairwise_FM_swap,0.20085606892811803,0.14541279338739146,0.2549386239793982
credit-g,32,pairwise_FM_swap,0.09286274485223578,0.0029963654337790647,0.17906205331506875
credit-g,64,pairwise_FM_swap,0.09439350981906536,0.023336149385478802,0.1622543372584176
diamonds,16,pairwise_FM_swap,0.04791012412167417,-0.0004979635053439329,0.09903653893903226
diamonds,32,pairwise_FM_swap,0.0366513769433931,-0.008118837614558524,0.08765778034483392
diamonds,64,pairwise_FM_swap,0.016293051376421064,-0.033683021465155755,0.06317242072190499
electricity,16,pairwise_FM_swap,0.13467299037847724,0.028573233660609855,0.23144058442515572
electricity,32,pairwise_FM_swap,-0.053001658995969425,-0.17989467686272043,0.06216124544662839
electricity,64,pairwise_FM_swap,0.02372878822984459,-0.04596241942963622,0.09108535832648024
house_16H,16,pairwise_FM_swap,0.1360510958978144,0.07944279486870731,0.22117368570370283
house_16H,32,pairwise_FM_swap,0.06014913950256551,0.002430128108423824,0.14224957203902527
house_16H,64,pairwise_FM_swap,0.08861432997396557,0.05667030110696856,0.1197703480012973
