dataset,backbone,train_mode,seed,phase,rmse,mae,quotient_mse
Electricity,moment,phase_aug_train,20261211,7,0.7464691996574402,0.566480815410614,0.1687357872724533
Electricity,moment,phase_aug_train,20261212,0,0.5475358963012695,0.41562750935554504,0.31240227818489075
Electricity,moment,phase_aug_train,20261212,1,0.5080534815788269,0.37708380818367004,0.16932927072048187
Electricity,moment,phase_aug_train,20261212,2,0.5464602708816528,0.40292641520500183,0.07136593014001846
Electricity,moment,phase_aug_train,20261212,3,0.6242663860321045,0.46140536665916443,0.028142379596829414
Electricity,moment,phase_aug_train,20261212,4,0.7112933397293091,0.5305290818214417,0.03478356823325157
Electricity,moment,phase_aug_train,20261212,5,0.7859508395195007,0.5921371579170227,0.07900577783584595
Electricity,moment,phase_aug_train,20261212,6,0.8502737879753113,0.643731415271759,0.15211491286754608
Electricity,moment,phase_aug_train,20261212,7,0.9054197072982788,0.6869931817054749,0.24801988899707794
Electricity,patchtst,canonical_train,20261211,0,0.3322029113769531,0.2125563770532608,0.3854757845401764
Electricity,patchtst,canonical_train,20261211,1,0.4677680730819702,0.3281593322753906,0.20774267613887787
Electricity,patchtst,canonical_train,20261211,2,0.6264675259590149,0.4546332061290741,0.1102883443236351
Electricity,patchtst,canonical_train,20261211,3,0.7671544551849365,0.5720266699790955,0.06480927765369415
Electricity,patchtst,canonical_train,20261211,4,0.8907204866409302,0.6750604510307312,0.0660548135638237
Electricity,patchtst,canonical_train,20261211,5,1.009028673171997,0.7723355889320374,0.11840193718671799
Electricity,patchtst,canonical_train,20261211,6,1.1040984392166138,0.8425946831703186,0.21352754533290863
Electricity,patchtst,canonical_train,20261211,7,1.1780177354812622,0.894542396068573,0.3561725616455078
Electricity,patchtst,canonical_train,20261212,0,0.33305948972702026,0.21645061671733856,0.35964834690093994
Electricity,patchtst,canonical_train,20261212,1,0.45438313484191895,0.3212388753890991,0.2034785896539688
Electricity,patchtst,canonical_train,20261212,2,0.6021896004676819,0.4377622902393341,0.1081826388835907
Electricity,patchtst,canonical_train,20261212,3,0.74969482421875,0.5658842921257019,0.06472164392471313
Electricity,patchtst,canonical_train,20261212,4,0.8722913861274719,0.666909396648407,0.06550998985767365
Electricity,patchtst,canonical_train,20261212,5,0.9823885560035706,0.7547560334205627,0.11290542036294937
Electricity,patchtst,canonical_train,20261212,6,1.079585075378418,0.8273327350616455,0.19875884056091309
Electricity,patchtst,canonical_train,20261212,7,1.1693472862243652,0.8858561515808105,0.3536839485168457
Electricity,patchtst,phase_aug_train,20261211,0,0.7242979407310486,0.5531840920448303,0.16571438312530518
Electricity,patchtst,phase_aug_train,20261211,1,0.6343839168548584,0.4784465730190277,0.09534209966659546
Electricity,patchtst,phase_aug_train,20261211,2,0.5673755407333374,0.4230997562408447,0.04680174961686134
Electricity,patchtst,phase_aug_train,20261211,3,0.5313142538070679,0.39256444573402405,0.022850148379802704
Electricity,patchtst,phase_aug_train,20261211,4,0.5122984647750854,0.3759763240814209,0.026129378005862236
Electricity,patchtst,phase_aug_train,20261211,5,0.5288999676704407,0.38907548785209656,0.05383545532822609
Electricity,patchtst,phase_aug_train,20261211,6,0.569023847579956,0.422913521528244,0.0967581644654274
Electricity,patchtst,phase_aug_train,20261211,7,0.6856606006622314,0.5157754421234131,0.2051943689584732
Electricity,patchtst,phase_aug_train,20261212,0,0.5919291377067566,0.45239830017089844,0.11176744103431702
Electricity,patchtst,phase_aug_train,20261212,1,0.6191874146461487,0.4727158546447754,0.06465943902730942
Electricity,patchtst,phase_aug_train,20261212,2,0.6688588857650757,0.5139673352241516,0.04290725663304329
Electricity,patchtst,phase_aug_train,20261212,3,0.6951134204864502,0.5354626774787903,0.028046200051903725
Electricity,patchtst,phase_aug_train,20261212,4,0.7429527640342712,0.5687659382820129,0.02840995602309704
Electricity,patchtst,phase_aug_train,20261212,5,0.8073338270187378,0.6177852749824524,0.03904011473059654
Electricity,patchtst,phase_aug_train,20261212,6,0.8611765503883362,0.6560881733894348,0.06618838012218475
Electricity,patchtst,phase_aug_train,20261212,7,0.9143978953361511,0.6955516934394836,0.10599204152822495
JenaWeather,moment,canonical_train,20261211,0,0.44445836544036865,0.26671120524406433,0.021320000290870667
JenaWeather,moment,canonical_train,20261211,1,0.45249712467193604,0.2720046937465668,0.01315439771860838
JenaWeather,moment,canonical_train,20261211,2,0.4606824517250061,0.2787919342517853,0.008429900743067265
JenaWeather,moment,canonical_train,20261211,3,0.4687928557395935,0.2828366458415985,0.0055104028433561325
JenaWeather,moment,canonical_train,20261211,4,0.4770614802837372,0.28625044226646423,0.005400082096457481
JenaWeather,moment,canonical_train,20261211,5,0.4880097210407257,0.2923620641231537,0.008115466684103012
JenaWeather,moment,canonical_train,20261211,6,0.5006142258644104,0.3013869822025299,0.013116004876792431
JenaWeather,moment,canonical_train,20261211,7,0.511201798915863,0.30892661213874817,0.020494459196925163
JenaWeather,moment,canonical_train,20261212,0,0.4400690495967865,0.2623702585697174,0.020776163786649704
JenaWeather,moment,canonical_train,20261212,1,0.45067718625068665,0.27113470435142517,0.013747273944318295
JenaWeather,moment,canonical_train,20261212,2,0.45959755778312683,0.2792606055736542,0.009961959905922413
JenaWeather,moment,canonical_train,20261212,3,0.465660959482193,0.2811771631240845,0.006661327555775642
JenaWeather,moment,canonical_train,20261212,4,0.4718353748321533,0.28239479660987854,0.006444653030484915
JenaWeather,moment,canonical_train,20261212,5,0.4826405346393585,0.28848734498023987,0.009218941442668438
JenaWeather,moment,canonical_train,20261212,6,0.4940818250179291,0.2966819703578949,0.013507506810128689
JenaWeather,moment,canonical_train,20261212,7,0.504446268081665,0.30459314584732056,0.02073846571147442
JenaWeather,moment,phase_aug_train,20261211,0,0.44999414682388306,0.2711283266544342,0.01957310177385807
JenaWeather,moment,phase_aug_train,20261211,1,0.45078185200691223,0.270242840051651,0.011649264954030514
JenaWeather,moment,phase_aug_train,20261211,2,0.4561995267868042,0.2742450535297394,0.007275080308318138
JenaWeather,moment,phase_aug_train,20261211,3,0.4635990858078003,0.27849501371383667,0.005215155426412821
JenaWeather,moment,phase_aug_train,20261211,4,0.46935439109802246,0.2833598554134369,0.005178011022508144
JenaWeather,moment,phase_aug_train,20261211,5,0.47611522674560547,0.28668728470802307,0.007141766604036093
JenaWeather,moment,phase_aug_train,20261211,6,0.4844493567943573,0.2925560176372528,0.01109230611473322
JenaWeather,moment,phase_aug_train,20261211,7,0.49176329374313354,0.29533329606056213,0.018884649500250816
JenaWeather,moment,phase_aug_train,20261212,0,0.454037070274353,0.2748613655567169,0.018075166270136833
JenaWeather,moment,phase_aug_train,20261212,1,0.45493030548095703,0.2743465304374695,0.011144809424877167
JenaWeather,moment,phase_aug_train,20261212,2,0.46084707975387573,0.27904894948005676,0.007065008860081434
JenaWeather,moment,phase_aug_train,20261212,3,0.46577832102775574,0.28081539273262024,0.004686722997575998
JenaWeather,moment,phase_aug_train,20261212,4,0.47305265069007874,0.28532782196998596,0.00467006815597415
JenaWeather,moment,phase_aug_train,20261212,5,0.48078134655952454,0.290770947933197,0.006800989154726267
JenaWeather,moment,phase_aug_train,20261212,6,0.4908196032047272,0.2985113561153412,0.01090796198695898
JenaWeather,moment,phase_aug_train,20261212,7,0.4993961751461029,0.30355849862098694,0.01781187206506729
JenaWeather,patchtst,canonical_train,20261211,0,0.42140623927116394,0.24229669570922852,0.0829993411898613
JenaWeather,patchtst,canonical_train,20261211,1,0.560370683670044,0.4040582478046417,0.017285140231251717
JenaWeather,patchtst,canonical_train,20261211,2,0.6846498847007751,0.5173529982566833,0.06603580713272095
JenaWeather,patchtst,canonical_train,20261211,3,0.646012008190155,0.4758370816707611,0.04317132756114006
JenaWeather,patchtst,canonical_train,20261211,4,0.6239480972290039,0.45781853795051575,0.03279539942741394
JenaWeather,patchtst,canonical_train,20261211,5,0.5719813108444214,0.40625885128974915,0.016338223591446877
JenaWeather,patchtst,canonical_train,20261211,6,0.48745858669281006,0.3186068832874298,0.02410803735256195
JenaWeather,patchtst,canonical_train,20261211,7,0.46031203866004944,0.26690396666526794,0.10651290416717529
JenaWeather,patchtst,canonical_train,20261212,0,0.42193517088890076,0.24761433899402618,0.07439707964658737
JenaWeather,patchtst,canonical_train,20261212,1,0.5887656807899475,0.42096492648124695,0.022505203261971474
JenaWeather,patchtst,canonical_train,20261212,2,0.6568477153778076,0.4873007833957672,0.047228917479515076
JenaWeather,patchtst,canonical_train,20261212,3,0.6056268811225891,0.4396461248397827,0.0212844330817461
JenaWeather,patchtst,canonical_train,20261212,4,0.6320822238922119,0.468121737241745,0.030985532328486443
JenaWeather,patchtst,canonical_train,20261212,5,0.5867043137550354,0.4189533293247223,0.018038110807538033
JenaWeather,patchtst,canonical_train,20261212,6,0.5302850604057312,0.3699285089969635,0.013816963881254196
JenaWeather,patchtst,canonical_train,20261212,7,0.4516397714614868,0.2605728507041931,0.12085890769958496
JenaWeather,patchtst,phase_aug_train,20261211,0,0.4537529945373535,0.2829972207546234,0.016657119616866112
JenaWeather,patchtst,phase_aug_train,20261211,1,0.4521152079105377,0.2781120836734772,0.010719175450503826
JenaWeather,patchtst,phase_aug_train,20261211,2,0.451789528131485,0.2771953344345093,0.008639711886644363
JenaWeather,patchtst,phase_aug_train,20261211,3,0.4491671919822693,0.2713910639286041,0.0043086460791528225
JenaWeather,patchtst,phase_aug_train,20261211,4,0.4517710506916046,0.2693677544593811,0.0038429026026278734
JenaWeather,patchtst,phase_aug_train,20261211,5,0.45815667510032654,0.26994216442108154,0.00677511328831315
JenaWeather,patchtst,phase_aug_train,20261211,6,0.4691966772079468,0.2764032781124115,0.01247203815728426
JenaWeather,patchtst,phase_aug_train,20261211,7,0.4835405647754669,0.28593340516090393,0.019944405183196068
JenaWeather,patchtst,phase_aug_train,20261212,0,0.48001256585121155,0.3188749849796295,0.05305030941963196
JenaWeather,patchtst,phase_aug_train,20261212,1,0.4428730309009552,0.27246758341789246,0.016465628519654274
JenaWeather,patchtst,phase_aug_train,20261212,2,0.440142959356308,0.2666413486003876,0.0099988067522645
JenaWeather,patchtst,phase_aug_train,20261212,3,0.437017023563385,0.2563321888446808,0.005287727806717157
JenaWeather,patchtst,phase_aug_train,20261212,4,0.4461628496646881,0.2621130645275116,0.006347877439111471
JenaWeather,patchtst,phase_aug_train,20261212,5,0.4565452039241791,0.2669297754764557,0.009750842116773129
JenaWeather,patchtst,phase_aug_train,20261212,6,0.4774054288864136,0.2766432464122772,0.02311275154352188
JenaWeather,patchtst,phase_aug_train,20261212,7,0.494759202003479,0.2886737883090973,0.03258691728115082
Traffic,moment,canonical_train,20261211,0,0.6647583842277527,0.3831571638584137,0.7318270206451416
Traffic,moment,canonical_train,20261211,1,0.8013176918029785,0.4984109401702881,0.46865737438201904
Traffic,moment,canonical_train,20261211,2,1.0459847450256348,0.6805805563926697,0.29521748423576355
Traffic,moment,canonical_train,20261211,3,1.2534854412078857,0.8499276041984558,0.21033699810504913
Traffic,moment,canonical_train,20261211,4,1.406463623046875,0.9888960719108582,0.21180500090122223
Traffic,moment,canonical_train,20261211,5,1.520376205444336,1.1017616987228394,0.29791074991226196
Traffic,moment,canonical_train,20261211,6,1.6055983304977417,1.191205620765686,0.4654010236263275
Traffic,moment,canonical_train,20261211,7,1.6691645383834839,1.2612687349319458,0.702094316482544
Traffic,moment,canonical_train,20261212,0,0.6505700349807739,0.36316391825675964,0.7349256873130798
Traffic,moment,canonical_train,20261212,1,0.7914313673973083,0.47110092639923096,0.4682431221008301
Traffic,moment,canonical_train,20261212,2,1.0369716882705688,0.650486409664154,0.2952028214931488
Traffic,moment,canonical_train,20261212,3,1.2424665689468384,0.8186151385307312,0.21083088219165802
Traffic,moment,canonical_train,20261212,4,1.393599510192871,0.9582052826881409,0.21155260503292084
Traffic,moment,canonical_train,20261212,5,1.5071264505386353,1.0736078023910522,0.2979612350463867
Traffic,moment,canonical_train,20261212,6,1.5929681062698364,1.1674927473068237,0.46576687693595886
Traffic,moment,canonical_train,20261212,7,1.6589703559875488,1.2430940866470337,0.706529438495636
Traffic,moment,phase_aug_train,20261211,0,1.0409915447235107,0.7371010184288025,0.466357946395874
Traffic,moment,phase_aug_train,20261211,1,0.97649085521698,0.6704602241516113,0.2499110847711563
Traffic,moment,phase_aug_train,20261211,2,0.9624378085136414,0.6531586050987244,0.11558977514505386
Traffic,moment,phase_aug_train,20261211,3,0.9766045212745667,0.6657314300537109,0.05513825640082359
Traffic,moment,phase_aug_train,20261211,4,1.0080937147140503,0.70005202293396,0.06185675039887428
Traffic,moment,phase_aug_train,20261211,5,1.0525494813919067,0.7459530830383301,0.12492373585700989
Traffic,moment,phase_aug_train,20261211,6,1.1257107257843018,0.8121649622917175,0.24226844310760498
Traffic,moment,phase_aug_train,20261211,7,1.2178215980529785,0.8877715468406677,0.3906342685222626
Traffic,moment,phase_aug_train,20261212,0,0.9678606986999512,0.6511611342430115,0.677074134349823
Traffic,moment,phase_aug_train,20261212,1,0.9853715300559998,0.6816811561584473,0.40181317925453186
Traffic,moment,phase_aug_train,20261212,2,1.0749118328094482,0.7715811133384705,0.19143472611904144
Traffic,moment,phase_aug_train,20261212,3,1.2074607610702515,0.890617311000824,0.09097301959991455
Traffic,moment,phase_aug_train,20261212,4,1.3454809188842773,1.0113275051116943,0.10382580012083054
Traffic,moment,phase_aug_train,20261212,5,1.463905930519104,1.1143823862075806,0.20733948051929474
Traffic,moment,phase_aug_train,20261212,6,1.5501341819763184,1.1900404691696167,0.3681049346923828
Traffic,moment,phase_aug_train,20261212,7,1.60379159450531,1.2387301921844482,0.5535489916801453
Traffic,patchtst,canonical_train,20261211,0,0.6421170830726624,0.32668113708496094,0.7089679837226868
Traffic,patchtst,canonical_train,20261211,1,0.7904278039932251,0.4546312391757965,0.45233631134033203
Traffic,patchtst,canonical_train,20261211,2,1.0489585399627686,0.6519470810890198,0.3034392297267914
Traffic,patchtst,canonical_train,20261211,3,1.245202898979187,0.8146496415138245,0.24298226833343506
Traffic,patchtst,canonical_train,20261211,4,1.3711559772491455,0.9306369423866272,0.24559073150157928
Traffic,patchtst,canonical_train,20261211,5,1.450019121170044,1.0108351707458496,0.3141557276248932
Traffic,patchtst,canonical_train,20261211,6,1.4890409708023071,1.0582154989242554,0.4403495788574219
Traffic,patchtst,canonical_train,20261211,7,1.5008609294891357,1.0832347869873047,0.6208304762840271
Traffic,patchtst,canonical_train,20261212,0,0.6412153244018555,0.3251570165157318,0.7853913307189941
Traffic,patchtst,canonical_train,20261212,1,0.8033124208450317,0.46586909890174866,0.4955587089061737
Traffic,patchtst,canonical_train,20261212,2,1.067713975906372,0.6675516963005066,0.3196285367012024
Traffic,patchtst,canonical_train,20261212,3,1.2798805236816406,0.8444881439208984,0.24868440628051758
Traffic,patchtst,canonical_train,20261212,4,1.4242867231369019,0.9741601943969727,0.2617965638637543
Traffic,patchtst,canonical_train,20261212,5,1.5286736488342285,1.0784211158752441,0.3437962234020233
Traffic,patchtst,canonical_train,20261212,6,1.5956553220748901,1.150754451751709,0.505158543586731
Traffic,patchtst,canonical_train,20261212,7,1.6383860111236572,1.2038089036941528,0.7379932403564453
Traffic,patchtst,phase_aug_train,20261211,0,1.0153027772903442,0.6814630031585693,0.22362186014652252
Traffic,patchtst,phase_aug_train,20261211,1,0.9780270457267761,0.641843855381012,0.1366770714521408
Traffic,patchtst,phase_aug_train,20261211,2,0.9450080990791321,0.6032088994979858,0.0697258934378624
Traffic,patchtst,phase_aug_train,20261211,3,0.9384551048278809,0.5899620652198792,0.03408434987068176
Traffic,patchtst,phase_aug_train,20261211,4,0.9545971155166626,0.604416012763977,0.033425163477659225
Traffic,patchtst,phase_aug_train,20261211,5,1.002074956893921,0.6553913354873657,0.07334619015455246
Traffic,patchtst,phase_aug_train,20261211,6,1.0639441013336182,0.7137822508811951,0.14460597932338715
Traffic,patchtst,phase_aug_train,20261211,7,1.1378859281539917,0.7827234268188477,0.25670453906059265
Traffic,patchtst,phase_aug_train,20261212,0,1.0213724374771118,0.6787814497947693,0.2218245416879654
Traffic,patchtst,phase_aug_train,20261212,1,0.9921621680259705,0.640867292881012,0.14061062037944794
Traffic,patchtst,phase_aug_train,20261212,2,1.0051852464675903,0.647256076335907,0.07537298649549484
Traffic,patchtst,phase_aug_train,20261212,3,1.0325011014938354,0.6740310788154602,0.08156607300043106
Traffic,patchtst,phase_aug_train,20261212,4,1.0896036624908447,0.7265051007270813,0.04859223961830139
Traffic,patchtst,phase_aug_train,20261212,5,1.1676139831542969,0.8037367463111877,0.08456093817949295
Traffic,patchtst,phase_aug_train,20261212,6,1.2475248575210571,0.8845510482788086,0.17444489896297455
Traffic,patchtst,phase_aug_train,20261212,7,1.274181842803955,0.9149400591850281,0.2327657788991928
