dataset,backbone,train_mode,seed,phase,rmse,mae,quotient_mse
Electricity,moment,canonical_train,20261211,0,0.36757901310920715,0.25237688422203064,0.33472535014152527
Electricity,moment,canonical_train,20261211,1,0.4615284502506256,0.330091655254364,0.19770538806915283
Electricity,moment,canonical_train,20261211,2,0.5997582674026489,0.43723878264427185,0.10337900370359421
Electricity,moment,canonical_train,20261211,3,0.7328521013259888,0.5449779033660889,0.05483977496623993
Electricity,moment,canonical_train,20261211,4,0.8648741245269775,0.6533293128013611,0.05513332784175873
Electricity,moment,canonical_train,20261211,5,0.9889314770698547,0.7525263428688049,0.10421806573867798
Electricity,moment,canonical_train,20261211,6,1.0980713367462158,0.8391554951667786,0.19831563532352448
Electricity,moment,canonical_train,20261211,7,1.1845779418945312,0.9095101952552795,0.3305986821651459
Electricity,moment,canonical_train,20261212,0,0.3613635301589966,0.2473701387643814,0.3684264123439789
Electricity,moment,canonical_train,20261212,1,0.45528730750083923,0.32146331667900085,0.21508143842220306
Electricity,moment,canonical_train,20261212,2,0.5953398942947388,0.42916595935821533,0.11047760397195816
Electricity,moment,canonical_train,20261212,3,0.7322770953178406,0.5403746962547302,0.05651988461613655
Electricity,moment,canonical_train,20261212,4,0.870985746383667,0.6540703177452087,0.056972842663526535
Electricity,moment,canonical_train,20261212,5,1.0018658638000488,0.7591290473937988,0.11174706369638443
Electricity,moment,canonical_train,20261212,6,1.118072748184204,0.8524135947227478,0.21672803163528442
Electricity,moment,canonical_train,20261212,7,1.2113746404647827,0.9289484024047852,0.364703506231308
Electricity,moment,phase_aug_train,20261211,0,0.5649486780166626,0.42970630526542664,0.2234763354063034
Electricity,moment,phase_aug_train,20261211,1,0.5292590260505676,0.3987947702407837,0.11873053759336472
Electricity,moment,phase_aug_train,20261211,2,0.5374323129653931,0.4025379419326782,0.050439003854990005
Electricity,moment,phase_aug_train,20261211,3,0.5681800842285156,0.4239969253540039,0.0244241114705801
Electricity,moment,phase_aug_train,20261211,4,0.6144090890884399,0.457148939371109,0.030048420652747154
Electricity,moment,phase_aug_train,20261211,5,0.6600361466407776,0.49229493737220764,0.05915744975209236
Electricity,moment,phase_aug_train,20261211,6,0.715160071849823,0.5375914573669434,0.11218658834695816
