dataset,backbone,train_mode,seed,design,phases,rmse,mae,quotient_mse
Electricity,moment,canonical_train,20261211,0,0-1-2-3,0.5003129839897156,0.3670339584350586,0.11174919456243515
Electricity,moment,canonical_train,20261211,1,0-1-2-4,0.5221431851387024,0.3882942497730255,0.08140921592712402
Electricity,moment,canonical_train,20261211,2,0-1-2-5,0.543539822101593,0.40848496556282043,0.05898793041706085
Electricity,moment,canonical_train,20261211,3,0-1-2-6,0.561691164970398,0.425851970911026,0.04563002288341522
Electricity,moment,canonical_train,20261211,4,0-1-2-7,0.5735025405883789,0.4383511245250702,0.042742807418107986
Electricity,moment,canonical_train,20261211,5,0-1-3-4,0.553826093673706,0.41491663455963135,0.05902368202805519
Electricity,moment,canonical_train,20261211,6,0-1-3-5,0.575616180896759,0.4354255497455597,0.038410987704992294
Electricity,moment,canonical_train,20261211,7,0-1-3-6,0.5940403342247009,0.45269539952278137,0.026541536673903465
Electricity,moment,canonical_train,20261211,8,0-1-3-7,0.6060535907745361,0.464983195066452,0.02466326206922531
Electricity,moment,canonical_train,20261211,9,0-1-4-5,0.6086228489875793,0.4622175991535187,0.02483845315873623
Electricity,moment,canonical_train,20261211,10,0-1-4-6,0.6275140047073364,0.47995316982269287,0.014770998619496822
Electricity,moment,canonical_train,20261211,11,0-1-4-7,0.640074610710144,0.4924503564834595,0.014397460967302322
Electricity,moment,canonical_train,20261211,12,0-1-5-6,0.6596311330795288,0.5052754878997803,0.010887137614190578
Electricity,moment,canonical_train,20261211,13,0-1-5-7,0.672940194606781,0.5183663368225098,0.012327085249125957
Electricity,moment,canonical_train,20261211,14,0-1-6-7,0.7021018862724304,0.5411132574081421,0.019006261602044106
Electricity,moment,canonical_train,20261211,15,0-2-3-4,0.5945996046066284,0.44576671719551086,0.0455920584499836
Electricity,moment,canonical_train,20261211,16,0-2-3-5,0.6161773800849915,0.4662337303161621,0.02649456076323986
Electricity,moment,canonical_train,20261211,17,0-2-3-6,0.6342102289199829,0.4833236634731293,0.015623264014720917
Electricity,moment,canonical_train,20261211,18,0-2-3-7,0.6453109979629517,0.49522864818573,0.013531499542295933
Electricity,moment,canonical_train,20261211,19,0-2-4-5,0.6485344171524048,0.4929991662502289,0.014756563119590282
Electricity,moment,canonical_train,20261211,20,0-2-4-6,0.6670435070991516,0.510512113571167,0.00568727171048522
Electricity,moment,canonical_train,20261211,21,0-2-4-7,0.6787159442901611,0.5225796699523926,0.005100245121866465
Electricity,moment,canonical_train,20261211,22,0-2-5-6,0.6984279155731201,0.5354925394058228,0.003318593604490161
Electricity,moment,canonical_train,20261211,23,0-2-5-7,0.7108610272407532,0.5481100678443909,0.0045450543984770775
Electricity,moment,canonical_train,20261211,24,0-2-6-7,0.7392023205757141,0.5703529715538025,0.012222389690577984
Electricity,moment,canonical_train,20261211,25,0-3-4-5,0.6879205703735352,0.5235124230384827,0.010918998159468174
Electricity,moment,canonical_train,20261211,26,0-3-4-6,0.7064511179924011,0.5409550666809082,0.0033381658140569925
