dataset,backbone,train_mode,seeds,phase_materiality,phase_materiality_sd,canonical_rmse,exact_iid4_rmse,phasecover4_rmse,full8_rmse,cover_minus_iid_rmse,full_gain_vs_canonical,exact_iid4_quotient_mse,phasecover4_quotient_mse,cover_quotient_ratio,epochs,fit_wall_seconds,parameters_total,parameters_trainable
Electricity,moment,canonical_train,2,1.1640013960459366,0.04884069431835517,0.36447127163410187,0.7334789148398808,0.6658176779747009,0.7249442338943481,-0.06766123686517989,-0.3604729622602463,0.025710463856479952,0.006045907270163298,0.23498384518459356,7.0,48.818316290387884,36123864,786456
Electricity,moment,phase_aug_train,2,0.6154965427804213,0.08520232783778453,0.5562422871589661,0.5773051940969058,0.5438390076160431,0.5651452541351318,-0.03346618648086275,-0.008902966976165771,0.016806805944569143,0.0040175787871703506,0.2376762074532817,8.5,59.63383917789906,36123864,786456
Electricity,patchtst,canonical_train,2,1.299431727626617,0.019452143374592657,0.3326312005519867,0.7270097391945975,0.6575019955635071,0.7175957262516022,-0.06950774363109047,-0.3849645256996155,0.02669073460690145,0.0063865468837320805,0.2394160961866883,12.0,20.586015846114606,409880,401688
Electricity,patchtst,phase_aug_train,2,0.41444668747935687,0.0033645483842376397,0.6581135392189026,0.6195515905107771,0.6035672128200531,0.6112203001976013,-0.015984377690723972,0.04689323902130127,0.010711040510796011,0.0027375888312235475,0.2545416148520041,5.5,9.449054674943909,409880,401688
JenaWeather,moment,canonical_train,2,0.25063709295094416,0.006731592816202244,0.4422637075185776,0.4624128322516169,0.4561842679977417,0.46058814227581024,-0.006228564253875191,-0.018324434757232666,0.0017553303367874053,0.0005287295352900401,0.3007320877225529,4.5,31.224056179169565,36123864,786456
JenaWeather,moment,phase_aug_train,2,0.22613066195628762,0.006066602453629247,0.45201560854911804,0.46070063263177874,0.456746906042099,0.45911747217178345,-0.0039537265896797125,-0.007101863622665405,0.0014926065085871544,0.000503185685374774,0.33607281162786806,5.5,38.335342064034194,36123864,786456
JenaWeather,patchtst,canonical_train,2,0.5092699109059637,0.02003821181381926,0.42167070508003235,0.5266288269843373,0.5242269337177277,0.5218353867530823,-0.0024018932666097226,-0.10016468167304993,0.006592511971913544,0.000973382469965145,0.14892726291267014,8.5,15.414802090963349,409880,401688
JenaWeather,patchtst,phase_aug_train,2,0.2582186193179603,0.04702987995749568,0.46688278019428253,0.44506415746041705,0.4413766860961914,0.44266776740550995,-0.003687471364225675,0.024215012788772583,0.002142499788897112,0.0009278310171794146,0.4242669442904681,8.0,13.815812388667837,409880,401688
Traffic,moment,canonical_train,2,0.9895094257148368,0.015896693685153535,0.6576642096042633,1.1301847717591693,1.0453723073005676,1.112429678440094,-0.0848124644586018,-0.4547654688358307,0.060484489193186164,0.010526962578296661,0.17404113915272,10.0,70.34137029689737,36123864,786456
Traffic,moment,phase_aug_train,2,0.5160228156647211,0.10228791337175243,1.004426121711731,1.0683247229882649,1.0225826501846313,1.0529733896255493,-0.04574207280363357,-0.04854726791381836,0.03839995115163869,0.008280084701254964,0.22018307876887178,5.5,38.685556046897545,36123864,786456
Traffic,patchtst,canonical_train,2,1.0324366285161504,0.03942647197224602,0.6416662037372589,1.0963223482881275,1.0151457488536835,1.0762413144111633,-0.08117659943444389,-0.4345751106739044,0.0627380340360105,0.010307298507541418,0.16358211992116561,12.0,21.10102472314611,409880,401688
Traffic,patchtst,phase_aug_train,2,0.34984658352058495,0.009189516361524647,1.018337607383728,1.004336655991418,0.9866284728050232,0.9957171678543091,-0.017708183186394832,0.022620439529418945,0.018142223752303316,0.004290543729439378,0.23752672581913742,6.0,10.587170600192621,409880,401688
