dataset,backbone,train_mode,seed,phase_materiality,phase_spread_rms,epochs,fit_wall_seconds,parameters_total,parameters_trainable,method,rmse,mae,quotient_mse
Electricity,moment,canonical_train,20261211,1.1294658098955683,0.4151679277420044,6,20.93245823518373,36123864,786456,canonical,0.36757901310920715,0.25237688422203064,0.33472535014152527
Electricity,moment,canonical_train,20261211,1.1294658098955683,0.4151679277420044,6,20.93245823518373,36123864,786456,exact_iid4,0.7328825831413269,0.5613867282867432,0.024623485235497355
Electricity,moment,canonical_train,20261211,1.1294658098955683,0.4151679277420044,6,20.93245823518373,36123864,786456,phasecover4,0.6670435070991516,0.510512113571167,0.00568727171048522
Electricity,moment,canonical_train,20261211,1.1294658098955683,0.4151679277420044,6,20.93245823518373,36123864,786456,full8,0.7246523499488831,0.5575647950172424,0.0
Electricity,moment,canonical_train,20261212,1.1985369821963048,0.43310755491256714,8,27.885858055204153,36123864,786456,canonical,0.3613635301589966,0.2473701387643814,0.3684264123439789
Electricity,moment,canonical_train,20261212,1.1985369821963048,0.43310755491256714,8,27.885858055204153,36123864,786456,exact_iid4,0.7340752465384347,0.5595062383583613,0.026797442477462546
Electricity,moment,canonical_train,20261212,1.1985369821963048,0.43310755491256714,8,27.885858055204153,36123864,786456,phasecover4,0.6645918488502502,0.5057016015052795,0.006404542829841375
Electricity,moment,canonical_train,20261212,1.1985369821963048,0.43310755491256714,8,27.885858055204153,36123864,786456,full8,0.7252361178398132,0.5551875233650208,0.0
Electricity,moment,phase_aug_train,20261211,0.5552493989934446,0.31368741393089294,12,42.14519013185054,36123864,786456,canonical,0.5649486780166626,0.42970630526542664,0.2234763354063034
Electricity,moment,phase_aug_train,20261211,0.5552493989934446,0.31368741393089294,12,42.14519013185054,36123864,786456,exact_iid4,0.5485025367566517,0.41109440411840165,0.014057111775036902
Electricity,moment,phase_aug_train,20261211,0.5552493989934446,0.31368741393089294,12,42.14519013185054,36123864,786456,phasecover4,0.5228996872901917,0.39225247502326965,0.003223454812541604
Electricity,moment,phase_aug_train,20261211,0.5552493989934446,0.31368741393089294,12,42.14519013185054,36123864,786456,full8,0.5368382334709167,0.40227094292640686,0.0
Electricity,moment,phase_aug_train,20261212,0.6757436865673981,0.3699939250946045,5,17.488649046048522,36123864,786456,canonical,0.5475358963012695,0.41562750935554504,0.31240227818489075
Electricity,moment,phase_aug_train,20261212,0.6757436865673981,0.3699939250946045,5,17.488649046048522,36123864,786456,exact_iid4,0.60610785143716,0.4521505700690406,0.019556500114101386
Electricity,moment,phase_aug_train,20261212,0.6757436865673981,0.3699939250946045,5,17.488649046048522,36123864,786456,phasecover4,0.5647783279418945,0.41998422145843506,0.004811702761799097
Electricity,moment,phase_aug_train,20261212,0.6757436865673981,0.3699939250946045,5,17.488649046048522,36123864,786456,full8,0.5934522747993469,0.44223931431770325,0.0
Electricity,patchtst,canonical_train,20261211,1.3131864701154046,0.4362443685531616,12,10.166378027061,409880,401688,canonical,0.3322029113769531,0.2125563770532608,0.3854757845401764
Electricity,patchtst,canonical_train,20261211,1.3131864701154046,0.4362443685531616,12,10.166378027061,409880,401688,exact_iid4,0.7345840999058315,0.5630868064505713,0.027187015382306917
Electricity,patchtst,canonical_train,20261211,1.3131864701154046,0.4362443685531616,12,10.166378027061,409880,401688,phasecover4,0.6642904877662659,0.5092074275016785,0.006309352349489927
Electricity,patchtst,canonical_train,20261211,1.3131864701154046,0.4362443685531616,12,10.166378027061,409880,401688,full8,0.7250828742980957,0.558823823928833,0.0
Electricity,patchtst,canonical_train,20261212,1.2856769851378296,0.4282069206237793,12,10.419637819053605,409880,401688,canonical,0.33305948972702026,0.21645061671733856,0.35964834690093994
Electricity,patchtst,canonical_train,20261212,1.2856769851378296,0.4282069206237793,12,10.419637819053605,409880,401688,exact_iid4,0.7194353784833636,0.5532279849052429,0.026194453831495983
