dataset,backbone,train_mode,seed,anchored_designs,cover_rmse,complement_rmse,exact_iid4_rmse,anchored_iid4_rmse,cover_minus_anchored_iid_rmse,complement_minus_exact_iid_rmse,complement_minus_cover_rmse,cover_quotient_mse,complement_quotient_mse
JenaWeather,patchtst,canonical_train,20261211,35,0.5173983573913574,0.5221532583236694,0.5240694058792932,0.5004554518631527,0.016942905528204766,-0.0019161475556237484,0.004754900932312012,0.0008717851596884429,0.0008717851596884429
JenaWeather,patchtst,canonical_train,20261212,35,0.5310555100440979,0.5203946828842163,0.5291882480893816,0.5061797193118505,0.024875790732247438,-0.008793565205165277,-0.010660827159881592,0.001074979780241847,0.0010749798966571689
JenaWeather,patchtst,phase_aug_train,20261211,35,0.44581136107444763,0.45013487339019775,0.4489687676940646,0.4472452998161316,-0.00143393874168396,0.0011661056961331795,0.004323512315750122,0.0005886618164367974,0.0005886618164367974
JenaWeather,patchtst,phase_aug_train,20261212,35,0.4369420111179352,0.44196081161499023,0.4411595472267696,0.43883191687720163,-0.0018899057592664525,0.000801264388220646,0.005018800497055054,0.0012670002179220319,0.0012670002179220319
JenaWeather,moment,canonical_train,20261211,35,0.4587055444717407,0.46868476271629333,0.46495599789278846,0.4590794231210436,-0.0003738786493028834,0.003728764823504871,0.009979218244552612,0.0004837870073970407,0.0004837870365008712
JenaWeather,moment,canonical_train,20261212,35,0.4536629915237427,0.4634886085987091,0.4598696666104453,0.4541547656059265,-0.0004917740821838157,0.0036189419882637908,0.00982561707496643,0.0005736720631830394,0.0005736720631830394
JenaWeather,moment,phase_aug_train,20261211,35,0.4540829658508301,0.4599023461341858,0.45801723642008646,0.45406985197748456,1.3113873345516058e-05,0.0018851097140993311,0.005819380283355713,0.0005715780425816774,0.0005715780425816774
JenaWeather,moment,phase_aug_train,20261212,35,0.4594108462333679,0.46522924304008484,0.46338402884347096,0.4595011012894767,-9.025505610876783e-05,0.0018452141966138758,0.005818396806716919,0.00043479332816787064,0.0004347932990640402
Electricity,patchtst,canonical_train,20261211,35,0.6642904877662659,0.7891939878463745,0.7345840999058315,0.6570413998195104,0.007249087946755495,0.054609887940543,0.12490350008010864,0.006309352349489927,0.006309352815151215
Electricity,patchtst,canonical_train,20261212,35,0.6507135033607483,0.7733097672462463,0.7194353784833636,0.6449874145644051,0.005726088796343176,0.05387438876288275,0.12259626388549805,0.006463741417974234,0.006463741417974234
Electricity,patchtst,phase_aug_train,20261211,35,0.5269240736961365,0.5173540115356445,0.5307966879435948,0.5427467005593436,-0.015822626863207123,-0.013442676407950271,-0.009570062160491943,0.003309805877506733,0.003309805877506733
Electricity,patchtst,phase_aug_train,20261212,35,0.6802103519439697,0.7289394736289978,0.7083064930779593,0.6825652275766645,-0.002354875632694764,0.02063298055103846,0.048729121685028076,0.002165371784940362,0.0021653715521097183
Electricity,moment,canonical_train,20261211,35,0.6670435070991516,0.785283088684082,0.7328825831413269,0.6625814999852861,0.004462007113865463,0.052400505542755105,0.11823958158493042,0.00568727171048522,0.00568727171048522
Electricity,moment,canonical_train,20261212,35,0.6645918488502502,0.7893425226211548,0.7340752465384347,0.6601556062698364,0.004436242580413863,0.055267276082720085,0.12475067377090454,0.006404542829841375,0.006404542829841375
Electricity,moment,phase_aug_train,20261211,35,0.5228996872901917,0.5562494397163391,0.5485025367566517,0.5238112270832062,-0.0009115397930145042,0.007746902959687385,0.03334975242614746,0.003223454812541604,0.003223454812541604
Electricity,moment,phase_aug_train,20261212,35,0.5647783279418945,0.6285061240196228,0.60610785143716,0.5638271689414978,0.0009511590003967729,0.022398272582462853,0.06372779607772827,0.004811702761799097,0.0048117018304765224
Traffic,patchtst,canonical_train,20261211,35,0.9933879971504211,1.110836148262024,1.0694187888077327,0.9764756424086435,0.016912354741777658,0.04141735945429126,0.11744815111160278,0.00892168190330267,0.00892168190330267
Traffic,patchtst,canonical_train,20261212,35,1.0369035005569458,1.175297498703003,1.123225907768522,1.022539028099605,0.014364472457340849,0.05207159093448088,0.13839399814605713,0.011692915111780167,0.011692915111780167
Traffic,patchtst,phase_aug_train,20261211,35,0.937268853187561,0.9557090997695923,0.9531107229845864,0.9468893187386649,-0.009620465551103852,0.0025983767850058515,0.01844024658203125,0.004539343062788248,0.004539343062788248
Traffic,patchtst,phase_aug_train,20261212,35,1.0359880924224854,1.062305212020874,1.0555625889982496,1.0370551671300616,-0.0010670747075762765,0.0067426230226244055,0.026317119598388672,0.0040417443960905075,0.0040417443960905075
Traffic,moment,canonical_train,20261211,35,1.0522925853729248,1.19094979763031,1.1367740520409175,1.0403255105018616,0.011967074871063188,0.05417574558939253,0.13865721225738525,0.010363771580159664,0.010363771580159664
Traffic,moment,canonical_train,20261212,35,1.0384520292282104,1.1782290935516357,1.1235954914774213,1.0265341452189853,0.01191788400922511,0.054633602074214416,0.1397770643234253,0.010690153576433659,0.010690153576433659
Traffic,moment,phase_aug_train,20261211,35,0.9269421100616455,0.9627001881599426,0.9565481007099151,0.9367593611989703,-0.00981725113732479,0.006152087450027488,0.03575807809829712,0.007383251097053289,0.007383251097053289
Traffic,moment,phase_aug_train,20261212,35,1.1182231903076172,1.217283844947815,1.1801013452666147,1.1143174648284913,0.003905725479125932,0.03718249968120024,0.09906065464019775,0.009176918305456638,0.009176918305456638
