dataset,backbone,train_mode,seeds,anchored_designs,cover_rmse,complement_rmse,exact_iid4_rmse,anchored_iid4_rmse,cover_minus_anchored_iid_rmse,complement_minus_exact_iid_rmse,complement_minus_cover_rmse,cover_quotient_mse,complement_quotient_mse
Electricity,moment,canonical_train,2,35,0.6658176779747009,0.7873128056526184,0.7334789148398808,0.6613685531275613,0.004449124847139663,0.053833890812737595,0.12149512767791748,0.006045907270163298,0.006045907270163298
Electricity,moment,phase_aug_train,2,35,0.5438390076160431,0.592377781867981,0.5773051940969058,0.5438191980123519,1.980960369113438e-05,0.015072587771075119,0.048538774251937866,0.0040175787871703506,0.004017578321509063
Electricity,patchtst,canonical_train,2,35,0.6575019955635071,0.7812518775463104,0.7270097391945975,0.6510144071919577,0.006487588371549335,0.054242138351712876,0.12374988198280334,0.0063865468837320805,0.006386547116562724
Electricity,patchtst,phase_aug_train,2,35,0.6035672128200531,0.6231467425823212,0.6195515905107771,0.612655964068004,-0.009088751247950944,0.0035951520715440943,0.019579529762268066,0.0027375888312235475,0.0027375887148082256
JenaWeather,moment,canonical_train,2,35,0.4561842679977417,0.4660866856575012,0.4624128322516169,0.4566170943634851,-0.00043282636574334954,0.003673853405884331,0.009902417659759521,0.0005287295352900401,0.0005287295498419553
JenaWeather,moment,phase_aug_train,2,35,0.456746906042099,0.4625657945871353,0.46070063263177874,0.4567854766334806,-3.8570591381625885e-05,0.0018651619553566035,0.005818888545036316,0.000503185685374774,0.0005031856708228588
JenaWeather,patchtst,canonical_train,2,35,0.5242269337177277,0.5212739706039429,0.5266288269843373,0.5033175855875016,0.020909348130226102,-0.005354856380394513,-0.00295296311378479,0.000973382469965145,0.0009733825281728059
JenaWeather,patchtst,phase_aug_train,2,35,0.4413766860961914,0.446047842502594,0.44506415746041705,0.44303860834666664,-0.0016619222504752063,0.0009836850421769128,0.004671156406402588,0.0009278310171794146,0.0009278310171794146
Traffic,moment,canonical_train,2,35,1.0453723073005676,1.184589445590973,1.1301847717591693,1.0334298278604235,0.01194247944014415,0.054404673831803474,0.13921713829040527,0.010526962578296661,0.010526962578296661
Traffic,moment,phase_aug_train,2,35,1.0225826501846313,1.0899920165538788,1.0683247229882649,1.0255384130137308,-0.0029557628290994287,0.021667293565613865,0.06740936636924744,0.008280084701254964,0.008280084701254964
Traffic,patchtst,canonical_train,2,35,1.0151457488536835,1.1430668234825134,1.0963223482881275,0.9995073352541242,0.015638413599559253,0.04674447519438607,0.12792107462882996,0.010307298507541418,0.010307298507541418
Traffic,patchtst,phase_aug_train,2,35,0.9866284728050232,1.0090071558952332,1.004336655991418,0.9919722429343633,-0.005343770129340064,0.0046704999038151285,0.02237868309020996,0.004290543729439378,0.004290543729439378
