source,task,split,operator,predicted_gain,predicted_se,actual_gain,selected_mean,selected_pessimistic,ordinary_dimensions,oof_finite
ACS,acs_occupation,1,harmonic,0.00020074499414461061,0.00015379937220882055,0.0013525604860362252,False,False,10,True
ACS,acs_occupation,1,kernel_ridge,0.016707557958130486,0.0011986997226601025,0.012772771019214911,True,True,10,True
ACS,acs_occupation,1,knn_1,-0.005246957213596774,0.006678032235076401,-0.015842951431540627,False,False,10,True
ACS,acs_occupation,1,knn_10,0.010780792727978184,0.000990423759030948,0.008548753638379269,False,False,10,True
ACS,acs_occupation,1,knn_3,0.01020904499016533,0.0020703803675405363,0.0023012707857037328,False,False,10,True
ACS,acs_occupation,1,knn_5,0.013027799581060434,0.0007047370810882878,0.006750257294761988,False,False,10,True
ACS,acs_occupation,1,rbf,9.416978147232119e-06,0.00015375953007277718,0.0011839559124383525,False,False,10,True
ACS,acs_occupation,1,rbf_double,-8.930562486551816e-05,0.00015204971160534368,0.0011064801991883194,False,False,10,True
ACS,acs_occupation,1,rbf_half,0.0004762179561208496,0.0001675178230979317,0.0015442525072903576,False,False,10,True
NYC_TLC,tlc_pickup_zone,1,harmonic,0.0018695417454497251,0.00318267623117038,0.0041792569321558405,False,False,257,True
NYC_TLC,tlc_pickup_zone,1,kernel_ridge,-0.011182706470312973,0.019407668776325895,0.0060084529177455446,False,False,257,True
NYC_TLC,tlc_pickup_zone,1,knn_1,-0.046585007576545344,0.03028324104913616,-0.024138238726785062,False,False,257,True
NYC_TLC,tlc_pickup_zone,1,knn_10,0.006460831100347715,0.006824712394692531,0.014197743523465204,False,False,257,True
NYC_TLC,tlc_pickup_zone,1,knn_3,-0.0030096823185922173,0.010749999286413871,0.018476128837211808,False,False,257,True
NYC_TLC,tlc_pickup_zone,1,knn_5,0.0035109240242056803,0.008395097523085676,0.018983953967294076,False,False,257,True
NYC_TLC,tlc_pickup_zone,1,rbf,0.0013443244887324074,0.0029177083584893113,0.003913298621286372,False,False,257,True
NYC_TLC,tlc_pickup_zone,1,rbf_double,-0.0014521587464552685,0.0019625429413456315,0.0030634687345062737,False,False,257,True
NYC_TLC,tlc_pickup_zone,1,rbf_half,0.008628272672507518,0.006154714753895301,0.00549597456527443,True,False,257,True
BTS,airline_origin_airport,1,harmonic,-0.00033114456543416516,0.00016470469709682864,-0.000558371757557321,False,False,353,True
BTS,airline_origin_airport,1,kernel_ridge,-0.0029322470781229515,0.0008583620044026122,-0.0010701609790164826,False,False,353,True
BTS,airline_origin_airport,1,knn_1,-0.012497889002156853,0.004027864718599538,-0.014931512740112823,False,False,353,True
BTS,airline_origin_airport,1,knn_10,-0.0026805206867164845,0.001044278038711364,0.0004000620663542236,False,False,353,True
BTS,airline_origin_airport,1,knn_3,-0.0072344863916286774,0.0014149750604103082,-0.0013031290657819806,False,False,353,True
BTS,airline_origin_airport,1,knn_5,-0.004328296145030534,0.0010991593419194701,0.00021754449259456574,False,False,353,True
BTS,airline_origin_airport,1,rbf,-0.000338483096152575,0.00016600261284477864,-0.0005625679442557426,False,False,353,True
BTS,airline_origin_airport,1,rbf_double,-0.00020350857821768579,0.00011505952252952007,-0.00048683965647477594,False,False,353,True
BTS,airline_origin_airport,1,rbf_half,-0.0009890037008876776,0.0002932826354246312,-0.00044071796444660296,False,False,353,True
STRING_BENCHMARK,medical_charges,1,harmonic,-0.0010924780190259037,0.0005854693338110422,0.0007108237610825845,False,False,52,True
STRING_BENCHMARK,medical_charges,1,kernel_ridge,0.014244280437958848,0.008256296683850143,0.042095441794995664,False,False,52,True
STRING_BENCHMARK,medical_charges,1,knn_1,0.003980273844848848,0.014118903757664206,0.03283715904114194,False,False,52,True
STRING_BENCHMARK,medical_charges,1,knn_10,0.01509192666042199,0.005867855282442946,0.020105974379734708,True,True,52,True
STRING_BENCHMARK,medical_charges,1,knn_3,0.013237199677409356,0.01159388667468905,0.024234490033714275,False,False,52,True
STRING_BENCHMARK,medical_charges,1,knn_5,0.008430085650565149,0.009274285980581038,0.017771123044970007,False,False,52,True
STRING_BENCHMARK,medical_charges,1,rbf,-0.001352028475609143,0.0006213038683176687,0.0004525423225155466,False,False,52,True
STRING_BENCHMARK,medical_charges,1,rbf_double,-0.0016557016565139384,0.0006288259352402385,2.4755804450480136e-05,False,False,52,True
STRING_BENCHMARK,medical_charges,1,rbf_half,-5.833664603227243e-05,0.0006187066591008318,0.0023662550965911793,False,False,52,True
